Year,Units,Géographie,Infractions,Âge de l'accusé,Sexe de l'accusé,GeoCode,Value
2014/2015,Tribunaux pour adultes,,,,,,123.0
2015/2016,Tribunaux pour adultes,,,,,,126.0
2016/2017,Tribunaux pour adultes,,,,,,136.0
2017/2018,Tribunaux pour adultes,,,,,,137.0
2018/2019,Tribunaux pour adultes,,,,,,141.0
2019/2020,Tribunaux pour adultes,,,,,,141.0
2020/2021,Tribunaux pour adultes,,,,,,187.0
2021/2022,Tribunaux pour adultes,,,,,,199.0
2014/2015,Tribunaux de la jeunesse,,,,,,120.0
2015/2016,Tribunaux de la jeunesse,,,,,,125.0
2016/2017,Tribunaux de la jeunesse,,,,,,135.0
2017/2018,Tribunaux de la jeunesse,,,,,,141.0
2018/2019,Tribunaux de la jeunesse,,,,,,155.0
2019/2020,Tribunaux de la jeunesse,,,,,,162.0
2020/2021,Tribunaux de la jeunesse,,,,,,236.0
2021/2022,Tribunaux de la jeunesse,,,,,,227.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Hommes,,123.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Femmes,,113.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sociétés,,215.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,"Total, l'âge de l'accusé",Sexe inconnu,,148.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,"Total, le sexe de l'accusé",,129.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Hommes,,131.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Femmes,,114.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,18 à 24 ans,Sexe inconnu,,151.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,"Total, le sexe de l'accusé",,121.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Hommes,,121.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Femmes,,113.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,25 à 34 ans,Sexe inconnu,,147.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,"Total, le sexe de l'accusé",,123.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Hommes,,123.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Femmes,,116.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,35 à 44 ans,Sexe inconnu,,148.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,"Total, le sexe de l'accusé",,120.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Hommes,,121.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Femmes,,107.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,45 à 54 ans,Sexe inconnu,,146.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,"Total, le sexe de l'accusé",,107.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Hommes,,110.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Femmes,,90.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,55 ans et plus,Sexe inconnu,,138.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Autres âges,"Total, le sexe de l'accusé",,130.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Autres âges,Hommes,,125.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Autres âges,Femmes,,72.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Autres âges,Sexe inconnu,,166.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,215.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions,Âge n'ayant pas lieu de figurer,Sociétés,,215.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",,122.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Hommes,,123.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Femmes,,107.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sociétés,,171.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,"Total, l'âge de l'accusé",Sexe inconnu,,149.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,"Total, le sexe de l'accusé",,128.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Hommes,,131.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Femmes,,113.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,18 à 24 ans,Sexe inconnu,,153.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,"Total, le sexe de l'accusé",,120.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Hommes,,120.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Femmes,,109.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,25 à 34 ans,Sexe inconnu,,144.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,"Total, le sexe de l'accusé",,121.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Hommes,,122.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Femmes,,113.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,35 à 44 ans,Sexe inconnu,,149.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,"Total, le sexe de l'accusé",,120.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Hommes,,123.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Femmes,,105.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,45 à 54 ans,Sexe inconnu,,148.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,"Total, le sexe de l'accusé",,113.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Hommes,,117.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Femmes,,85.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,55 ans et plus,Sexe inconnu,,148.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Autres âges,"Total, le sexe de l'accusé",,136.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Autres âges,Hommes,,135.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Autres âges,Femmes,,78.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Autres âges,Sexe inconnu,,162.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,171.0
2014/2015,Tribunaux pour adultes,Canada,Total des infractions au Code criminel,Âge n'ayant pas lieu de figurer,Sociétés,,171.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",,174.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Hommes,,178.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Femmes,,142.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Sociétés,,247.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,"Total, l'âge de l'accusé",Sexe inconnu,,199.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,18 à 24 ans,"Total, le sexe de l'accusé",,193.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,18 à 24 ans,Hommes,,202.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,18 à 24 ans,Femmes,,156.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,18 à 24 ans,Sexe inconnu,,216.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,25 à 34 ans,"Total, le sexe de l'accusé",,170.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,25 à 34 ans,Hommes,,175.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,25 à 34 ans,Femmes,,141.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,25 à 34 ans,Sexe inconnu,,194.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,35 à 44 ans,"Total, le sexe de l'accusé",,169.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,35 à 44 ans,Hommes,,172.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,35 à 44 ans,Femmes,,142.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,35 à 44 ans,Sexe inconnu,,194.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,45 à 54 ans,"Total, le sexe de l'accusé",,164.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,45 à 54 ans,Hommes,,169.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,45 à 54 ans,Femmes,,134.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,45 à 54 ans,Sexe inconnu,,191.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,55 ans et plus,"Total, le sexe de l'accusé",,159.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,55 ans et plus,Hommes,,161.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,55 ans et plus,Femmes,,138.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,55 ans et plus,Sexe inconnu,,183.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Autres âges,"Total, le sexe de l'accusé",,186.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Autres âges,Hommes,,223.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Autres âges,Femmes,,57.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Autres âges,Sexe inconnu,,204.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Âge n'ayant pas lieu de figurer,"Total, le sexe de l'accusé",,247.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre la personne,Âge n'ayant pas lieu de figurer,Sociétés,,247.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,"Total, l'âge de l'accusé","Total, le sexe de l'accusé",,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,"Total, l'âge de l'accusé",Hommes,,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,"Total, l'âge de l'accusé",Femmes,,99.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,"Total, l'âge de l'accusé",Sociétés,,88.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,"Total, l'âge de l'accusé",Sexe inconnu,,159.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,18 à 24 ans,"Total, le sexe de l'accusé",,115.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,18 à 24 ans,Hommes,,117.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,18 à 24 ans,Femmes,,101.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,18 à 24 ans,Sexe inconnu,,169.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,25 à 34 ans,"Total, le sexe de l'accusé",,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,25 à 34 ans,Hommes,,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,25 à 34 ans,Femmes,,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,25 à 34 ans,Sexe inconnu,,145.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,35 à 44 ans,"Total, le sexe de l'accusé",,106.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,35 à 44 ans,Hommes,,104.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,35 à 44 ans,Femmes,,99.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,35 à 44 ans,Sexe inconnu,,164.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,45 à 54 ans,"Total, le sexe de l'accusé",,98.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,45 à 54 ans,Hommes,,98.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,45 à 54 ans,Femmes,,92.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,45 à 54 ans,Sexe inconnu,,141.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,55 ans et plus,"Total, le sexe de l'accusé",,72.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,55 ans et plus,Hommes,,75.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,55 ans et plus,Femmes,,64.0
2014/2015,Tribunaux pour adultes,Canada,Infractions contre les biens,55 ans et plus,Sexe inconnu,,137.0
