Year,Pilier,Région,Value
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,4809
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Mondial,147
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Afrique,2133
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Asie,1060
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Amerique,720
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Europe,111
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Moyen-Orient,614
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Océanie,24
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,2320
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Mondial,1346
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Afrique,521
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Asie,204
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Amerique,152
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Europe,41
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Moyen-Orient,33
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Océanie,23
2018,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,5000
2018,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,1600
