Year,Indice,Value
2001,,64
2006,,65
2011,,65
2016,,66
2021,,64
2001,Biodiversité,53
2006,Biodiversité,51
2011,Biodiversité,50
2016,Biodiversité,50
2021,Biodiversité,49
1981,Qualité des sols,60
1986,Qualité des sols,65
1991,Qualité des sols,70
1996,Qualité des sols,72
2001,Qualité des sols,75
2006,Qualité des sols,77
2011,Qualité des sols,79
2016,Qualité des sols,79
2021,Qualité des sols,79
1981,Qualité de l'eau,79
1986,Qualité de l'eau,78
1991,Qualité de l'eau,76
1996,Qualité de l'eau,75
2001,Qualité de l'eau,70
2006,Qualité de l'eau,71
2011,Qualité de l'eau,68
2016,Qualité de l'eau,71
2021,Qualité de l'eau,64
1981,Qualité de l'air,49
1986,Qualité de l'air,52
1991,Qualité de l'air,53
1996,Qualité de l'air,53
2001,Qualité de l'air,58
2006,Qualité de l'air,59
2011,Qualité de l'air,64
2016,Qualité de l'air,64
2021,Qualité de l'air,63
