Year,Géographie,Âge au décès,Sexe,Principales causes de décès,Value
2015,Canada,Tous les âges,Les deux sexes,Tumeurs malignes,215.0
2016,Canada,Tous les âges,Les deux sexes,Tumeurs malignes,218.1
2017,Canada,Tous les âges,Les deux sexes,Tumeurs malignes,217.7
2018,Canada,Tous les âges,Les deux sexes,Tumeurs malignes,214.9
2019,Canada,Tous les âges,Les deux sexes,Tumeurs malignes,213.4
2015,Canada,Tous les âges,Les deux sexes,Diabète sucré,20.0
2016,Canada,Tous les âges,Les deux sexes,Diabète sucré,18.9
2017,Canada,Tous les âges,Les deux sexes,Diabète sucré,18.8
2018,Canada,Tous les âges,Les deux sexes,Diabète sucré,18.4
2019,Canada,Tous les âges,Les deux sexes,Diabète sucré,18.4
2015,Canada,Tous les âges,Les deux sexes,Maladie d'Alzheimer,18.4
2016,Canada,Tous les âges,Les deux sexes,Maladie d'Alzheimer,18.0
2017,Canada,Tous les âges,Les deux sexes,Maladie d'Alzheimer,18.2
2018,Canada,Tous les âges,Les deux sexes,Maladie d'Alzheimer,17.4
2019,Canada,Tous les âges,Les deux sexes,Maladie d'Alzheimer,16.4
2015,Canada,Tous les âges,Les deux sexes,Maladies du coeur,143.8
2016,Canada,Tous les âges,Les deux sexes,Maladies du coeur,141.7
2017,Canada,Tous les âges,Les deux sexes,Maladies du coeur,144.6
2018,Canada,Tous les âges,Les deux sexes,Maladies du coeur,143.5
2019,Canada,Tous les âges,Les deux sexes,Maladies du coeur,139.9
2015,Canada,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,38.5
2016,Canada,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,37.4
2017,Canada,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,37.9
2018,Canada,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,36.4
2019,Canada,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,36.4
2015,Canada,Tous les âges,Les deux sexes,Grippe et pneumopathie,21.3
2016,Canada,Tous les âges,Les deux sexes,Grippe et pneumopathie,17.2
2017,Canada,Tous les âges,Les deux sexes,Grippe et pneumopathie,20.2
2018,Canada,Tous les âges,Les deux sexes,Grippe et pneumopathie,23.0
2019,Canada,Tous les âges,Les deux sexes,Grippe et pneumopathie,18.4
2015,Canada,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.1
2016,Canada,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,33.9
2017,Canada,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.0
2018,Canada,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.1
2019,Canada,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,34.1
2015,Canada,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,8.9
2016,Canada,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.3
2017,Canada,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.3
2018,Canada,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.5
2019,Canada,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,9.8
2015,Canada,Tous les âges,Les deux sexes,Accidents (blessures involontaires),33.0
2016,Canada,Tous les âges,Les deux sexes,Accidents (blessures involontaires),34.5
2017,Canada,Tous les âges,Les deux sexes,Accidents (blessures involontaires),37.9
2018,Canada,Tous les âges,Les deux sexes,Accidents (blessures involontaires),35.9
2019,Canada,Tous les âges,Les deux sexes,Accidents (blessures involontaires),36.6
2015,Canada,Tous les âges,Les deux sexes,Lésions auto-infligées,12.3
2016,Canada,Tous les âges,Les deux sexes,Lésions auto-infligées,11.0
2017,Canada,Tous les âges,Les deux sexes,Lésions auto-infligées,11.3
2018,Canada,Tous les âges,Les deux sexes,Lésions auto-infligées,10.3
2019,Canada,Tous les âges,Les deux sexes,Lésions auto-infligées,10.7
2015,Canada,Tous les âges,Hommes,Tumeurs malignes,227.4
2016,Canada,Tous les âges,Hommes,Tumeurs malignes,230.5
2017,Canada,Tous les âges,Hommes,Tumeurs malignes,231.8
2018,Canada,Tous les âges,Hommes,Tumeurs malignes,229.0
2019,Canada,Tous les âges,Hommes,Tumeurs malignes,229.7
2015,Canada,Tous les âges,Hommes,Diabète sucré,22.2
2016,Canada,Tous les âges,Hommes,Diabète sucré,20.5
2017,Canada,Tous les âges,Hommes,Diabète sucré,21.3
2018,Canada,Tous les âges,Hommes,Diabète sucré,20.4
2019,Canada,Tous les âges,Hommes,Diabète sucré,20.8
2015,Canada,Tous les âges,Hommes,Maladie d'Alzheimer,12.0
2016,Canada,Tous les âges,Hommes,Maladie d'Alzheimer,11.5
2017,Canada,Tous les âges,Hommes,Maladie d'Alzheimer,11.8
2018,Canada,Tous les âges,Hommes,Maladie d'Alzheimer,11.4
2019,Canada,Tous les âges,Hommes,Maladie d'Alzheimer,10.7
2015,Canada,Tous les âges,Hommes,Maladies du coeur,153.6
2016,Canada,Tous les âges,Hommes,Maladies du coeur,152.8
2017,Canada,Tous les âges,Hommes,Maladies du coeur,157.3
2018,Canada,Tous les âges,Hommes,Maladies du coeur,155.9
2019,Canada,Tous les âges,Hommes,Maladies du coeur,151.6
2015,Canada,Tous les âges,Hommes,Maladies cérébrovasculaires,32.4
2016,Canada,Tous les âges,Hommes,Maladies cérébrovasculaires,31.6
2017,Canada,Tous les âges,Hommes,Maladies cérébrovasculaires,33.1
2018,Canada,Tous les âges,Hommes,Maladies cérébrovasculaires,31.2
2019,Canada,Tous les âges,Hommes,Maladies cérébrovasculaires,31.9
2015,Canada,Tous les âges,Hommes,Grippe et pneumopathie,19.2
2016,Canada,Tous les âges,Hommes,Grippe et pneumopathie,16.4
2017,Canada,Tous les âges,Hommes,Grippe et pneumopathie,18.2
2018,Canada,Tous les âges,Hommes,Grippe et pneumopathie,21.4
2019,Canada,Tous les âges,Hommes,Grippe et pneumopathie,17.5
2015,Canada,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.1
2016,Canada,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,34.3
2017,Canada,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,34.6
2018,Canada,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.0
2019,Canada,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,34.0
2015,Canada,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,11.8
2016,Canada,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.2
2017,Canada,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.0
2018,Canada,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.0
2019,Canada,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,12.7
2015,Canada,Tous les âges,Hommes,Accidents (blessures involontaires),38.8
2016,Canada,Tous les âges,Hommes,Accidents (blessures involontaires),41.1
2017,Canada,Tous les âges,Hommes,Accidents (blessures involontaires),46.6
2018,Canada,Tous les âges,Hommes,Accidents (blessures involontaires),41.9
2019,Canada,Tous les âges,Hommes,Accidents (blessures involontaires),42.0
2015,Canada,Tous les âges,Hommes,Lésions auto-infligées,18.4
2016,Canada,Tous les âges,Hommes,Lésions auto-infligées,16.3
2017,Canada,Tous les âges,Hommes,Lésions auto-infligées,17.1
