Year,Âge au décès,Sexe,Principales causes de décès,Value
2015,Tous les âges,Les deux sexes,Tumeurs malignes,215.9
2015,Tous les âges,Les deux sexes,Diabète sucré,20.1
2015,Tous les âges,Les deux sexes,Maladie d'Alzheimer,18.5
2015,Tous les âges,Les deux sexes,Maladies du coeur,144.6
2015,Tous les âges,Les deux sexes,Maladies cérébrovasculaires,38.7
2015,Tous les âges,Les deux sexes,Grippe et pneumopathie,21.4
2015,Tous les âges,Les deux sexes,Maladies chroniques des voies respiratoires inférieures,35.2
2015,Tous les âges,Les deux sexes,Maladie chronique et cirrhose du foie,8.9
2015,Tous les âges,Les deux sexes,Accidents (blessures involontaires),34.0
2015,Tous les âges,Les deux sexes,Lésions auto-infligées,12.6
2015,Tous les âges,Hommes,Tumeurs malignes,228.3
2015,Tous les âges,Hommes,Diabète sucré,22.3
2015,Tous les âges,Hommes,Maladie d'Alzheimer,12.0
2015,Tous les âges,Hommes,Maladies du coeur,154.5
2015,Tous les âges,Hommes,Maladies cérébrovasculaires,32.6
2015,Tous les âges,Hommes,Grippe et pneumopathie,19.4
2015,Tous les âges,Hommes,Maladies chroniques des voies respiratoires inférieures,35.2
2015,Tous les âges,Hommes,Maladie chronique et cirrhose du foie,11.9
2015,Tous les âges,Hommes,Accidents (blessures involontaires),40.0
2015,Tous les âges,Hommes,Lésions auto-infligées,18.8
2015,Tous les âges,Femmes,Tumeurs malignes,203.7
2015,Tous les âges,Femmes,Diabète sucré,17.9
2015,Tous les âges,Femmes,Maladie d'Alzheimer,24.8
2015,Tous les âges,Femmes,Maladies du coeur,134.9
2015,Tous les âges,Femmes,Maladies cérébrovasculaires,44.7
2015,Tous les âges,Femmes,Grippe et pneumopathie,23.4
2015,Tous les âges,Femmes,Maladies chroniques des voies respiratoires inférieures,35.3
2015,Tous les âges,Femmes,Maladie chronique et cirrhose du foie,6.0
2015,Tous les âges,Femmes,Accidents (blessures involontaires),28.0
2015,Tous les âges,Femmes,Lésions auto-infligées,6.4
2015,1 à 14 ans,Les deux sexes,Tumeurs malignes,2.4
2015,1 à 14 ans,Les deux sexes,Diabète sucré,0.1
2015,1 à 14 ans,Les deux sexes,Maladie d'Alzheimer,0.0
