Year,Units,Géographie,Type d'événement,GeoCode,Value
2016,Taux par 100 000 personnes,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,7.8
2016,Nombre,Canada,Décès totaux apparemment liés à une intoxication aux opioïdes,,2830.0
2016,Taux par 100 000 personnes,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,16.6
2016,Nombre,Colombie-Britannique,Décès totaux apparemment liés à une intoxication aux opioïdes,59,805.0
2016,Taux par 100 000 personnes,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,14.3
2016,Nombre,Alberta,Décès totaux apparemment liés à une intoxication aux opioïdes,48,602.0
2016,Taux par 100 000 personnes,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,7.3
2016,Nombre,Saskatchewan,Décès totaux apparemment liés à une intoxication aux opioïdes,47,83.0
2016,Taux par 100 000 personnes,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,6.7
2016,Nombre,Manitoba,Décès totaux apparemment liés à une intoxication aux opioïdes,46,88.0
2016,Taux par 100 000 personnes,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,6.2
2016,Nombre,Ontario,Décès totaux apparemment liés à une intoxication aux opioïdes,35,867.0
2016,Taux par 100 000 personnes,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,3.2
2016,Nombre,Québec,Décès totaux apparemment liés à une intoxication aux opioïdes,24,263.0
2016,Taux par 100 000 personnes,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,4.5
2016,Nombre,Nouveau-Brunswick,Décès totaux apparemment liés à une intoxication aux opioïdes,13,34.0
2016,Taux par 100 000 personnes,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,5.6
2016,Nombre,Nouvelle-Écosse,Décès totaux apparemment liés à une intoxication aux opioïdes,12,53.0
2016,Taux par 100 000 personnes,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,3.4
2016,Nombre,Île-du-Prince-Édouard,Décès totaux apparemment liés à une intoxication aux opioïdes,11,5.0
2016,Taux par 100 000 personnes,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,3.4
2016,Nombre,Terre-Neuve-et-Labrador,Décès totaux apparemment liés à une intoxication aux opioïdes,10,18.0
2016,Taux par 100 000 personnes,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,18.2
2016,Nombre,Yukon,Décès totaux apparemment liés à une intoxication aux opioïdes,60,7.0
2016,Taux par 100 000 personnes,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,11.2
2016,Nombre,Territoires du Nord-Ouest,Décès totaux apparemment liés à une intoxication aux opioïdes,61,5.0
2016,Taux par 100 000 personnes,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,
2016,Nombre,Nunavut,Décès totaux apparemment liés à une intoxication aux opioïdes,62,
2016,Taux par 100 000 personnes,Canada,Hospitalisations pour intoxication aux opioïdes,,16.8
2016,Nombre,Canada,Hospitalisations pour intoxication aux opioïdes,,4687.0
2016,Taux par 100 000 personnes,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,23.8
2016,Nombre,Colombie-Britannique,Hospitalisations pour intoxication aux opioïdes,59,1156.0
2016,Taux par 100 000 personnes,Alberta,Hospitalisations pour intoxication aux opioïdes,48,22.2
2016,Nombre,Alberta,Hospitalisations pour intoxication aux opioïdes,48,930.0
