Year,Géographie,Sexe,GeoCode,Value
2016,,,,7.8
2017,,,,10.7
2018,,,,11.5
2019,,,,9.4
2020,,,,15.9
2021,,,,19.4
2022,,,,18.5
2023,,,,20.0
2024,,,,17.7
2016,Colombie-Britannique,Total,59,16.6
2017,Colombie-Britannique,Total,59,26.3
2018,Colombie-Britannique,Total,59,27.6
2019,Colombie-Britannique,Total,59,16.3
2020,Colombie-Britannique,Total,59,27.8
2021,Colombie-Britannique,Total,59,35.3
2022,Colombie-Britannique,Total,59,38.3
2023,Colombie-Britannique,Total,59,40.2
2024,Colombie-Britannique,Total,59,41.3
2016,Alberta,Total,48,14.3
2017,Alberta,Total,48,17.6
2018,Alberta,Total,48,18.8
2019,Alberta,Total,48,14.4
2020,Alberta,Total,48,27.0
2021,Alberta,Total,48,37.1
2022,Alberta,Total,48,33.7
2023,Alberta,Total,48,39.8
2024,Alberta,Total,48,24.3
2016,Saskatchewan,Total,47,7.3
2017,Saskatchewan,Total,47,7.4
2018,Saskatchewan,Total,47,10.0
2019,Saskatchewan,Total,47,9.9
2020,Saskatchewan,Total,47,21.4
2021,Saskatchewan,Total,47,28.0
2022,Saskatchewan,Total,47,25.2
2023,Saskatchewan,Total,47,28.8
2024,Saskatchewan,Total,47,20.7
2016,Manitoba,Total,46,6.7
2017,Manitoba,Total,46,7.9
2018,Manitoba,Total,46,6.9
2019,Manitoba,Total,46,4.5
2020,Manitoba,Total,46,16.9
2021,Manitoba,Total,46,20.5
2022,Manitoba,Total,46,20.6
2023,Manitoba,Total,46,26.3
2024,Manitoba,Total,46,24.8
2016,Ontario,Total,35,6.2
2017,Ontario,Total,35,9.0
2018,Ontario,Total,35,10.6
2019,Ontario,Total,35,10.7
2020,Ontario,Total,35,16.8
2021,Ontario,Total,35,19.4
2022,Ontario,Total,35,16.7
2023,Ontario,Total,35,16.9
2024,Ontario,Total,35,14.0
2016,Québec,Total,24,3.2
2017,Québec,Total,24,3.4
2018,Québec,Total,24,2.5
2019,Québec,Total,24,2.5
2020,Québec,Total,24,3.8
2021,Québec,Total,24,3.5
2022,Québec,Total,24,3.6
2023,Québec,Total,24,3.5
2024,Québec,Total,24,7.2
2016,Nouveau-Brunswick,Total,13,4.5
2017,Nouveau-Brunswick,Total,13,5.0
2018,Nouveau-Brunswick,Total,13,3.9
2019,Nouveau-Brunswick,Total,13,4.5
2020,Nouveau-Brunswick,Total,13,5.7
2021,Nouveau-Brunswick,Total,13,5.9
2022,Nouveau-Brunswick,Total,13,9.4
2023,Nouveau-Brunswick,Total,13,11.8
2024,Nouveau-Brunswick,Total,13,9.8
2016,Nouvelle-Écosse,Total,12,5.6
2017,Nouvelle-Écosse,Total,12,6.7
2018,Nouvelle-Écosse,Total,12,5.7
2019,Nouvelle-Écosse,Total,12,5.7
2020,Nouvelle-Écosse,Total,12,5.0
2021,Nouvelle-Écosse,Total,12,4.0
2022,Nouvelle-Écosse,Total,12,6.1
2023,Nouvelle-Écosse,Total,12,6.9
2024,Nouvelle-Écosse,Total,12,6.2
2016,Île-du-Prince-Édouard,Total,11,3.4
2017,Île-du-Prince-Édouard,Total,11,3.3
2018,Île-du-Prince-Édouard,Total,11,5.3
2019,Île-du-Prince-Édouard,Total,11,3.2
2020,Île-du-Prince-Édouard,Total,11,5.0
2021,Île-du-Prince-Édouard,Total,11,7.4
2022,Île-du-Prince-Édouard,Total,11,3.6
2023,Île-du-Prince-Édouard,Total,11,4.0
2024,Île-du-Prince-Édouard,Total,11,3.9
2016,Terre-Neuve-et-Labrador,Total,10,3.4
2017,Terre-Neuve-et-Labrador,Total,10,6.2
2018,Terre-Neuve-et-Labrador,Total,10,4.4
2019,Terre-Neuve-et-Labrador,Total,10,3.2
2020,Terre-Neuve-et-Labrador,Total,10,4.7
2021,Terre-Neuve-et-Labrador,Total,10,4.7
2022,Terre-Neuve-et-Labrador,Total,10,5.5
2023,Terre-Neuve-et-Labrador,Total,10,6.9
2024,Terre-Neuve-et-Labrador,Total,10,8.6
2016,Yukon,Total,60,18.2
2017,Yukon,Total,60,17.7
2018,Yukon,Total,60,12.4
2019,Yukon,Total,60,9.7
2020,Yukon,Total,60,23.8
2021,Yukon,Total,60,53.5
2022,Yukon,Total,60,43.3
2023,Yukon,Total,60,37.4
2024,Yukon,Total,60,29.4
2016,Territoires du Nord-Ouest,Total,61,11.2
2017,Territoires du Nord-Ouest,Total,61,2.2
2018,Territoires du Nord-Ouest,Total,61,4.5
2019,Territoires du Nord-Ouest,Total,61,2.3
2020,Territoires du Nord-Ouest,Total,61,6.7
2021,Territoires du Nord-Ouest,Total,61,9.0
2022,Territoires du Nord-Ouest,Total,61,15.7
2023,Territoires du Nord-Ouest,Total,61,6.7
2024,Territoires du Nord-Ouest,Total,61,15.5
2016,Nunavut,Total,62,0.0
2017,Nunavut,Total,62,0.0
2018,Nunavut,Total,62,0.0
2023,Nunavut,Total,62,0.0
2016,Canada,Femme,,4.6
2016,Canada,Homme,,11.1
2017,Canada,Femme,,5.6
2017,Canada,Homme,,15.9
2018,Canada,Femme,,6.2
2018,Canada,Homme,,16.7
2019,Canada,Femme,,5.3
2019,Canada,Homme,,13.5
2020,Canada,Femme,,7.9
2020,Canada,Homme,,23.9
2021,Canada,Femme,,10.3
2021,Canada,Homme,,28.6
2022,Canada,Femme,,9.7
2022,Canada,Homme,,27.3
2023,Canada,Femme,,11.3
2023,Canada,Homme,,28.6
2024,Canada,Femme,,9.2
2024,Canada,Homme,,23.6
2016,Colombie-Britannique,Femme,59,6.4
2016,Colombie-Britannique,Homme,59,27.0
2017,Colombie-Britannique,Femme,59,9.4
2017,Colombie-Britannique,Homme,59,43.6
2018,Colombie-Britannique,Femme,59,11.0
2018,Colombie-Britannique,Homme,59,44.5
2019,Colombie-Britannique,Femme,59,7.5
2019,Colombie-Britannique,Homme,59,25.3
2020,Colombie-Britannique,Femme,59,10.4
2020,Colombie-Britannique,Homme,59,45.5
2021,Colombie-Britannique,Femme,59,15.2
2021,Colombie-Britannique,Homme,59,55.6
2022,Colombie-Britannique,Femme,59,16.4
2022,Colombie-Britannique,Homme,59,60.7
2023,Colombie-Britannique,Femme,59,17.7
2023,Colombie-Britannique,Homme,59,63.0
2024,Colombie-Britannique,Femme,59,16.0
2024,Colombie-Britannique,Homme,59,48.4
2016,Alberta,Femme,48,8.5
2016,Alberta,Homme,48,20.1
2017,Alberta,Femme,48,9.1
2017,Alberta,Homme,48,25.9
2018,Alberta,Femme,48,10.0
2018,Alberta,Homme,48,27.4
2019,Alberta,Femme,48,7.6
2019,Alberta,Homme,48,21.0
2020,Alberta,Femme,48,13.1
2020,Alberta,Homme,48,40.8
2021,Alberta,Femme,48,20.2
2021,Alberta,Homme,48,53.6
2022,Alberta,Femme,48,18.7
2022,Alberta,Homme,48,48.6
2023,Alberta,Femme,48,25.4
2023,Alberta,Homme,48,54.1
2024,Alberta,Femme,48,14.0
2024,Alberta,Homme,48,34.5
2016,Saskatchewan,Femme,47,6.7
2016,Saskatchewan,Homme,47,7.9
2017,Saskatchewan,Femme,47,6.9
2017,Saskatchewan,Homme,47,8.0
2018,Saskatchewan,Femme,47,8.5
2018,Saskatchewan,Homme,47,11.5
2019,Saskatchewan,Femme,47,7.1
2019,Saskatchewan,Homme,47,12.6
2020,Saskatchewan,Femme,47,15.4
2020,Saskatchewan,Homme,47,27.4
2021,Saskatchewan,Femme,47,19.5
2021,Saskatchewan,Homme,47,36.4
2022,Saskatchewan,Femme,47,18.1
2022,Saskatchewan,Homme,47,32.2
2023,Saskatchewan,Femme,47,21.5
2023,Saskatchewan,Homme,47,35.9
2024,Saskatchewan,Femme,47,16.5
2024,Saskatchewan,Homme,47,24.8
2016,Manitoba,Femme,46,6.1
2016,Manitoba,Homme,46,7.3
2017,Manitoba,Femme,46,5.8
2017,Manitoba,Homme,46,10.0
2018,Manitoba,Femme,46,6.2
2018,Manitoba,Homme,46,7.5
2019,Manitoba,Femme,46,2.9
2019,Manitoba,Homme,46,6.1
2020,Manitoba,Femme,46,12.1
2020,Manitoba,Homme,46,21.6
2021,Manitoba,Femme,46,15.4
2021,Manitoba,Homme,46,25.6
2022,Manitoba,Femme,46,14.6
2022,Manitoba,Homme,46,26.5
2023,Manitoba,Femme,46,21.8
2023,Manitoba,Homme,46,30.7
2024,Manitoba,Femme,46,19.1
2024,Manitoba,Homme,46,30.4
2016,Ontario,Femme,35,3.9
2016,Ontario,Homme,35,8.7
2017,Ontario,Femme,35,4.9
2017,Ontario,Homme,35,13.1
2018,Ontario,Femme,35,6.2
2018,Ontario,Homme,35,15.0
2019,Ontario,Femme,35,6.3
2019,Ontario,Homme,35,15.3
2020,Ontario,Femme,35,8.3
2020,Ontario,Homme,35,25.6
2021,Ontario,Femme,35,10.1
2021,Ontario,Homme,35,28.8
2022,Ontario,Femme,35,8.4
2022,Ontario,Homme,35,25.0
2023,Ontario,Femme,35,9.0
2023,Ontario,Homme,35,24.8
2024,Ontario,Femme,35,7.6
2024,Ontario,Homme,35,20.3
2016,Québec,Femme,24,2.7
2016,Québec,Homme,24,3.7
2017,Québec,Femme,24,2.8
2017,Québec,Homme,24,3.9
2018,Québec,Femme,24,2.0
2018,Québec,Homme,24,3.0
2019,Québec,Femme,24,1.9
2019,Québec,Homme,24,3.1
2020,Québec,Femme,24,2.8
2020,Québec,Homme,24,4.7
2021,Québec,Femme,24,2.3
2021,Québec,Homme,24,4.6
2022,Québec,Femme,24,2.4
2022,Québec,Homme,24,4.9
2023,Québec,Femme,24,2.6
2023,Québec,Homme,24,4.4
2024,Québec,Femme,24,3.6
2024,Québec,Homme,24,10.7
2016,Nouveau-Brunswick,Femme,13,4.1
2016,Nouveau-Brunswick,Homme,13,4.8
2017,Nouveau-Brunswick,Femme,13,4.6
2017,Nouveau-Brunswick,Homme,13,5.3
2018,Nouveau-Brunswick,Femme,13,4.1
2018,Nouveau-Brunswick,Homme,13,3.7
2019,Nouveau-Brunswick,Femme,13,5.1
2019,Nouveau-Brunswick,Homme,13,3.9
2020,Nouveau-Brunswick,Femme,13,5.3
2020,Nouveau-Brunswick,Homme,13,6.2
2021,Nouveau-Brunswick,Femme,13,5.2
2021,Nouveau-Brunswick,Homme,13,6.7
2022,Nouveau-Brunswick,Femme,13,7.1
2022,Nouveau-Brunswick,Homme,13,11.8
2023,Nouveau-Brunswick,Femme,13,8.3
2023,Nouveau-Brunswick,Homme,13,15.3
2024,Nouveau-Brunswick,Femme,13,5.8
2024,Nouveau-Brunswick,Homme,13,13.9
2016,Nouvelle-Écosse,Femme,12,3.3
2016,Nouvelle-Écosse,Homme,12,8.0
2017,Nouvelle-Écosse,Femme,12,4.1
2017,Nouvelle-Écosse,Homme,12,9.4
2018,Nouvelle-Écosse,Femme,12,4.1
2018,Nouvelle-Écosse,Homme,12,7.4
2019,Nouvelle-Écosse,Femme,12,3.6
2019,Nouvelle-Écosse,Homme,12,7.9
2020,Nouvelle-Écosse,Femme,12,3.0
2020,Nouvelle-Écosse,Homme,12,7.0
2021,Nouvelle-Écosse,Femme,12,2.4
2021,Nouvelle-Écosse,Homme,12,5.7
2022,Nouvelle-Écosse,Femme,12,4.2
2022,Nouvelle-Écosse,Homme,12,7.9
2023,Nouvelle-Écosse,Femme,12,3.2
2023,Nouvelle-Écosse,Homme,12,10.8
2024,Nouvelle-Écosse,Femme,12,4.6
2024,Nouvelle-Écosse,Homme,12,7.8
2016,Terre-Neuve-et-Labrador,Femme,10,2.6
2016,Terre-Neuve-et-Labrador,Homme,10,4.2
2017,Terre-Neuve-et-Labrador,Femme,10,4.1
2017,Terre-Neuve-et-Labrador,Homme,10,8.4
2018,Terre-Neuve-et-Labrador,Femme,10,4.1
2018,Terre-Neuve-et-Labrador,Homme,10,4.6
2019,Terre-Neuve-et-Labrador,Femme,10,1.9
2019,Terre-Neuve-et-Labrador,Homme,10,4.6
2020,Terre-Neuve-et-Labrador,Femme,10,3.8
2020,Terre-Neuve-et-Labrador,Homme,10,5.8
2021,Terre-Neuve-et-Labrador,Femme,10,3.0
2021,Terre-Neuve-et-Labrador,Homme,10,6.5
2022,Terre-Neuve-et-Labrador,Femme,10,5.6
2022,Terre-Neuve-et-Labrador,Homme,10,5.3
2023,Terre-Neuve-et-Labrador,Femme,10,5.9
2023,Terre-Neuve-et-Labrador,Homme,10,7.9
2024,Terre-Neuve-et-Labrador,Femme,10,7.6
2024,Terre-Neuve-et-Labrador,Homme,10,9.6
2021,Yukon,Femme,60,42.1
2021,Yukon,Homme,60,64.9
2022,Yukon,Femme,60,45.7
2022,Yukon,Homme,60,40.9
2023,Yukon,Femme,60,22.2
2023,Yukon,Homme,60,52.5
2024,Yukon,Femme,60,21.2
2024,Yukon,Homme,60,37.5
2016,Territoires du Nord-Ouest,Femme,61,4.6
2016,Territoires du Nord-Ouest,Homme,61,17.4
2021,Territoires du Nord-Ouest,Femme,61,4.6
2021,Territoires du Nord-Ouest,Homme,61,13.1
2022,Territoires du Nord-Ouest,Femme,61,13.8
2022,Territoires du Nord-Ouest,Homme,61,17.5
2023,Territoires du Nord-Ouest,Femme,61,9.2
2023,Territoires du Nord-Ouest,Homme,61,4.4
2024,Territoires du Nord-Ouest,Femme,61,13.6
2024,Territoires du Nord-Ouest,Homme,61,17.2
2016,Nunavut,Femme,62,0.0
2016,Nunavut,Homme,62,0.0
2017,Nunavut,Femme,62,0.0
2017,Nunavut,Homme,62,0.0
2018,Nunavut,Femme,62,0.0
2018,Nunavut,Homme,62,0.0
2023,Nunavut,Femme,62,0.0
2023,Nunavut,Homme,62,0.0
