Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,GeoCode,Value
2015,,,,,,,18.8
2016,,,,,,,17.9
2017,,,,,,,17.2
2018,,,,,,,16.7
2019,,,,,,,15.7
2020,,,,,,,13.8
2021,,,,,,,12.7
2022,,,,,,,12.5
2023,,,,,,,11.4
2015,Canada,"Total, 18 ans et plus",Hommes,,,,21.7
2015,Canada,"Total, 18 ans et plus",Femmes,,,,15.9
2015,Canada,18 à 34 ans,Les deux sexes,,,,22.1
2015,Canada,18 à 34 ans,Hommes,,,,26.4
2015,Canada,18 à 34 ans,Femmes,,,,17.8
2015,Canada,35 à 49 ans,Les deux sexes,,,,19.5
2015,Canada,35 à 49 ans,Hommes,,,,22.9
2015,Canada,35 à 49 ans,Femmes,,,,16.2
2015,Canada,50 à 64 ans,Les deux sexes,,,,21.0
2015,Canada,50 à 64 ans,Hommes,,,,23.2
2015,Canada,50 à 64 ans,Femmes,,,,18.8
2015,Canada,65 ans et plus,Les deux sexes,,,,9.8
2015,Canada,65 ans et plus,Hommes,,,,10.5
2015,Canada,65 ans et plus,Femmes,,,,9.2
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,10,25.6
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,10,27.5
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,10,23.7
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,10,27.5
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,10,30.7
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,10,24.2
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,10,36.6
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,10,39.7
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,10,33.7
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,10,24.6
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,10,24.4
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,10,24.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,10,12.1
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,10,13.7
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,10,10.6
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,11,15.6
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,11,17.6
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,11,13.8
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,11,15.4
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,11,20.7
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,11,10.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,11,20.5
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,11,20.1
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,11,20.8
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,11,16.2
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,11,17.5
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,11,15.0
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,11,9.8
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,11,10.9
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,11,9.0
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,12,19.9
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,12,23.7
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,12,16.4
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,12,21.9
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,,,12,27.8
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,,,12,15.9
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,12,25.1
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,,,12,31.1
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,,,12,19.5
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,12,20.3
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,,,12,23.3
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,,,12,17.5
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,12,11.9
2015,Nouvelle-Écosse,65 ans et plus,Hommes,,,12,11.5
2015,Nouvelle-Écosse,65 ans et plus,Femmes,,,12,12.3
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,13,18.5
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,13,16.9
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,13,20.0
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,13,25.4
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,,,13,21.9
