Year,Géographie,Mesures,Sexe,Groupe d'âge,Value
2009,Canada,Embonpoint,Les deux sexes,5 à 79 ans,33.6
2011,Canada,Embonpoint,Les deux sexes,5 à 79 ans,31.8
2013,Canada,Embonpoint,Les deux sexes,5 à 79 ans,32.9
2015,Canada,Embonpoint,Les deux sexes,5 à 79 ans,33.0
2017,Canada,Embonpoint,Les deux sexes,5 à 79 ans,31.1
2019,Canada,Embonpoint,Les deux sexes,5 à 79 ans,32.6
2009,Canada,Embonpoint,Les deux sexes,5 à 17 ans,17.7
2011,Canada,Embonpoint,Les deux sexes,5 à 17 ans,19.7
2013,Canada,Embonpoint,Les deux sexes,5 à 17 ans,18.6
2015,Canada,Embonpoint,Les deux sexes,5 à 17 ans,17.0
2017,Canada,Embonpoint,Les deux sexes,5 à 17 ans,18.3
2019,Canada,Embonpoint,Les deux sexes,5 à 17 ans,17.4
2009,Canada,Embonpoint,Les deux sexes,5 à 11 ans,19.8
2011,Canada,Embonpoint,Les deux sexes,5 à 11 ans,19.5
2013,Canada,Embonpoint,Les deux sexes,5 à 11 ans,16.7
2015,Canada,Embonpoint,Les deux sexes,5 à 11 ans,14.3
2017,Canada,Embonpoint,Les deux sexes,5 à 11 ans,18.5
2019,Canada,Embonpoint,Les deux sexes,5 à 11 ans,15.2
2009,Canada,Embonpoint,Les deux sexes,12 à 17 ans,15.9
2011,Canada,Embonpoint,Les deux sexes,12 à 17 ans,19.9
2013,Canada,Embonpoint,Les deux sexes,12 à 17 ans,20.6
2015,Canada,Embonpoint,Les deux sexes,12 à 17 ans,20.1
2017,Canada,Embonpoint,Les deux sexes,12 à 17 ans,18.1
2019,Canada,Embonpoint,Les deux sexes,12 à 17 ans,20.0
2009,Canada,Embonpoint,Les deux sexes,18 à 79 ans,36.7
2011,Canada,Embonpoint,Les deux sexes,18 à 79 ans,34.2
2013,Canada,Embonpoint,Les deux sexes,18 à 79 ans,35.6
2015,Canada,Embonpoint,Les deux sexes,18 à 79 ans,36.1
2017,Canada,Embonpoint,Les deux sexes,18 à 79 ans,33.5
2019,Canada,Embonpoint,Les deux sexes,18 à 79 ans,35.5
2009,Canada,Embonpoint,Les deux sexes,18 à 39 ans,29.7
2011,Canada,Embonpoint,Les deux sexes,18 à 39 ans,28.4
2013,Canada,Embonpoint,Les deux sexes,18 à 39 ans,31.1
2015,Canada,Embonpoint,Les deux sexes,18 à 39 ans,29.2
2017,Canada,Embonpoint,Les deux sexes,18 à 39 ans,27.4
2019,Canada,Embonpoint,Les deux sexes,18 à 39 ans,28.7
2009,Canada,Embonpoint,Les deux sexes,40 à 59 ans,41.4
2011,Canada,Embonpoint,Les deux sexes,40 à 59 ans,37.4
2013,Canada,Embonpoint,Les deux sexes,40 à 59 ans,33.6
2015,Canada,Embonpoint,Les deux sexes,40 à 59 ans,40.6
2017,Canada,Embonpoint,Les deux sexes,40 à 59 ans,33.7
2019,Canada,Embonpoint,Les deux sexes,40 à 59 ans,39.8
2009,Canada,Embonpoint,Les deux sexes,60 à 79 ans,41.2
2011,Canada,Embonpoint,Les deux sexes,60 à 79 ans,38.8
2013,Canada,Embonpoint,Les deux sexes,60 à 79 ans,46.8
2015,Canada,Embonpoint,Les deux sexes,60 à 79 ans,40.0
2017,Canada,Embonpoint,Les deux sexes,60 à 79 ans,42.4
2019,Canada,Embonpoint,Les deux sexes,60 à 79 ans,39.5
2009,Canada,Embonpoint,Hommes,5 à 79 ans,39.6
2011,Canada,Embonpoint,Hommes,5 à 79 ans,36.3
2013,Canada,Embonpoint,Hommes,5 à 79 ans,39.3
2015,Canada,Embonpoint,Hommes,5 à 79 ans,36.2
2017,Canada,Embonpoint,Hommes,5 à 79 ans,34.9
2019,Canada,Embonpoint,Hommes,5 à 79 ans,36.1
2009,Canada,Embonpoint,Hommes,5 à 17 ans,17.8
2011,Canada,Embonpoint,Hommes,5 à 17 ans,19.3
2013,Canada,Embonpoint,Hommes,5 à 17 ans,18.7
2015,Canada,Embonpoint,Hommes,5 à 17 ans,17.2
2017,Canada,Embonpoint,Hommes,5 à 17 ans,15.7
2019,Canada,Embonpoint,Hommes,5 à 17 ans,17.8
2009,Canada,Embonpoint,Hommes,5 à 11 ans,19.0
2011,Canada,Embonpoint,Hommes,5 à 11 ans,19.7
2013,Canada,Embonpoint,Hommes,5 à 11 ans,14.1
2015,Canada,Embonpoint,Hommes,5 à 11 ans,13.7
2017,Canada,Embonpoint,Hommes,5 à 11 ans,15.8
2019,Canada,Embonpoint,Hommes,5 à 11 ans,15.4
2009,Canada,Embonpoint,Hommes,12 à 17 ans,16.7
2011,Canada,Embonpoint,Hommes,12 à 17 ans,19.0
2013,Canada,Embonpoint,Hommes,12 à 17 ans,23.4
2015,Canada,Embonpoint,Hommes,12 à 17 ans,21.2
2017,Canada,Embonpoint,Hommes,12 à 17 ans,15.5
2019,Canada,Embonpoint,Hommes,12 à 17 ans,20.7
2009,Canada,Embonpoint,Hommes,18 à 79 ans,44.1
2011,Canada,Embonpoint,Hommes,18 à 79 ans,39.8
2013,Canada,Embonpoint,Hommes,18 à 79 ans,43.3
2015,Canada,Embonpoint,Hommes,18 à 79 ans,39.9
2017,Canada,Embonpoint,Hommes,18 à 79 ans,38.4
2019,Canada,Embonpoint,Hommes,18 à 79 ans,39.6
2009,Canada,Embonpoint,Hommes,18 à 39 ans,36.2
2011,Canada,Embonpoint,Hommes,18 à 39 ans,33.7
2013,Canada,Embonpoint,Hommes,18 à 39 ans,38.2
2015,Canada,Embonpoint,Hommes,18 à 39 ans,30.8
2017,Canada,Embonpoint,Hommes,18 à 39 ans,33.0
2019,Canada,Embonpoint,Hommes,18 à 39 ans,31.6
2009,Canada,Embonpoint,Hommes,40 à 59 ans,51.9
2011,Canada,Embonpoint,Hommes,40 à 59 ans,44.6
2013,Canada,Embonpoint,Hommes,40 à 59 ans,44.3
2015,Canada,Embonpoint,Hommes,40 à 59 ans,46.1
2017,Canada,Embonpoint,Hommes,40 à 59 ans,38.5
2019,Canada,Embonpoint,Hommes,40 à 59 ans,43.3
2009,Canada,Embonpoint,Hommes,60 à 79 ans,44.3
2011,Canada,Embonpoint,Hommes,60 à 79 ans,42.4
2013,Canada,Embonpoint,Hommes,60 à 79 ans,50.8
2015,Canada,Embonpoint,Hommes,60 à 79 ans,45.6
2017,Canada,Embonpoint,Hommes,60 à 79 ans,47.0
2019,Canada,Embonpoint,Hommes,60 à 79 ans,46.8
