Year,Géographie,Type de boissons,GeoCode,Value
2014/2015,,,,8.0
2015/2016,,,,8.1
2016/2017,,,,8.2
2017/2018,,,,8.2
2018/2019,,,,8.0
2019/2020,,,,8.1
2020/2021,,,,8.3
2021/2022,,,,8.1
2022/2023,,,,7.8
2014/2015,Canada,Spiritueux,,2.0
2014/2015,Canada,Vins,,2.0
2014/2015,Canada,Bière,,3.7
2014/2015,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.3
2014/2015,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.4
2014/2015,Terre-Neuve-et-Labrador,Spiritueux,10,3.3
2014/2015,Terre-Neuve-et-Labrador,Vins,10,1.2
2014/2015,Terre-Neuve-et-Labrador,Bière,10,4.6
2014/2015,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2014/2015,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,7.9
2014/2015,Île-du-Prince-Édouard,Spiritueux,11,2.6
2014/2015,Île-du-Prince-Édouard,Vins,11,1.4
2014/2015,Île-du-Prince-Édouard,Bière,11,3.7
2014/2015,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.2
2014/2015,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.7
2014/2015,Nouvelle-Écosse,Spiritueux,12,2.3
2014/2015,Nouvelle-Écosse,Vins,12,1.5
2014/2015,Nouvelle-Écosse,Bière,12,3.7
2014/2015,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.3
2014/2015,Nouveau-Brunswick,Total des boissons alcoolisées,13,6.6
2014/2015,Nouveau-Brunswick,Spiritueux,13,1.7
2014/2015,Nouveau-Brunswick,Vins,13,1.2
2014/2015,Nouveau-Brunswick,Bière,13,3.4
2014/2015,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.2
2014/2015,Québec,Total des boissons alcoolisées,24,8.3
2014/2015,Québec,Spiritueux,24,1.2
2014/2015,Québec,Vins,24,2.9
2014/2015,Québec,Bière,24,4.1
2014/2015,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2014/2015,Ontario,Total des boissons alcoolisées,35,7.3
2014/2015,Ontario,Spiritueux,35,1.9
2014/2015,Ontario,Vins,35,1.9
2014/2015,Ontario,Bière,35,3.2
2014/2015,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.2
2014/2015,Manitoba,Total des boissons alcoolisées,46,7.7
2014/2015,Manitoba,Spiritueux,46,2.6
2014/2015,Manitoba,Vins,46,1.4
2014/2015,Manitoba,Bière,46,3.6
2014/2015,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.2
2014/2015,Saskatchewan,Total des boissons alcoolisées,47,8.3
2014/2015,Saskatchewan,Spiritueux,47,3.0
2014/2015,Saskatchewan,Vins,47,1.0
2014/2015,Saskatchewan,Bière,47,3.8
2014/2015,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.4
2014/2015,Alberta,Total des boissons alcoolisées,48,9.4
2014/2015,Alberta,Spiritueux,48,3.1
2014/2015,Alberta,Vins,48,1.6
2014/2015,Alberta,Bière,48,4.2
2014/2015,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.5
2014/2015,Colombie-Britannique,Total des boissons alcoolisées,59,8.7
2014/2015,Colombie-Britannique,Spiritueux,59,2.3
2014/2015,Colombie-Britannique,Vins,59,2.2
2014/2015,Colombie-Britannique,Bière,59,3.6
2014/2015,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.5
2014/2015,Yukon,Total des boissons alcoolisées,60,12.8
2014/2015,Yukon,Spiritueux,60,4.0
2014/2015,Yukon,Vins,60,2.2
2014/2015,Yukon,Bière,60,6.0
2014/2015,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,0.6
2014/2015,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.9
2014/2015,Territoires du Nord-Ouest,Spiritueux,61,5.1
2014/2015,Territoires du Nord-Ouest,Vins,61,1.5
2014/2015,Territoires du Nord-Ouest,Bière,61,5.0
2014/2015,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.4
2014/2015,Nunavut,Total des boissons alcoolisées,62,1.9
2014/2015,Nunavut,Spiritueux,62,0.6
2014/2015,Nunavut,Vins,62,0.2
2014/2015,Nunavut,Bière,62,1.0
2014/2015,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.0
2015/2016,Canada,Spiritueux,,2.1
2015/2016,Canada,Vins,,2.1
2015/2016,Canada,Bière,,3.7
2015/2016,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.3
2015/2016,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.3
2015/2016,Terre-Neuve-et-Labrador,Spiritueux,10,3.3
2015/2016,Terre-Neuve-et-Labrador,Vins,10,1.2
2015/2016,Terre-Neuve-et-Labrador,Bière,10,4.6
2015/2016,Terre-Neuve-et-Labrador,"Cidre, coolers et autres boissons rafraîchissantes",10,0.3
2015/2016,Île-du-Prince-Édouard,Total des boissons alcoolisées,11,8.1
2015/2016,Île-du-Prince-Édouard,Spiritueux,11,2.6
2015/2016,Île-du-Prince-Édouard,Vins,11,1.5
2015/2016,Île-du-Prince-Édouard,Bière,11,3.8
2015/2016,Île-du-Prince-Édouard,"Cidre, coolers et autres boissons rafraîchissantes",11,0.2
2015/2016,Nouvelle-Écosse,Total des boissons alcoolisées,12,7.8
2015/2016,Nouvelle-Écosse,Spiritueux,12,2.3
2015/2016,Nouvelle-Écosse,Vins,12,1.5
2015/2016,Nouvelle-Écosse,Bière,12,3.7
2015/2016,Nouvelle-Écosse,"Cidre, coolers et autres boissons rafraîchissantes",12,0.3
2015/2016,Nouveau-Brunswick,Total des boissons alcoolisées,13,6.8
2015/2016,Nouveau-Brunswick,Spiritueux,13,1.7
2015/2016,Nouveau-Brunswick,Vins,13,1.3
2015/2016,Nouveau-Brunswick,Bière,13,3.5
2015/2016,Nouveau-Brunswick,"Cidre, coolers et autres boissons rafraîchissantes",13,0.3
2015/2016,Québec,Total des boissons alcoolisées,24,8.3
2015/2016,Québec,Spiritueux,24,1.2
2015/2016,Québec,Vins,24,2.9
2015/2016,Québec,Bière,24,4.1
2015/2016,Québec,"Cidre, coolers et autres boissons rafraîchissantes",24,0.1
2015/2016,Ontario,Total des boissons alcoolisées,35,7.5
2015/2016,Ontario,Spiritueux,35,2.0
2015/2016,Ontario,Vins,35,1.9
2015/2016,Ontario,Bière,35,3.3
2015/2016,Ontario,"Cidre, coolers et autres boissons rafraîchissantes",35,0.3
2015/2016,Manitoba,Total des boissons alcoolisées,46,7.8
2015/2016,Manitoba,Spiritueux,46,2.6
2015/2016,Manitoba,Vins,46,1.4
2015/2016,Manitoba,Bière,46,3.6
2015/2016,Manitoba,"Cidre, coolers et autres boissons rafraîchissantes",46,0.3
2015/2016,Saskatchewan,Total des boissons alcoolisées,47,8.5
2015/2016,Saskatchewan,Spiritueux,47,3.0
2015/2016,Saskatchewan,Vins,47,1.1
2015/2016,Saskatchewan,Bière,47,3.7
2015/2016,Saskatchewan,"Cidre, coolers et autres boissons rafraîchissantes",47,0.6
2015/2016,Alberta,Total des boissons alcoolisées,48,9.3
2015/2016,Alberta,Spiritueux,48,3.1
2015/2016,Alberta,Vins,48,1.7
2015/2016,Alberta,Bière,48,4.0
2015/2016,Alberta,"Cidre, coolers et autres boissons rafraîchissantes",48,0.5
2015/2016,Colombie-Britannique,Total des boissons alcoolisées,59,8.9
2015/2016,Colombie-Britannique,Spiritueux,59,2.4
2015/2016,Colombie-Britannique,Vins,59,2.2
2015/2016,Colombie-Britannique,Bière,59,3.6
2015/2016,Colombie-Britannique,"Cidre, coolers et autres boissons rafraîchissantes",59,0.6
2015/2016,Yukon,Total des boissons alcoolisées,60,13.2
2015/2016,Yukon,Spiritueux,60,4.1
2015/2016,Yukon,Vins,60,2.3
2015/2016,Yukon,Bière,60,6.0
2015/2016,Yukon,"Cidre, coolers et autres boissons rafraîchissantes",60,0.8
2015/2016,Territoires du Nord-Ouest,Total des boissons alcoolisées,61,11.8
2015/2016,Territoires du Nord-Ouest,Spiritueux,61,5.0
2015/2016,Territoires du Nord-Ouest,Vins,61,1.4
2015/2016,Territoires du Nord-Ouest,Bière,61,4.8
2015/2016,Territoires du Nord-Ouest,"Cidre, coolers et autres boissons rafraîchissantes",61,0.4
2015/2016,Nunavut,Total des boissons alcoolisées,62,1.8
2015/2016,Nunavut,Spiritueux,62,0.6
2015/2016,Nunavut,Vins,62,0.2
2015/2016,Nunavut,Bière,62,1.0
2015/2016,Nunavut,"Cidre, coolers et autres boissons rafraîchissantes",62,0.0
2016/2017,Canada,Spiritueux,,2.1
2016/2017,Canada,Vins,,2.1
2016/2017,Canada,Bière,,3.6
2016/2017,Canada,"Cidre, coolers et autres boissons rafraîchissantes",,0.3
2016/2017,Terre-Neuve-et-Labrador,Total des boissons alcoolisées,10,9.2
2016/2017,Terre-Neuve-et-Labrador,Spiritueux,10,3.2
