Year,Sexe,Groupe d'âge,Value
2015,Les deux sexes,5 à 17 ans,37.6
2015,Les deux sexes,5 à 11 ans,47.5
2015,Les deux sexes,12 à 17 ans,26.8
2015,Les deux sexes,18 à 64 ans,45.2
2015,Les deux sexes,65 à 79 ans,21.2
2015,Hommes,5 à 17 ans,48.4
2015,Hommes,5 à 11 ans,60.8
2015,Hommes,12 à 17 ans,35.0
2015,Hommes,18 à 64 ans,51.9
2015,Hommes,65 à 79 ans,23.3
2015,Femmes,5 à 17 ans,25.6
2015,Femmes,5 à 11 ans,32.9
2015,Femmes,12 à 17 ans,17.5
2015,Femmes,18 à 64 ans,38.5
2015,Femmes,65 à 79 ans,19.4
2017,Les deux sexes,5 à 17 ans,39.2
2017,Les deux sexes,5 à 11 ans,46.5
2017,Les deux sexes,12 à 17 ans,30.9
2017,Les deux sexes,18 à 64 ans,47.6
2017,Les deux sexes,65 à 79 ans,27.7
2017,Hommes,5 à 17 ans,51.9
2017,Hommes,5 à 11 ans,59.7
2017,Hommes,12 à 17 ans,43.6
2017,Hommes,18 à 64 ans,54.3
2017,Hommes,65 à 79 ans,31.4
2017,Femmes,5 à 17 ans,25.9
2017,Femmes,5 à 11 ans,33.3
2017,Femmes,12 à 17 ans,17.0
2017,Femmes,18 à 64 ans,41.1
2017,Femmes,65 à 79 ans,23.6
2019,Les deux sexes,5 à 17 ans,43.9
2019,Les deux sexes,5 à 11 ans,51.1
2019,Les deux sexes,12 à 17 ans,35.6
2019,Les deux sexes,18 à 64 ans,53.1
2019,Les deux sexes,65 à 79 ans,27.5
2019,Hommes,5 à 17 ans,57.1
2019,Hommes,5 à 11 ans,63.1
2019,Hommes,12 à 17 ans,50.2
2019,Hommes,18 à 64 ans,56.6
2019,Hommes,65 à 79 ans,25.5
2019,Femmes,5 à 17 ans,30.7
2019,Femmes,5 à 11 ans,39.2
2019,Femmes,18 à 64 ans,49.6
2019,Femmes,65 à 79 ans,29.3
2024,Les deux sexes,3 à 4 ans,91.0
2024,Les deux sexes,5 à 11 ans,51.8
2024,Les deux sexes,12 à 17 ans,20.8
2024,Les deux sexes,18 à 64 ans,50.2
2024,Les deux sexes,65 à 79 ans,29.8
2024,Hommes,5 à 11 ans,66.0
2024,Hommes,12 à 17 ans,32.8
2024,Hommes,18 à 64 ans,57.8
2024,Hommes,65 à 79 ans,32.6
2024,Femmes,5 à 11 ans,36.6
2024,Femmes,12 à 17 ans,8.4
2024,Femmes,18 à 64 ans,42.2
2024,Femmes,65 à 79 ans,27.0
