Year,data.Geography,data.Age group,data.Sex,Value
2015,,,,61.9
2016,,,,61.1
2017,,,,61.0
2018,,,,60.7
2019,,,,61.2
2020,,,,62.5
2015,data.Canada,"data.Total, 12 years and over",data.Males,62.8
2016,data.Canada,"data.Total, 12 years and over",data.Males,61.7
2017,data.Canada,"data.Total, 12 years and over",data.Males,61.0
2018,data.Canada,"data.Total, 12 years and over",data.Males,61.2
2019,data.Canada,"data.Total, 12 years and over",data.Males,61.9
2020,data.Canada,"data.Total, 12 years and over",data.Males,63.4
2015,data.Canada,"data.Total, 12 years and over",data.Females,61.1
2016,data.Canada,"data.Total, 12 years and over",data.Females,60.5
2017,data.Canada,"data.Total, 12 years and over",data.Females,61.1
2018,data.Canada,"data.Total, 12 years and over",data.Females,60.2
2019,data.Canada,"data.Total, 12 years and over",data.Females,60.5
2020,data.Canada,"data.Total, 12 years and over",data.Females,61.6
2015,data.Canada,data.12 to 17 years,data.Both sexes,72.9
2016,data.Canada,data.12 to 17 years,data.Both sexes,75.3
2017,data.Canada,data.12 to 17 years,data.Both sexes,75.7
2018,data.Canada,data.12 to 17 years,data.Both sexes,73.4
2019,data.Canada,data.12 to 17 years,data.Both sexes,75.7
2020,data.Canada,data.12 to 17 years,data.Both sexes,76.5
2015,data.Canada,data.12 to 17 years,data.Males,71.0
2016,data.Canada,data.12 to 17 years,data.Males,73.5
2017,data.Canada,data.12 to 17 years,data.Males,75.6
2018,data.Canada,data.12 to 17 years,data.Males,72.4
2019,data.Canada,data.12 to 17 years,data.Males,77.1
2020,data.Canada,data.12 to 17 years,data.Males,78.8
2015,data.Canada,data.12 to 17 years,data.Females,75.0
2016,data.Canada,data.12 to 17 years,data.Females,77.1
2017,data.Canada,data.12 to 17 years,data.Females,75.8
2018,data.Canada,data.12 to 17 years,data.Females,74.4
2019,data.Canada,data.12 to 17 years,data.Females,74.3
2020,data.Canada,data.12 to 17 years,data.Females,74.2
2015,data.Canada,data.18 to 34 years,data.Both sexes,70.9
2016,data.Canada,data.18 to 34 years,data.Both sexes,69.2
2017,data.Canada,data.18 to 34 years,data.Both sexes,70.9
2018,data.Canada,data.18 to 34 years,data.Both sexes,68.2
2019,data.Canada,data.18 to 34 years,data.Both sexes,67.6
2020,data.Canada,data.18 to 34 years,data.Both sexes,69.0
2015,data.Canada,data.18 to 34 years,data.Males,71.3
2016,data.Canada,data.18 to 34 years,data.Males,69.8
2017,data.Canada,data.18 to 34 years,data.Males,72.2
2018,data.Canada,data.18 to 34 years,data.Males,68.5
2019,data.Canada,data.18 to 34 years,data.Males,68.5
2020,data.Canada,data.18 to 34 years,data.Males,70.0
2015,data.Canada,data.18 to 34 years,data.Females,70.5
2016,data.Canada,data.18 to 34 years,data.Females,68.5
2017,data.Canada,data.18 to 34 years,data.Females,69.6
2018,data.Canada,data.18 to 34 years,data.Females,67.9
2019,data.Canada,data.18 to 34 years,data.Females,66.8
2020,data.Canada,data.18 to 34 years,data.Females,68.0
2015,data.Canada,data.35 to 49 years,data.Both sexes,64.3
2016,data.Canada,data.35 to 49 years,data.Both sexes,65.1
2017,data.Canada,data.35 to 49 years,data.Both sexes,64.1
2018,data.Canada,data.35 to 49 years,data.Both sexes,64.0
2019,data.Canada,data.35 to 49 years,data.Both sexes,65.1
2020,data.Canada,data.35 to 49 years,data.Both sexes,65.9
2015,data.Canada,data.35 to 49 years,data.Males,65.7
2016,data.Canada,data.35 to 49 years,data.Males,66.5
2017,data.Canada,data.35 to 49 years,data.Males,63.1
2018,data.Canada,data.35 to 49 years,data.Males,66.2
2019,data.Canada,data.35 to 49 years,data.Males,67.1
2020,data.Canada,data.35 to 49 years,data.Males,67.7
2015,data.Canada,data.35 to 49 years,data.Females,62.9
2016,data.Canada,data.35 to 49 years,data.Females,63.7
2017,data.Canada,data.35 to 49 years,data.Females,65.2
2018,data.Canada,data.35 to 49 years,data.Females,61.8
2019,data.Canada,data.35 to 49 years,data.Females,63.0
2020,data.Canada,data.35 to 49 years,data.Females,64.2
2015,data.Canada,data.50 to 64 years,data.Both sexes,57.7
2016,data.Canada,data.50 to 64 years,data.Both sexes,56.0
2017,data.Canada,data.50 to 64 years,data.Both sexes,54.2
2018,data.Canada,data.50 to 64 years,data.Both sexes,56.5
2019,data.Canada,data.50 to 64 years,data.Both sexes,56.6
2020,data.Canada,data.50 to 64 years,data.Both sexes,58.1
2015,data.Canada,data.50 to 64 years,data.Males,57.9
2016,data.Canada,data.50 to 64 years,data.Males,55.9
2017,data.Canada,data.50 to 64 years,data.Males,53.2
2018,data.Canada,data.50 to 64 years,data.Males,56.2
2019,data.Canada,data.50 to 64 years,data.Males,56.2
2020,data.Canada,data.50 to 64 years,data.Males,58.1
2015,data.Canada,data.50 to 64 years,data.Females,57.6
2016,data.Canada,data.50 to 64 years,data.Females,56.0
2017,data.Canada,data.50 to 64 years,data.Females,55.2
2018,data.Canada,data.50 to 64 years,data.Females,56.9
2019,data.Canada,data.50 to 64 years,data.Females,57.0
2020,data.Canada,data.50 to 64 years,data.Females,58.1
2015,data.Canada,data.65 years and over,data.Both sexes,47.0
2016,data.Canada,data.65 years and over,data.Both sexes,45.8
2017,data.Canada,data.65 years and over,data.Both sexes,46.8
2018,data.Canada,data.65 years and over,data.Both sexes,47.3
2019,data.Canada,data.65 years and over,data.Both sexes,48.4
2020,data.Canada,data.65 years and over,data.Both sexes,50.0
2015,data.Canada,data.65 years and over,data.Males,48.5
2016,data.Canada,data.65 years and over,data.Males,45.8
2017,data.Canada,data.65 years and over,data.Males,45.8
2018,data.Canada,data.65 years and over,data.Males,46.4
2019,data.Canada,data.65 years and over,data.Males,47.2
2020,data.Canada,data.65 years and over,data.Males,49.0
2015,data.Canada,data.65 years and over,data.Females,45.8
2016,data.Canada,data.65 years and over,data.Females,45.8
2017,data.Canada,data.65 years and over,data.Females,47.6
2018,data.Canada,data.65 years and over,data.Females,48.1
2019,data.Canada,data.65 years and over,data.Females,49.4
2020,data.Canada,data.65 years and over,data.Females,50.8
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,59.4
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,64.6
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,61.7
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,60.5
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,64.2
2020,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,63.6
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,57.7
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,62.1
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,58.7
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,58.4
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,61.5
2020,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,60.6
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,60.9
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,67.1
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,64.5
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,62.5
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,66.7
2020,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,66.5
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,78.7
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,74.5
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,62.8
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,79.7
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,76.7
2020,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,76.0
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,76.9
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,80.2
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,60.3
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,76.2
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,73.1
2020,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,83.5
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,80.7
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,68.8
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,65.4
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,83.9
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,80.3
2020,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,68.1
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,61.3
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,72.5
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,67.2
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,64.0
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,68.5
2020,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,68.9
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,55.7
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,76.2
