Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,Minorité visible,Statut d'immigration,GeoCode,Value
2015,,,,,,,,,61.1
2016,,,,,,,,,60.0
2017,,,,,,,,,59.9
2018,,,,,,,,,59.7
2019,,,,,,,,,60.1
2020,,,,,,,,,61.3
2021,,,,,,,,,58.8
2022,,,,,,,,,53.8
2023,,,,,,,,,52.2
2015,Canada,"Total, 18 ans et plus",Hommes,,,,,,62.1
2015,Canada,"Total, 18 ans et plus",Femmes,,,,,,60.1
2015,Canada,18 à 34 ans,Les deux sexes,,,,,,70.9
2015,Canada,18 à 34 ans,Hommes,,,,,,71.3
2015,Canada,18 à 34 ans,Femmes,,,,,,70.5
2015,Canada,35 à 49 ans,Les deux sexes,,,,,,64.3
2015,Canada,35 à 49 ans,Hommes,,,,,,65.7
2015,Canada,35 à 49 ans,Femmes,,,,,,62.9
2015,Canada,50 à 64 ans,Les deux sexes,,,,,,57.7
2015,Canada,50 à 64 ans,Hommes,,,,,,57.9
2015,Canada,50 à 64 ans,Femmes,,,,,,57.6
2015,Canada,65 ans et plus,Les deux sexes,,,,,,47.0
2015,Canada,65 ans et plus,Hommes,,,,,,48.5
2015,Canada,65 ans et plus,Femmes,,,,,,45.8
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,,,10,57.9
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,,,10,56.2
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,,,10,59.6
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,,,10,61.3
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,,,10,55.7
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,,,10,67.1
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,,,10,58.7
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,,,10,61.1
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,,,10,56.5
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,,,10,60.5
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,,,10,57.8
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,,,10,63.2
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,,,10,49.9
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,,,10,48.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,,,10,50.8
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,,,11,61.3
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,,,11,55.6
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,,,11,66.6
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,,,11,74.4
