Year,Géographie,Antigène ou vaccin,Population cible,Genre,GeoCode,Value
2015,Canada,Diphtérie,Recommended vaccines for 2-year-old children,Total - Genre,,76.9
2015,Canada,Coqueluche,Recommended vaccines for 2-year-old children,Total - Genre,,77.0
2015,Canada,Tétanos,Recommended vaccines for 2-year-old children,Total - Genre,,76.7
2015,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Genre,,91.2
2015,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 2-year-old children,Total - Genre,,71.9
2015,Canada,Rougeole,Recommended vaccines for 2-year-old children,Total - Genre,,89.2
2015,Canada,Rubéole,Recommended vaccines for 2-year-old children,Total - Genre,,88.9
2015,Canada,Oreillons,Recommended vaccines for 2-year-old children,Total - Genre,,88.9
2015,Canada,Hépatite B,Recommended vaccines for 2-year-old children,Total - Genre,,69.2
2015,Canada,Varicelle,Recommended vaccines for 2-year-old children,Total - Genre,,74.8
2015,Canada,Méningite de type C,Recommended vaccines for 2-year-old children,Total - Genre,,87.8
2015,Canada,Pneumocoque,Recommended vaccines for 2-year-old children,Total - Genre,,80.3
2015,Canada,Rotavirus,Recommended vaccines for 2-year-old children,Total - Genre,,75.4
2015,Canada,Diphtérie,Recommended vaccines for 7-year-old children,Total - Genre,,74.6
2015,Canada,Coqueluche,Recommended vaccines for 7-year-old children,Total - Genre,,74.9
2015,Canada,Tétanos,Recommended vaccines for 7-year-old children,Total - Genre,,74.6
2015,Canada,Polio,Recommended vaccines for 7-year-old children,Total - Genre,,90.2
2015,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 7-year-old children,Total - Genre,,77.3
2015,Canada,Rougeole,Recommended vaccines for 7-year-old children,Total - Genre,,85.8
2015,Canada,Rubéole,Recommended vaccines for 7-year-old children,Total - Genre,,86.2
2015,Canada,Oreillons,Recommended vaccines for 7-year-old children,Total - Genre,,93.5
2015,Canada,Virus du papillome humain (VPH),Recommended vaccines for 14-year-old children,Femmes+,,74.6
2015,Canada,Diphtérie,Recommended vaccines for 17-year-old children,Total - Genre,,62.2
2015,Canada,Coqueluche,Recommended vaccines for 17-year-old children,Total - Genre,,60.2
2015,Canada,Tétanos,Recommended vaccines for 17-year-old children,Total - Genre,,60.9
2015,Canada,Polio,Recommended vaccines for 17-year-old children,Total - Genre,,87.2
2015,Canada,Haemophilus influenzae de type B (Hib),Recommended vaccines for 17-year-old children,Total - Genre,,74.9
2015,Canada,Rougeole,Recommended vaccines for 17-year-old children,Total - Genre,,89.2
2015,Canada,Rubéole,Recommended vaccines for 17-year-old children,Total - Genre,,87.7
2015,Canada,Oreillons,Recommended vaccines for 17-year-old children,Total - Genre,,95.1
