Year,Géographie,Genre,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,,,,,,79.3
2021,,,,,,81.954805055328
2016,Canada,Total,Total,Non-immigrants,,78.5
2016,Canada,Total,Total,Immigrants,,80.9
2016,Canada,Total,Total,Résidents non permanents,,89.1
2016,Canada,Total,Total,Total de la population des minorités visibles,,82.2
2016,Canada,Total,Total,Pas une minorité visible,,78.5
2016,Canada,Total,Total,Identité autochtone,,61.6
2016,Canada,Total,Total,Premières Nations (Indien de l'Amérique du Nord),,56.8
2016,Canada,Total,Total,Métis,,70.3
2016,Canada,Total,Total,Inuk (Inuit),,40.2
2016,Canada,Total,Total,Identité non autochtone,,80.1
2016,Canada,Total,15 à 24 ans,Total,,65.2
2016,Canada,Total,15 à 24 ans,Non-immigrants,,63.7
2016,Canada,Total,15 à 24 ans,Immigrants,,69.0
2016,Canada,Total,15 à 24 ans,Résidents non permanents,,84.5
2016,Canada,Total,15 à 24 ans,Total de la population des minorités visibles,,69.5
2016,Canada,Total,15 à 24 ans,Pas une minorité visible,,63.6
2016,Canada,Total,15 à 24 ans,Identité autochtone,,47.0
2016,Canada,Total,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),,42.4
2016,Canada,Total,15 à 24 ans,Métis,,56.8
2016,Canada,Total,15 à 24 ans,Inuk (Inuit),,30.2
2016,Canada,Total,15 à 24 ans,Identité non autochtone,,66.5
2016,Canada,Total,25 à 64 ans,Total,,86.3
2016,Canada,Total,25 à 64 ans,Non-immigrants,,85.8
2016,Canada,Total,25 à 64 ans,Immigrants,,87.4
2016,Canada,Total,25 à 64 ans,Résidents non permanents,,92.4
2016,Canada,Total,25 à 64 ans,Total de la population des minorités visibles,,88.3
2016,Canada,Total,25 à 64 ans,Pas une minorité visible,,85.7
2016,Canada,Total,25 à 64 ans,Identité autochtone,,68.8
2016,Canada,Total,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),,64.0
2016,Canada,Total,25 à 64 ans,Métis,,77.4
2016,Canada,Total,25 à 64 ans,Inuk (Inuit),,45.4
2016,Canada,Total,25 à 64 ans,Identité non autochtone,,87.1
2016,Canada,Total,65 à 74 ans,Total,,73.1
2016,Canada,Total,65 à 74 ans,Non-immigrants,,72.9
2016,Canada,Total,65 à 74 ans,Immigrants,,73.9
2016,Canada,Total,65 à 74 ans,Résidents non permanents,,65.9
2016,Canada,Total,65 à 74 ans,Total de la population des minorités visibles,,72.6
2016,Canada,Total,65 à 74 ans,Pas une minorité visible,,73.2
2016,Canada,Total,65 à 74 ans,Identité autochtone,,53.0
2016,Canada,Total,65 à 74 ans,Premières Nations (Indien de l'Amérique du Nord),,49.1
2016,Canada,Total,65 à 74 ans,Métis,,58.0
2016,Canada,Total,65 à 74 ans,Inuk (Inuit),,33.3
2016,Canada,Total,65 à 74 ans,Identité non autochtone,,73.7
2016,Canada,Total,75 ans et plus,Total,,54.9
2016,Canada,Total,75 ans et plus,Non-immigrants,,54.7
2016,Canada,Total,75 ans et plus,Immigrants,,55.3
2016,Canada,Total,75 ans et plus,Résidents non permanents,,53.0
2016,Canada,Total,75 ans et plus,Total de la population des minorités visibles,,56.0
2016,Canada,Total,75 ans et plus,Pas une minorité visible,,54.7
2016,Canada,Total,75 ans et plus,Identité autochtone,,32.3
2016,Canada,Total,75 ans et plus,Premières Nations (Indien de l'Amérique du Nord),,29.0
2016,Canada,Total,75 ans et plus,Métis,,35.6
2016,Canada,Total,75 ans et plus,Inuk (Inuit),,21.7
2016,Canada,Total,75 ans et plus,Identité non autochtone,,55.2
2016,Canada,Hommes,Total,Total,,77.7
2016,Canada,Hommes,Total,Non-immigrants,,76.1
2016,Canada,Hommes,Total,Immigrants,,81.6
2016,Canada,Hommes,Total,Résidents non permanents,,88.9
2016,Canada,Hommes,Total,Total de la population des minorités visibles,,82.6
2016,Canada,Hommes,Total,Pas une minorité visible,,76.4
2016,Canada,Hommes,Total,Identité autochtone,,57.3
2016,Canada,Hommes,Total,Premières Nations (Indien de l'Amérique du Nord),,52.1
2016,Canada,Hommes,Total,Métis,,66.3
2016,Canada,Hommes,Total,Inuk (Inuit),,37.1
2016,Canada,Hommes,Total,Identité non autochtone,,78.6
2016,Canada,Hommes,15 à 24 ans,Total,,63.3
2016,Canada,Hommes,15 à 24 ans,Non-immigrants,,61.7
2016,Canada,Hommes,15 à 24 ans,Immigrants,,67.9
2016,Canada,Hommes,15 à 24 ans,Résidents non permanents,,84.4
2016,Canada,Hommes,15 à 24 ans,Total de la population des minorités visibles,,68.4
2016,Canada,Hommes,15 à 24 ans,Pas une minorité visible,,61.4
2016,Canada,Hommes,15 à 24 ans,Identité autochtone,,44.3
2016,Canada,Hommes,15 à 24 ans,Premières Nations (Indien de l'Amérique du Nord),,39.8
2016,Canada,Hommes,15 à 24 ans,Métis,,53.8
2016,Canada,Hommes,15 à 24 ans,Inuk (Inuit),,27.1
2016,Canada,Hommes,15 à 24 ans,Identité non autochtone,,64.7
2016,Canada,Hommes,25 à 64 ans,Total,,84.1
2016,Canada,Hommes,25 à 64 ans,Non-immigrants,,82.8
2016,Canada,Hommes,25 à 64 ans,Immigrants,,87.3
2016,Canada,Hommes,25 à 64 ans,Résidents non permanents,,91.9
2016,Canada,Hommes,25 à 64 ans,Total de la population des minorités visibles,,88.3
2016,Canada,Hommes,25 à 64 ans,Pas une minorité visible,,82.9
2016,Canada,Hommes,25 à 64 ans,Identité autochtone,,63.9
2016,Canada,Hommes,25 à 64 ans,Premières Nations (Indien de l'Amérique du Nord),,58.5
2016,Canada,Hommes,25 à 64 ans,Métis,,73.0
2016,Canada,Hommes,25 à 64 ans,Inuk (Inuit),,42.3
2016,Canada,Hommes,25 à 64 ans,Identité non autochtone,,85.0
2016,Canada,Hommes,65 à 74 ans,Total,,73.0
2016,Canada,Hommes,65 à 74 ans,Non-immigrants,,71.4
2016,Canada,Hommes,65 à 74 ans,Immigrants,,76.9
2016,Canada,Hommes,65 à 74 ans,Résidents non permanents,,70.4
