Year,Géographie,Niveau de scolarité,Genre,Groupe d'âge,Caractéristiques de la population,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2022,,,,,,,63.0
2023,,,,,,,63.0
2024,,,,,,,65.0
2010,Canada,Études tertiaires,Hommes+,"Total, 25 à 64 ans",Population totale,,45.0
2010,Canada,Études tertiaires,Femmes+,"Total, 25 à 64 ans",Population totale,,55.0
2010,Canada,Études tertiaires,Total - Genre,25 à 34 ans,Population totale,,57.0
2010,Canada,Études tertiaires,Hommes+,25 à 34 ans,Population totale,,49.0
2010,Canada,Études tertiaires,Femmes+,25 à 34 ans,Population totale,,64.0
2010,Canada,Études tertiaires,Total - Genre,30 à 34 ans,Population totale,,58.0
2010,Canada,Études tertiaires,Hommes+,30 à 34 ans,Population totale,,51.0
2010,Canada,Études tertiaires,Femmes+,30 à 34 ans,Population totale,,65.0
2010,Canada,Études tertiaires,Total - Genre,35 à 44 ans,Population totale,,56.0
2010,Canada,Études tertiaires,Hommes+,35 à 44 ans,Population totale,,50.0
2010,Canada,Études tertiaires,Femmes+,35 à 44 ans,Population totale,,63.0
2010,Canada,Études tertiaires,Total - Genre,45 à 54 ans,Population totale,,46.0
2010,Canada,Études tertiaires,Hommes+,45 à 54 ans,Population totale,,42.0
2010,Canada,Études tertiaires,Femmes+,45 à 54 ans,Population totale,,50.0
2010,Canada,Études tertiaires,Total - Genre,55 à 64 ans,Population totale,,42.0
2010,Canada,Études tertiaires,Hommes+,55 à 64 ans,Population totale,,41.0
2010,Canada,Études tertiaires,Femmes+,55 à 64 ans,Population totale,,43.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,"Total, 25 à 64 ans",Population totale,,24.0
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,"Total, 25 à 64 ans",Population totale,,20.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,"Total, 25 à 64 ans",Population totale,,28.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,25 à 34 ans,Population totale,,26.0
2010,Canada,Enseignement tertiaire de cycle court,Hommes+,25 à 34 ans,Population totale,,22.0
2010,Canada,Enseignement tertiaire de cycle court,Femmes+,25 à 34 ans,Population totale,,29.0
2010,Canada,Enseignement tertiaire de cycle court,Total - Genre,30 à 34 ans,Population totale,,27.0
