Year,Géographie,Groupe d'âge,Genre,Progress,GeoCode,Value
2015,Canada,"Total, 15 ans et plus","Total, toutes les personnes",1.5,,12.5
2015,Canada,"Total, 15 ans et plus",Hommes+,,,10.0
2015,Canada,"Total, 15 ans et plus",Femmes+,,,15.0
2015,Canada,15 à 24 ans,"Total, toutes les personnes",,,5.4
2015,Canada,25 à 54 ans,"Total, toutes les personnes",,,13.3
2015,Canada,25 à 34 ans,"Total, toutes les personnes",,,12.1
2015,Canada,35 à 44 ans,"Total, toutes les personnes",,,15.0
2015,Canada,45 à 54 ans,"Total, toutes les personnes",,,13.3
2015,Canada,55 à 64 ans,"Total, toutes les personnes",,,14.2
2015,Canada,65 ans et plus,"Total, toutes les personnes",,,15.0
2015,Atlantique,"Total, 15 ans et plus","Total, toutes les personnes",,1,13.3
2015,Québec,"Total, 15 ans et plus","Total, toutes les personnes",,24,12.5
2015,Ontario,"Total, 15 ans et plus","Total, toutes les personnes",,35,12.5
2015,Prairies,"Total, 15 ans et plus","Total, toutes les personnes",,4,12.9
2015,Colombie-Britannique,"Total, 15 ans et plus","Total, toutes les personnes",,59,12.5
2022,Canada,"Total, 15 ans et plus","Total, toutes les personnes",1.42592592592593,,13.3
2022,Canada,"Total, 15 ans et plus",Hommes+,,,10.8
2022,Canada,"Total, 15 ans et plus",Femmes+,,,15.4
2022,Canada,15 à 24 ans,"Total, toutes les personnes",1.5,,5.0
2022,Canada,15 à 24 ans,Hommes+,,,4.2
2022,Canada,15 à 24 ans,Femmes+,,,6.3
2022,Canada,25 à 54 ans,"Total, toutes les personnes",1.65740740740741,,14.6
2022,Canada,25 à 54 ans,Hommes+,,,10.8
2022,Canada,25 à 54 ans,Femmes+,,,17.9
2022,Canada,25 à 34 ans,"Total, toutes les personnes",1.85227272727273,,12.5
2022,Canada,25 à 34 ans,Hommes+,,,8.8
2022,Canada,25 à 34 ans,Femmes+,,,16.3
2022,Canada,35 à 44 ans,"Total, toutes les personnes",1.632,,16.3
2022,Canada,35 à 44 ans,Hommes+,,,12.5
2022,Canada,35 à 44 ans,Femmes+,,,20.4
2022,Canada,45 à 54 ans,"Total, toutes les personnes",1.3801652892562,,14.2
2022,Canada,45 à 54 ans,Hommes+,,,12.1
2022,Canada,45 à 54 ans,Femmes+,,,16.7
2022,Canada,55 à 64 ans,"Total, toutes les personnes",1.29457364341085,,14.6
2022,Canada,55 à 64 ans,Hommes+,,,12.9
2022,Canada,55 à 64 ans,Femmes+,,,16.7
2022,Canada,65 ans et plus,"Total, toutes les personnes",1.18796992481203,,14.6
2022,Canada,65 ans et plus,Hommes+,,,13.3
2022,Canada,65 ans et plus,Femmes+,,,15.8
2022,Atlantique,"Total, 15 ans et plus","Total, toutes les personnes",1.42735042735043,1,14.2
2022,Atlantique,"Total, 15 ans et plus",Hommes+,,1,11.7
2022,Atlantique,"Total, 15 ans et plus",Femmes+,,1,16.7
2022,Atlantique,15 à 24 ans,"Total, toutes les personnes",,1,
2022,Atlantique,15 à 24 ans,Hommes+,,1,
2022,Atlantique,15 à 24 ans,Femmes+,,1,
2022,Atlantique,25 à 54 ans,"Total, toutes les personnes",1.4957264957265,1,14.6
2022,Atlantique,25 à 54 ans,Hommes+,,1,11.7
2022,Atlantique,25 à 54 ans,Femmes+,,1,17.5
2022,Atlantique,25 à 34 ans,"Total, toutes les personnes",,1,13.8
2022,Atlantique,25 à 34 ans,Hommes+,,1,
2022,Atlantique,25 à 34 ans,Femmes+,,1,16.3
2022,Atlantique,35 à 44 ans,"Total, toutes les personnes",,1,17.5
2022,Atlantique,35 à 44 ans,Hommes+,,1,
2022,Atlantique,35 à 44 ans,Femmes+,,1,20.0
2022,Atlantique,45 à 54 ans,"Total, toutes les personnes",1.85869565217391,1,13.3
2022,Atlantique,45 à 54 ans,Hommes+,,1,9.2
2022,Atlantique,45 à 54 ans,Femmes+,,1,17.1
2022,Atlantique,55 à 64 ans,"Total, toutes les personnes",1.18796992481203,1,14.6
2022,Atlantique,55 à 64 ans,Hommes+,,1,13.3
2022,Atlantique,55 à 64 ans,Femmes+,,1,15.8
2022,Atlantique,65 ans et plus,"Total, toutes les personnes",1.14,1,16.3
2022,Atlantique,65 ans et plus,Hommes+,,1,15.0
2022,Atlantique,65 ans et plus,Femmes+,,1,17.1
2022,Québec,"Total, 15 ans et plus","Total, toutes les personnes",1.42,24,12.1
2022,Québec,"Total, 15 ans et plus",Hommes+,,24,10.0
2022,Québec,"Total, 15 ans et plus",Femmes+,,24,14.2
2022,Québec,15 à 24 ans,"Total, toutes les personnes",,24,
2022,Québec,15 à 24 ans,Hommes+,,24,
2022,Québec,15 à 24 ans,Femmes+,,24,
2022,Québec,25 à 54 ans,"Total, toutes les personnes",1.69791666666667,24,12.9
2022,Québec,25 à 54 ans,Hommes+,,24,9.6
2022,Québec,25 à 54 ans,Femmes+,,24,16.3
2022,Québec,25 à 34 ans,"Total, toutes les personnes",2.22666666666667,24,11.7
2022,Québec,25 à 34 ans,Hommes+,,24,7.5
2022,Québec,25 à 34 ans,Femmes+,,24,16.7
2022,Québec,35 à 44 ans,"Total, toutes les personnes",1.75961538461538,24,14.2
2022,Québec,35 à 44 ans,Hommes+,,24,10.4
2022,Québec,35 à 44 ans,Femmes+,,24,18.3
