Year,Series,Units,Secteur,Value
2013,Taux de croissance de l’utilisation de l’eau,Pourcentage,Ménages,-10.9
2015,Taux de croissance de l’utilisation de l’eau,Pourcentage,Ménages,0.3
2017,Taux de croissance de l’utilisation de l’eau,Pourcentage,Ménages,-4.9
2019,Taux de croissance de l’utilisation de l’eau,Pourcentage,Ménages,1.3
2021,Taux de croissance de l’utilisation de l’eau,Pourcentage,Ménages,5.7
2013,Taux de croissance de l’utilisation de l’eau,Pourcentage,Industries,6.6
2015,Taux de croissance de l’utilisation de l’eau,Pourcentage,Industries,-3.8
2017,Taux de croissance de l’utilisation de l’eau,Pourcentage,Industries,1.8
2019,Taux de croissance de l’utilisation de l’eau,Pourcentage,Industries,-1.0
2021,Taux de croissance de l’utilisation de l’eau,Pourcentage,Industries,-0.3
2013,Taux de croissance de l’utilisation de l’eau,Pourcentage,,4.9
2015,Taux de croissance de l’utilisation de l’eau,Pourcentage,,-3.5
2017,Taux de croissance de l’utilisation de l’eau,Pourcentage,,1.2
2019,Taux de croissance de l’utilisation de l’eau,Pourcentage,,-0.8
2021,Taux de croissance de l’utilisation de l’eau,Pourcentage,,0.2
2013,Taux de croissance de l’utilisation de l’eau par habitant,Pourcentage,,-12.8
2015,Taux de croissance de l’utilisation de l’eau par habitant,Pourcentage,,-1.5
2017,Taux de croissance de l’utilisation de l’eau par habitant,Pourcentage,,-7.1
2019,Taux de croissance de l’utilisation de l’eau par habitant,Pourcentage,,-1.6
2021,Taux de croissance de l’utilisation de l’eau par habitant,Pourcentage,,4.0
2013,Utilisation de l’eau totale,Mètres cubes,Ménages,3122546.0
2015,Utilisation de l’eau totale,Mètres cubes,Ménages,3130439.0
2017,Utilisation de l’eau totale,Mètres cubes,Ménages,2975593.0
2019,Utilisation de l’eau totale,Mètres cubes,Ménages,3014417.0
2021,Utilisation de l’eau totale,Mètres cubes,Ménages,3185653.0
2013,Utilisation de l’eau totale,Mètres cubes,Industries,34075247.0
2015,Utilisation de l’eau totale,Mètres cubes,Industries,32783143.0
2017,Utilisation de l’eau totale,Mètres cubes,Industries,33358916.0
2019,Utilisation de l’eau totale,Mètres cubes,Industries,33032814.0
2021,Utilisation de l’eau totale,Mètres cubes,Industries,32941946.0
2013,Utilisation de l’eau totale,Mètres cubes,,37197793.0
2015,Utilisation de l’eau totale,Mètres cubes,,35913582.0
2017,Utilisation de l’eau totale,Mètres cubes,,36334509.0
2019,Utilisation de l’eau totale,Mètres cubes,,36047231.0
2021,Utilisation de l’eau totale,Mètres cubes,,36127599.0
