Year,Géographie,Type de production d'électricité,GeoCode,Value
2015,,,,81.444
2016,,,,78.766
2017,,,,79.975
2018,,,,79.597
2019,,,,79.36
2020,,,,82.336
2021,,,,81.649
2022,,,,82.055
2023,,,,80.729
2024,,,,79.398
2015,Alberta,Turbine à hydraulique,48,3.241
2015,Alberta,"Total, sources renouvelables et non émettrices de gaz à effet de serre",48,7.066
2015,Alberta,Turbine éolienne,48,3.825
2015,Colombie-Britannique,Turbine à hydraulique,59,90.907
2015,Colombie-Britannique,"Total, sources renouvelables et non émettrices de gaz à effet de serre",59,90.907
2015,Canada,Turbine à hydraulique,,63.248
2015,Canada,Turbine à vapeur-nucléaire,,16.666
2015,Canada,Solaire,,0.046
2015,Canada,Turbine marémotrice,,0.002
2015,Canada,Turbine éolienne,,1.483
2015,Manitoba,Turbine à hydraulique,46,98.423
2015,Manitoba,"Total, sources renouvelables et non émettrices de gaz à effet de serre",46,99.56
2015,Manitoba,Turbine éolienne,46,1.137
2015,Nouveau-Brunswick,Turbine à hydraulique,13,20.753
2015,Nouveau-Brunswick,Turbine à vapeur-nucléaire,13,30.696
2015,Nouveau-Brunswick,"Total, sources renouvelables et non émettrices de gaz à effet de serre",13,56.202
2015,Nouveau-Brunswick,Turbine éolienne,13,4.754
2015,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,95.733
2015,Terre-Neuve-et-Labrador,"Total, sources renouvelables et non émettrices de gaz à effet de serre",10,95.967
2015,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.234
2015,Territoires du Nord-Ouest,Turbine à hydraulique,61,24.992
2015,Territoires du Nord-Ouest,"Total, sources renouvelables et non émettrices de gaz à effet de serre",61,28.331
2015,Territoires du Nord-Ouest,Turbine éolienne,61,3.339
2015,Nouvelle-Écosse,Turbine à hydraulique,12,10.313
2015,Nouvelle-Écosse,Turbine marémotrice,12,0.147
2015,Nouvelle-Écosse,"Total, sources renouvelables et non émettrices de gaz à effet de serre",12,15.509
2015,Nouvelle-Écosse,Turbine éolienne,12,5.048
2015,Nunavut,Turbine à hydraulique,62,
2015,Nunavut,"Total, sources renouvelables et non émettrices de gaz à effet de serre",62,
2015,Ontario,Turbine à hydraulique,35,25.118
2015,Ontario,Turbine à vapeur-nucléaire,35,65.669
2015,Ontario,Solaire,35,0.185
2015,Ontario,"Total, sources renouvelables et non émettrices de gaz à effet de serre",35,93.097
2015,Ontario,Turbine éolienne,35,2.125
2015,Île-du-Prince-Édouard,"Total, sources renouvelables et non émettrices de gaz à effet de serre",11,98.583
2015,Île-du-Prince-Édouard,Turbine éolienne,11,98.583
2015,Québec,Turbine à hydraulique,24,98.986
2015,Québec,Turbine à vapeur-nucléaire,24,
2015,Québec,"Total, sources renouvelables et non émettrices de gaz à effet de serre",24,99.375
2015,Québec,Turbine éolienne,24,0.389
2015,Saskatchewan,Turbine à hydraulique,47,14.415
2015,Saskatchewan,"Total, sources renouvelables et non émettrices de gaz à effet de serre",47,17.757
2015,Saskatchewan,Turbine éolienne,47,3.343
2015,Yukon,Turbine à hydraulique,60,94.139
2015,Yukon,"Total, sources renouvelables et non émettrices de gaz à effet de serre",60,94.299
2015,Yukon,Turbine éolienne,60,0.191
2016,Alberta,Turbine à hydraulique,48,2.492
2016,Alberta,Solaire,48,0.002
2016,Alberta,"Total, sources renouvelables et non émettrices de gaz à effet de serre",48,8.287
2016,Alberta,Turbine éolienne,48,5.792
2016,Colombie-Britannique,Turbine à hydraulique,59,88.57
2016,Colombie-Britannique,Solaire,59,0.0
2016,Colombie-Britannique,Turbine marémotrice,59,0.0
2016,Colombie-Britannique,"Total, sources renouvelables et non émettrices de gaz à effet de serre",59,90.386
2016,Colombie-Britannique,Turbine éolienne,59,1.816
2016,Canada,Turbine à hydraulique,,58.922
2016,Canada,Turbine à vapeur-nucléaire,,14.866
2016,Canada,Solaire,,0.29
2016,Canada,Turbine marémotrice,,0.003
2016,Canada,Turbine éolienne,,4.685
2016,Manitoba,Turbine à hydraulique,46,97.007
2016,Manitoba,Solaire,46,0.0
2016,Manitoba,"Total, sources renouvelables et non émettrices de gaz à effet de serre",46,99.599
2016,Manitoba,Turbine éolienne,46,2.592
2016,Nouveau-Brunswick,Turbine à hydraulique,13,21.957
2016,Nouveau-Brunswick,Turbine à vapeur-nucléaire,13,29.372
2016,Nouveau-Brunswick,Solaire,13,0.0
2016,Nouveau-Brunswick,Turbine marémotrice,13,0.0
2016,Nouveau-Brunswick,"Total, sources renouvelables et non émettrices de gaz à effet de serre",13,56.422
2016,Nouveau-Brunswick,Turbine éolienne,13,5.094
2016,Terre-Neuve-et-Labrador,Turbine à hydraulique,10,94.48
2016,Terre-Neuve-et-Labrador,Solaire,10,0.0
2016,Terre-Neuve-et-Labrador,Turbine marémotrice,10,0.0
2016,Terre-Neuve-et-Labrador,"Total, sources renouvelables et non émettrices de gaz à effet de serre",10,94.951
2016,Terre-Neuve-et-Labrador,Turbine éolienne,10,0.472
2016,Territoires du Nord-Ouest,Turbine à hydraulique,61,30.072
2016,Territoires du Nord-Ouest,Solaire,61,0.034
2016,Territoires du Nord-Ouest,"Total, sources renouvelables et non émettrices de gaz à effet de serre",61,31.952
2016,Territoires du Nord-Ouest,Turbine éolienne,61,1.847
2016,Nouvelle-Écosse,Turbine à hydraulique,12,8.004
2016,Nouvelle-Écosse,Solaire,12,0.0
2016,Nouvelle-Écosse,Turbine marémotrice,12,0.192
2016,Nouvelle-Écosse,"Total, sources renouvelables et non émettrices de gaz à effet de serre",12,18.345
2016,Nouvelle-Écosse,Turbine éolienne,12,10.149
2016,Nunavut,Turbine à hydraulique,62,0.0
2016,Nunavut,Solaire,62,0.0
2016,Nunavut,"Total, sources renouvelables et non émettrices de gaz à effet de serre",62,0.0
2016,Nunavut,Turbine éolienne,62,0.0
2016,Ontario,Turbine à hydraulique,35,23.406
2016,Ontario,Turbine à vapeur-nucléaire,35,57.947
2016,Ontario,Solaire,35,1.153
2016,Ontario,"Total, sources renouvelables et non émettrices de gaz à effet de serre",35,89.226
2016,Ontario,Turbine éolienne,35,6.72
2016,Île-du-Prince-Édouard,Turbine à hydraulique,11,0.0
2016,Île-du-Prince-Édouard,Solaire,11,0.0
2016,Île-du-Prince-Édouard,Turbine marémotrice,11,0.0
2016,Île-du-Prince-Édouard,"Total, sources renouvelables et non émettrices de gaz à effet de serre",11,98.485
2016,Île-du-Prince-Édouard,Turbine éolienne,11,98.485
2016,Québec,Turbine à hydraulique,24,94.246
2016,Québec,Turbine à vapeur-nucléaire,24,
2016,Québec,Solaire,24,0.001
2016,Québec,"Total, sources renouvelables et non émettrices de gaz à effet de serre",24,98.898
2016,Québec,Turbine éolienne,24,4.651
2016,Saskatchewan,Turbine à hydraulique,47,13.358
2016,Saskatchewan,Solaire,47,0.0
