Year,Géographie,Groupe d'âge,Sexe,Groupe autochtone,Niveau de scolarité atteint,Minorité visible,Status d'immigrant,GeoCode,Value
2015,,,,,,,,,61.6
2016,,,,,,,,,61.3
2017,,,,,,,,,61.8
2018,,,,,,,,,62.0
2019,,,,,,,,,62.3
2020,,,,,,,,,58.1
2021,,,,,,,,,60.5
2022,,,,,,,,,62.0
2023,,,,,,,,,62.1
2015,Terre-Neuve-et-Labrador,,,,,,,10,53.6
2015,Île-du-Prince-Édouard,,,,,,,11,61.0
2015,Nouvelle-Écosse,,,,,,,12,57.2
2015,Nouveau-Brunswick,,,,,,,13,56.6
2015,Québec,,,,,,,24,60.0
2015,Ontario,,,,,,,35,61.1
2015,Manitoba,,,,,,,46,64.9
2015,Saskatchewan,,,,,,,47,66.4
2015,Alberta,,,,,,,48,69.0
2015,Colombie-Britannique,,,,,,,59,60.3
2015,Yukon,,,,,,,60,70.1
2015,Territoires du Nord-Ouest,,,,,,,61,69.6
2015,Nunavut,,,,,,,62,53.3
2016,Terre-Neuve-et-Labrador,,,,,,,10,52.4
2016,Île-du-Prince-Édouard,,,,,,,11,59.7
2016,Nouvelle-Écosse,,,,,,,12,56.7
2016,Nouveau-Brunswick,,,,,,,13,56.8
2016,Québec,,,,,,,24,60.0
2016,Ontario,,,,,,,35,60.9
2016,Manitoba,,,,,,,46,63.9
2016,Saskatchewan,,,,,,,47,65.3
2016,Alberta,,,,,,,48,66.5
2016,Colombie-Britannique,,,,,,,59,61.3
2016,Yukon,,,,,,,60,71.9
2016,Territoires du Nord-Ouest,,,,,,,61,69.6
2016,Nunavut,,,,,,,62,55.9
2017,Terre-Neuve-et-Labrador,,,,,,,10,50.4
2017,Île-du-Prince-Édouard,,,,,,,11,60.4
2017,Nouvelle-Écosse,,,,,,,12,56.7
2017,Nouveau-Brunswick,,,,,,,13,56.9
2017,Québec,,,,,,,24,61.0
2017,Ontario,,,,,,,35,61.3
2017,Manitoba,,,,,,,46,63.9
2017,Saskatchewan,,,,,,,47,64.7
2017,Alberta,,,,,,,48,66.3
2017,Colombie-Britannique,,,,,,,59,62.6
2017,Yukon,,,,,,,60,73.4
2017,Territoires du Nord-Ouest,,,,,,,61,66.8
2017,Nunavut,,,,,,,62,54.8
2018,Terre-Neuve-et-Labrador,,,,,,,10,50.7
2018,Île-du-Prince-Édouard,,,,,,,11,60.7
2018,Nouvelle-Écosse,,,,,,,12,56.8
2018,Nouveau-Brunswick,,,,,,,13,56.7
2018,Québec,,,,,,,24,61.5
2018,Ontario,,,,,,,35,61.3
2018,Manitoba,,,,,,,46,63.6
2018,Saskatchewan,,,,,,,47,64.6
2018,Alberta,,,,,,,48,67.1
2018,Colombie-Britannique,,,,,,,59,62.6
2018,Yukon,,,,,,,60,72.0
2018,Territoires du Nord-Ouest,,,,,,,61,67.4
2018,Nunavut,,,,,,,62,54.7
2019,Terre-Neuve-et-Labrador,,,,,,,10,51.6
2019,Île-du-Prince-Édouard,,,,,,,11,61.0
2019,Nouvelle-Écosse,,,,,,,12,57.6
2019,Nouveau-Brunswick,,,,,,,13,56.6
2019,Québec,,,,,,,24,61.9
2019,Ontario,,,,,,,35,61.6
2019,Manitoba,,,,,,,46,63.6
2019,Saskatchewan,,,,,,,47,65.3
2019,Alberta,,,,,,,48,66.8
2019,Colombie-Britannique,,,,,,,59,63.1
2019,Yukon,,,,,,,60,73.2
2019,Territoires du Nord-Ouest,,,,,,,61,68.0
2019,Nunavut,,,,,,,62,55.3
2020,Terre-Neuve-et-Labrador,,,,,,,10,48.4
2020,Île-du-Prince-Édouard,,,,,,,11,58.0
2020,Nouvelle-Écosse,,,,,,,12,54.5
