Year,Géographie,Value
2015,,55750
2016,,56094
2017,,58575
2018,,60196
2019,,61466
2015,Terre-Neuve-et-Labrador,59004
2016,Terre-Neuve-et-Labrador,59534
2017,Terre-Neuve-et-Labrador,63777
2018,Terre-Neuve-et-Labrador,64619
2019,Terre-Neuve-et-Labrador,67527
2015,Île-du-Prince-Édouard,42118
2016,Île-du-Prince-Édouard,43383
2017,Île-du-Prince-Édouard,45146
2018,Île-du-Prince-Édouard,45849
2019,Île-du-Prince-Édouard,47837
2015,Nouvelle-Écosse,43460
2016,Nouvelle-Écosse,44123
2017,Nouvelle-Écosse,45589
2018,Nouvelle-Écosse,46825
2019,Nouvelle-Écosse,48039
2015,Nouveau-Brunswick,44084
2016,Nouveau-Brunswick,44973
2017,Nouveau-Brunswick,46735
2018,Nouveau-Brunswick,48169
2019,Nouveau-Brunswick,49218
2015,Québec,47419
2016,Québec,48532
2017,Québec,50430
2018,Québec,52535
2019,Québec,54149
2015,Ontario,55477
2016,Ontario,56989
2017,Ontario,58633
2018,Ontario,60039
2019,Ontario,61315
2015,Manitoba,51031
2016,Manitoba,51211
2017,Manitoba,53405
2018,Manitoba,54025
2019,Manitoba,53897
2015,Saskatchewan,71081
2016,Saskatchewan,66633
2017,Saskatchewan,69769
2018,Saskatchewan,71311
2019,Saskatchewan,70730
2015,Alberta,78189
2016,Alberta,72519
2017,Alberta,78342
2018,Alberta,79963
2019,Alberta,80905
2015,Colombie-Britannique,52505
2016,Colombie-Britannique,54311
2017,Colombie-Britannique,57265
2018,Colombie-Britannique,59103
2019,Colombie-Britannique,60707
2015,Yukon,69939
2016,Yukon,72353
2017,Yukon,72676
2018,Yukon,75247
2019,Yukon,76114
2015,Territoires du Nord-Ouest,106721
2016,Territoires du Nord-Ouest,99666
2017,Territoires du Nord-Ouest,103072
2018,Territoires du Nord-Ouest,105333
2019,Territoires du Nord-Ouest,100871
2015,Nunavut,66351
2016,Nunavut,69831
2017,Nunavut,80728
2018,Nunavut,87906
2019,Nunavut,95535
