Year,Géographie,Industrie,Taille de l'entreprise,Innovations offrant des avantages pour l'environnement,GeoCode,Value
2017/2019,,,,,,56.9
2020/2022,,,,,,46.5
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,49.3
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,22.3
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par la réduction de la consommation d'énergie par unité de production,,23.5
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Amélioration de l'efficacité environnementale par le remplacement de matériaux par des matériaux moins polluants sur le plan des émissions de gaz à effet de serre,,15.4
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises","Réduction de la consommation de ressources (eau, déchets ou matériaux) au moyen du recyclage",,32.8
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises","Carburants renouvelables (éthanol, biodiesel, biogaz, biocharbon, hydrogène)",,4.8
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'augmentation des activités de protection de l'environnement,,23.0
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit",,17.9
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre,,15.5
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Innovations présentant des avantages environnementaux découlant de l'utilisateur final ou du consommateur,,35.8
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Réduction de la consommation d'énergie ou augmentation de l'efficacité énergétique de l'utilisateur final ou du consommateur,,20.1
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Réduction de l'utilisation de matériaux ou augmentation du recyclage de l'utilisateur final ou du consommateur,,26.0
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises","Réduction de la pollution atmosphérique, de l'eau, du sol ou de la pollution par le bruit de l'utilisateur final ou du consommateur",,13.8
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Réduction des émissions de gaz à effet de serre de l'utilisateur final ou du consommateur,,10.3
2017/2019,Canada,"Total, toutes les industries sondées","Total, toutes les entreprises",Innovations soutenant d'autres avantages environnementaux,,8.8
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Innovations offrant des avantages quelconques pour l'environnement,,56.4
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Innovations présentant des avantages environnementaux découlant de la production fondée sur une utilisation efficace des ressources,,48.9
2017/2019,Canada,"Total, toutes les industries sondées",Petites entreprises (20 à 99 employés),Amélioration de l'efficacité environnementale par la réduction de l'utilisation de matériaux par unité de production,,21.1
