Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2010,,,,116
2011,,,,138
2012,,,,183
2013,,,,286
2014,,,,417
2015,,,,780
2016,,,,1003
2017,,,,1599
2018,,,,2079
2019,,,,4244
2020,,,,5120
2021,,,,6471
2022,,,,8885
2023,,,,12489
2024,,,,14034
2010,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,30
2010,Alberta,Propane,48,30
2011,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,32
2011,Alberta,Électrique,48,1
2011,Alberta,Propane,48,31
2012,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,38
2012,Alberta,Électrique,48,3
2012,Alberta,Propane,48,35
2013,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,47
2013,Alberta,Électrique,48,11
2013,Alberta,Propane,48,36
2014,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,52
2014,Alberta,Électrique,48,16
2015,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,81
2015,Alberta,Électrique,48,44
2015,Alberta,Propane,48,37
2016,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,94
2016,Alberta,Électrique,48,56
2016,Alberta,Propane,48,38
2017,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,168
2017,Alberta,Gaz naturel comprimé,48,1
2017,Alberta,Électrique,48,87
2017,Alberta,Propane,48,80
2018,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,252
2018,Alberta,Gaz naturel comprimé,48,10
2018,Alberta,Électrique,48,97
2018,Alberta,Propane,48,145
2019,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,288
2019,Alberta,Électrique,48,132
2019,Alberta,Propane,48,146
2020,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,317
2020,Alberta,Gaz naturel comprimé,48,11
2020,Alberta,Électrique,48,157
2020,Alberta,Propane,48,149
2021,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,376
2021,Alberta,Électrique,48,213
2021,Alberta,Propane,48,152
2022,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,552
2022,Alberta,Gaz naturel comprimé,48,12
2022,Alberta,Électrique,48,388
2023,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,774
2023,Alberta,Électrique,48,609
2023,Alberta,Propane,48,153
2024,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,893
2024,Alberta,Électrique,48,728
2010,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,39
2010,Colombie-Britannique,Biodiesel,59,1
2010,Colombie-Britannique,Propane,59,38
2011,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,43
2011,Colombie-Britannique,Électrique,59,4
2012,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,49
2012,Colombie-Britannique,Électrique,59,9
2012,Colombie-Britannique,Propane,59,39
2013,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,73
2013,Colombie-Britannique,Électrique,59,31
2013,Colombie-Britannique,Propane,59,41
2014,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,97
2014,Colombie-Britannique,Électrique,59,53
2014,Colombie-Britannique,Propane,59,43
2015,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,188
2015,Colombie-Britannique,Gaz naturel comprimé,59,2
2015,Colombie-Britannique,Électrique,59,141
2015,Colombie-Britannique,Propane,59,44
2016,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,214
2016,Colombie-Britannique,Électrique,59,164
2016,Colombie-Britannique,Propane,59,47
2017,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,306
2017,Colombie-Britannique,Gaz naturel comprimé,59,4
2017,Colombie-Britannique,Électrique,59,215
2017,Colombie-Britannique,Propane,59,86
2018,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,412
2018,Colombie-Britannique,Électrique,59,286
2018,Colombie-Britannique,Hydrogène,59,1
2018,Colombie-Britannique,Propane,59,120
2019,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,641
2019,Colombie-Britannique,Électrique,59,511
2019,Colombie-Britannique,Hydrogène,59,2
2019,Colombie-Britannique,Propane,59,123
2020,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,798
2020,Colombie-Britannique,Électrique,59,665
2020,Colombie-Britannique,Hydrogène,59,3
2020,Colombie-Britannique,Propane,59,125
2021,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1090
2021,Colombie-Britannique,Gaz naturel comprimé,59,5
2021,Colombie-Britannique,Électrique,59,954
2021,Colombie-Britannique,Hydrogène,59,4
2021,Colombie-Britannique,Propane,59,126
2022,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,1585
2022,Colombie-Britannique,Électrique,59,1444
2022,Colombie-Britannique,Hydrogène,59,5
2022,Colombie-Britannique,Propane,59,130
