Year,Géographie,Groupe d'âge,Sexe,Type de famille économique,GeoCode,Value
2015,,,,,,14.5
2016,,,,,,12.9
2017,,,,,,11.9
2018,,,,,,11.2
2019,,,,,,10.3
2020,,,,,,6.4
2021,,,,,,7.4
2022,,,,,,9.9
2023,,,,,,10.2
2015,Alberta,Total,Les deux sexes,Total,48,9.4
2015,Alberta,Moins de 18 ans,Les deux sexes,Total,48,12.3
2015,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.5
2015,Alberta,65 ans et plus,Les deux sexes,Total,48,3.1
2015,Alberta,Total,Homme,Total,48,8.9
2015,Alberta,Moins de 18 ans,Homme,Total,48,9.8
2015,Alberta,18 à 64 ans,Homme,Total,48,9.6
2015,Alberta,Total,Femme,Total,48,9.9
2015,Alberta,Moins de 18 ans,Femme,Total,48,15.0
2015,Alberta,18 à 64 ans,Femme,Total,48,9.5
2015,Alberta,65 ans et plus,Femme,Total,48,3.2
2015,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,7.5
2015,Alberta,Total,Homme,Personnes dans les familles économiques,48,6.6
2015,Alberta,Total,Femme,Personnes dans les familles économiques,48,8.4
2015,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,12.2
2015,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,9.6
2015,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,41.0
2015,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.5
2015,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,6.1
2015,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,6.9
2015,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,20.8
2015,Alberta,Total,Homme,Personnes hors famille économique,48,22.1
2015,Alberta,Total,Femme,Personnes hors famille économique,48,19.3
2015,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,7.4
2015,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,24.2
2015,Alberta,,Homme,Personnes non âgées hors famille économique,48,24.1
2015,Alberta,,Femme,Personnes non âgées hors famille économique,48,24.2
2016,Alberta,Total,Les deux sexes,Total,48,10.1
2016,Alberta,Moins de 18 ans,Les deux sexes,Total,48,10.8
2016,Alberta,18 à 64 ans,Les deux sexes,Total,48,10.9
2016,Alberta,65 ans et plus,Les deux sexes,Total,48,4.3
2016,Alberta,Total,Homme,Total,48,9.8
2016,Alberta,Moins de 18 ans,Homme,Total,48,10.8
2016,Alberta,18 à 64 ans,Homme,Total,48,10.3
2016,Alberta,65 ans et plus,Homme,Total,48,4.5
2016,Alberta,Total,Femme,Total,48,10.5
2016,Alberta,Moins de 18 ans,Femme,Total,48,10.8
2016,Alberta,18 à 64 ans,Femme,Total,48,11.6
2016,Alberta,65 ans et plus,Femme,Total,48,4.1
2016,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,7.8
2016,Alberta,Total,Homme,Personnes dans les familles économiques,48,7.8
2016,Alberta,Total,Femme,Personnes dans les familles économiques,48,7.9
2016,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,10.7
2016,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,9.8
2016,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,37.5
2016,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,7.6
2016,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,7.5
2016,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,7.7
2016,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,23.7
2016,Alberta,Total,Homme,Personnes hors famille économique,48,21.7
2016,Alberta,Total,Femme,Personnes hors famille économique,48,25.8
2016,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,10.1
2016,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,8.6
2016,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,27.7
2016,Alberta,,Homme,Personnes non âgées hors famille économique,48,23.5
2016,Alberta,,Femme,Personnes non âgées hors famille économique,48,32.8
2017,Alberta,Total,Les deux sexes,Total,48,8.5
2017,Alberta,Moins de 18 ans,Les deux sexes,Total,48,7.8
2017,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.8
2017,Alberta,65 ans et plus,Les deux sexes,Total,48,2.9
2017,Alberta,Total,Homme,Total,48,7.8
2017,Alberta,Moins de 18 ans,Homme,Total,48,7.2
2017,Alberta,18 à 64 ans,Homme,Total,48,8.8
2017,Alberta,65 ans et plus,Homme,Total,48,2.7
2017,Alberta,Total,Femme,Total,48,9.3
2017,Alberta,Moins de 18 ans,Femme,Total,48,8.4
2017,Alberta,18 à 64 ans,Femme,Total,48,10.8
2017,Alberta,65 ans et plus,Femme,Total,48,3.0
2017,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,6.4
2017,Alberta,Total,Homme,Personnes dans les familles économiques,48,6.0
2017,Alberta,Total,Femme,Personnes dans les familles économiques,48,6.8
2017,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,1.7
2017,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,7.8
2017,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,6.5
2017,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,27.4
2017,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,6.6
2017,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,6.3
2017,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,6.9
2017,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,20.8
2017,Alberta,Total,Homme,Personnes hors famille économique,48,18.3
2017,Alberta,Total,Femme,Personnes hors famille économique,48,23.4
2017,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.8
2017,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,25.6
2017,Alberta,,Homme,Personnes non âgées hors famille économique,48,20.3
2017,Alberta,,Femme,Personnes non âgées hors famille économique,48,31.8
2018,Alberta,Total,Les deux sexes,Total,48,8.8
2018,Alberta,Moins de 18 ans,Les deux sexes,Total,48,8.8
2018,Alberta,18 à 64 ans,Les deux sexes,Total,48,9.9
2018,Alberta,65 ans et plus,Les deux sexes,Total,48,3.4
2018,Alberta,Total,Homme,Total,48,8.9
2018,Alberta,Moins de 18 ans,Homme,Total,48,9.4
2018,Alberta,18 à 64 ans,Homme,Total,48,9.9
2018,Alberta,65 ans et plus,Homme,Total,48,2.4
2018,Alberta,Total,Femme,Total,48,8.7
2018,Alberta,Moins de 18 ans,Femme,Total,48,8.1
2018,Alberta,18 à 64 ans,Femme,Total,48,9.9
2018,Alberta,65 ans et plus,Femme,Total,48,4.3
2018,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,6.2
2018,Alberta,Total,Homme,Personnes dans les familles économiques,48,6.2
2018,Alberta,Total,Femme,Personnes dans les familles économiques,48,6.3
2018,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,2.7
2018,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,8.7
2018,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,7.4
2018,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,29.7
2018,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,5.9
2018,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,5.6
2018,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,6.1
2018,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,24.0
2018,Alberta,Total,Homme,Personnes hors famille économique,48,23.8
2018,Alberta,Total,Femme,Personnes hors famille économique,48,24.2
2018,Alberta,65 ans et plus,Les deux sexes,Personnes âgées hors famille économique,48,5.6
2018,Alberta,65 ans et plus,Femme,Personnes âgées hors famille économique,48,6.8
2018,Alberta,,Les deux sexes,Personnes non âgées hors famille économique,48,29.1
2018,Alberta,,Homme,Personnes non âgées hors famille économique,48,27.0
2018,Alberta,,Femme,Personnes non âgées hors famille économique,48,32.3
2019,Alberta,Total,Les deux sexes,Total,48,7.7
2019,Alberta,Moins de 18 ans,Les deux sexes,Total,48,6.9
2019,Alberta,18 à 64 ans,Les deux sexes,Total,48,8.9
2019,Alberta,65 ans et plus,Les deux sexes,Total,48,3.5
2019,Alberta,Total,Homme,Total,48,7.8
2019,Alberta,Moins de 18 ans,Homme,Total,48,7.1
2019,Alberta,18 à 64 ans,Homme,Total,48,8.6
2019,Alberta,65 ans et plus,Homme,Total,48,4.5
2019,Alberta,Total,Femme,Total,48,7.7
2019,Alberta,Moins de 18 ans,Femme,Total,48,6.7
2019,Alberta,18 à 64 ans,Femme,Total,48,9.1
2019,Alberta,65 ans et plus,Femme,Total,48,2.7
2019,Alberta,Total,Les deux sexes,Personnes dans les familles économiques,48,5.5
2019,Alberta,Total,Homme,Personnes dans les familles économiques,48,5.3
2019,Alberta,Total,Femme,Personnes dans les familles économiques,48,5.8
2019,Alberta,65 ans et plus,Les deux sexes,Personnes âgées dans les familles économiques,48,2.8
2019,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles économiques,48,6.6
2019,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles comptant un couple avec des enfants,48,5.6
2019,Alberta,Moins de 18 ans,Les deux sexes,Personnes dans les familles monoparentales ayant une femme à leur tête,48,25.4
2019,Alberta,18 à 64 ans,Les deux sexes,Personnes dans les familles économiques,48,5.6
2019,Alberta,18 à 64 ans,Homme,Personnes dans les familles économiques,48,5.0
2019,Alberta,18 à 64 ans,Femme,Personnes dans les familles économiques,48,6.1
2019,Alberta,Total,Les deux sexes,Personnes hors famille économique,48,20.9
