Year,Âge,Génération,Type de ménage,Statut de propriété,Quintile de revenu,Source principale de revenu du ménage,Value
2015 Q4,,,,,,,178.2
2016 Q4,,,,,,,187.1
2017 Q4,,,,,,,187.3
2018 Q4,,,,,,,188.7
2019 Q4,,,,,,,187.7
2020 Q4,,,,,,,175.2
2021 Q4,,,,,,,181.5
2022 Q4,,,,,,,178.5
2023 Q4,,,,,,,175.0
2015 Q4,Moins de 35 ans,,,,,,204.0
2015 Q4,35 à 44 ans,,,,,,244.9
2015 Q4,45 à 54 ans,,,,,,201.7
2015 Q4,55 à 64 ans,,,,,,165.6
2015 Q4,65 ans et plus,,,,,,69.9
2016 Q4,Moins de 35 ans,,,,,,209.5
2016 Q4,35 à 44 ans,,,,,,249.7
2016 Q4,45 à 54 ans,,,,,,219.3
2016 Q4,55 à 64 ans,,,,,,181.0
2016 Q4,65 ans et plus,,,,,,73.9
2017 Q4,Moins de 35 ans,,,,,,207.2
2017 Q4,35 à 44 ans,,,,,,244.0
2017 Q4,45 à 54 ans,,,,,,223.4
2017 Q4,55 à 64 ans,,,,,,185.0
2017 Q4,65 ans et plus,,,,,,75.1
2018 Q4,Moins de 35 ans,,,,,,202.7
2018 Q4,35 à 44 ans,,,,,,252.4
2018 Q4,45 à 54 ans,,,,,,236.5
2018 Q4,55 à 64 ans,,,,,,177.3
2018 Q4,65 ans et plus,,,,,,73.9
2019 Q4,Moins de 35 ans,,,,,,200.0
2019 Q4,35 à 44 ans,,,,,,258.3
2019 Q4,45 à 54 ans,,,,,,243.4
2019 Q4,55 à 64 ans,,,,,,168.2
2019 Q4,65 ans et plus,,,,,,71.3
2020 Q4,Moins de 35 ans,,,,,,187.0
2020 Q4,35 à 44 ans,,,,,,235.2
2020 Q4,45 à 54 ans,,,,,,212.0
2020 Q4,55 à 64 ans,,,,,,166.4
2020 Q4,65 ans et plus,,,,,,72.0
2021 Q4,Moins de 35 ans,,,,,,188.6
2021 Q4,35 à 44 ans,,,,,,245.1
2021 Q4,45 à 54 ans,,,,,,216.5
2021 Q4,55 à 64 ans,,,,,,171.1
2021 Q4,65 ans et plus,,,,,,77.2
2022 Q4,Moins de 35 ans,,,,,,184.5
2022 Q4,35 à 44 ans,,,,,,245.9
2022 Q4,45 à 54 ans,,,,,,212.2
2022 Q4,55 à 64 ans,,,,,,168.5
2022 Q4,65 ans et plus,,,,,,74.5
2023 Q4,Moins de 35 ans,,,,,,175.3
2023 Q4,35 à 44 ans,,,,,,245.1
2023 Q4,45 à 54 ans,,,,,,211.1
2023 Q4,55 à 64 ans,,,,,,172.3
2023 Q4,65 ans et plus,,,,,,71.6
2015 Q4,,Avant 1946,,,,,58.9
2015 Q4,,Baby-boom,,,,,162.6
2015 Q4,,Génération X,,,,,230.7
2015 Q4,,Milléniaux,,,,,198.0
2016 Q4,,Avant 1946,,,,,56.9
2016 Q4,,Baby-boom,,,,,168.9
2016 Q4,,Génération X,,,,,245.5
2016 Q4,,Milléniaux,,,,,204.8
2017 Q4,,Avant 1946,,,,,53.5
2017 Q4,,Baby-boom,,,,,166.4
2017 Q4,,Génération X,,,,,244.0
2017 Q4,,Milléniaux,,,,,205.3
2018 Q4,,Avant 1946,,,,,45.1
2018 Q4,,Baby-boom,,,,,160.7
2018 Q4,,Génération X,,,,,250.0
2018 Q4,,Milléniaux,,,,,206.8
2019 Q4,,Avant 1946,,,,,43.4
2019 Q4,,Baby-boom,,,,,152.2
2019 Q4,,Génération X,,,,,244.2
2019 Q4,,Milléniaux,,,,,213.1
2020 Q4,,Avant 1946,,,,,41.4
2020 Q4,,Baby-boom,,,,,142.9
2020 Q4,,Génération X,,,,,227.2
2020 Q4,,Milléniaux,,,,,186.0
2021 Q4,,Avant 1946,,,,,40.2
2021 Q4,,Baby-boom,,,,,131.7
2021 Q4,,Génération X,,,,,231.2
2021 Q4,,Milléniaux,,,,,209.3
2022 Q4,,Avant 1946,,,,,31.3
2022 Q4,,Baby-boom,,,,,114.5
2022 Q4,,Génération X,,,,,223.5
2022 Q4,,Milléniaux,,,,,231.1
2023 Q4,,Avant 1946,,,,,28.3
2023 Q4,,Baby-boom,,,,,103.7
2023 Q4,,Génération X,,,,,212.0
2023 Q4,,Milléniaux,,,,,241.0
2015 Q4,,,Ménages d'une personne,,,,143.7
2015 Q4,,,de plus d'une personne,,,,184.3
2016 Q4,,,Ménages d'une personne,,,,150.8
2016 Q4,,,de plus d'une personne,,,,193.5
2017 Q4,,,Ménages d'une personne,,,,152.7
2017 Q4,,,de plus d'une personne,,,,193.3
2018 Q4,,,Ménages d'une personne,,,,154.1
2018 Q4,,,de plus d'une personne,,,,194.8
2019 Q4,,,Ménages d'une personne,,,,153.7
2019 Q4,,,de plus d'une personne,,,,193.7
2020 Q4,,,Ménages d'une personne,,,,148.4
2020 Q4,,,de plus d'une personne,,,,179.9
2021 Q4,,,Ménages d'une personne,,,,157.9
2021 Q4,,,de plus d'une personne,,,,185.7
2022 Q4,,,Ménages d'une personne,,,,149.5
2022 Q4,,,de plus d'une personne,,,,183.8
2023 Q4,,,Ménages d'une personne,,,,163.6
2023 Q4,,,de plus d'une personne,,,,176.9
2015 Q4,,,,Propriétaire,,,208.3
2015 Q4,,,,Propriétaire avec hypothèque,,,300.5
2015 Q4,,,,Propriétaire sans hypothèque,,,81.2
