Year,Units,Géographie,Type de famille économique,GeoCode,Value
2015,Dollars constants de 2023,,,,69300.0
2016,Dollars constants de 2023,,,,69200.0
2017,Dollars constants de 2023,,,,70900.0
2018,Dollars constants de 2023,,,,71200.0
2019,Dollars constants de 2023,,,,71500.0
2020,Dollars constants de 2023,,,,76600.0
2021,Dollars constants de 2023,,,,75900.0
2022,Dollars constants de 2023,,,,73300.0
2023,Dollars constants de 2023,,,,74200.0
2015,Dollars constants de 2023,Canada,Familles économiques,,96000.0
2015,Dollars constants de 2023,Canada,Familles de personnes âgées,,71600.0
2015,Dollars constants de 2023,Canada,Couples de personnes âgées,,69900.0
2015,Dollars constants de 2023,Canada,Autres familles de personnes âgées,,79100.0
2015,Dollars constants de 2023,Canada,Familles de personnes non âgées,,103000.0
2015,Dollars constants de 2023,Canada,Couples,,92800.0
2015,Dollars constants de 2023,Canada,Couples avec des enfants,,117200.0
2015,Dollars constants de 2023,Canada,Couples avec d'autres personnes apparentées,,142500.0
2015,Dollars constants de 2023,Canada,Familles monoparentales,,56300.0
2015,Dollars constants de 2023,Canada,Familles monoparentales ayant un homme à leur tête,,71600.0
2015,Dollars constants de 2023,Canada,Familles monoparentales ayant une femme à leur tête,,52900.0
2015,Dollars constants de 2023,Canada,Autres familles de personnes non âgées,,84000.0
2015,Dollars constants de 2023,Canada,Personnes hors famille économique,,35100.0
2015,Dollars constants de 2023,Canada,Personnes âgées hors famille économique,,32700.0
2015,Dollars constants de 2023,Canada,Hommes âgés hors famille économique,,33900.0
2015,Dollars constants de 2023,Canada,Femmes âgées hors famille économique,,32000.0
2015,Dollars constants de 2023,Canada,Personnes non âgées hors famille économique,,36600.0
2015,Dollars constants de 2023,Canada,Hommes non âgés hors famille économique,,39600.0
2015,Dollars constants de 2023,Canada,Femmes non âgées hors famille économique,,32500.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles économiques et personnes hors famille économique,,62200.0
2015,Dollars constants de 2023,Provinces de l'Atlantique,Familles économiques,,85600.0
