Year,data.Geography,Value
2016,,3.9
2016,data.Newfoundland and Labrador,0.4
2016,data.Prince Edward Island,2.0
2016,data.Nova Scotia,2.2
2016,data.New Brunswick,2.4
2016,data.Quebec,4.0
2016,data.Ontario,4.4
2016,data.Manitoba,2.8
2016,data.Saskatchewan,2.6
2016,data.Alberta,3.3
2016,data.British Columbia,4.3
2017,,5.7
2017,data.Newfoundland and Labrador,0.4
2017,data.Prince Edward Island,0.7
2017,data.Nova Scotia,2.2
2017,data.New Brunswick,2.9
2017,data.Quebec,5.9
2017,data.Ontario,7.3
2017,data.Manitoba,2.7
2017,data.Saskatchewan,1.8
2017,data.Alberta,4.5
2017,data.British Columbia,5.2
2018,,4.9
2018,data.Newfoundland and Labrador,0.4
2018,data.Prince Edward Island,1.3
2018,data.Nova Scotia,3.3
2018,data.New Brunswick,1.9
2018,data.Quebec,4.5
2018,data.Ontario,5.7
2018,data.Manitoba,3.1
2018,data.Saskatchewan,2.6
2018,data.Alberta,5.7
2018,data.British Columbia,5.2
2019,,5.2
2019,data.Newfoundland and Labrador,1.1
2019,data.Prince Edward Island,4.5
2019,data.Nova Scotia,3.3
2019,data.New Brunswick,4.2
2019,data.Quebec,4.8
2019,data.Ontario,5.9
2019,data.Manitoba,4.1
2019,data.Saskatchewan,2.8
2019,data.Alberta,4.7
2019,data.British Columbia,6.1
