Year,Géographie,Genre de travail,Classification nationale des professions (CNP),Âge,GeoCode,Value
2015,,,,,,0.84
2016,,,,,,0.83
2017,,,,,,0.84
2018,,,,,,0.87
2019,,,,,,0.85
2020,,,,,,0.86
2021,,,,,,0.86
2022,,,,,,0.84
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,,0.92
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,,0.84
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",55 ans et plus,,0.82
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,15 ans et plus,,0.84
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,15 à 24 ans,,0.93
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,25 à 54 ans,,0.85
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Gestion,55 ans et plus,,0.87
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 ans et plus,,0.9
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 à 24 ans,,1.01
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",25 à 54 ans,,0.89
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",55 ans et plus,,0.84
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,,0.88
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,,0.91
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,,0.9
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,,0.89
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 ans et plus,,0.96
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,15 à 24 ans,,1.0
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,25 à 54 ans,,0.92
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Secteur de la santé,55 ans et plus,,1.13
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,,0.74
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,,0.97
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,,0.78
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,,0.64
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,,0.92
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,,0.95
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,,0.96
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,,0.86
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 ans et plus,,0.87
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Vente et services,15 à 24 ans,,1.0
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Vente et services,25 à 54 ans,,0.82
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Vente et services,55 ans et plus,,0.81
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,,0.75
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,,0.81
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,,0.77
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,,0.65
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,,0.62
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,,0.82
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,,0.6
2015,Canada,Ensemble des employés à temps plein et à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,,0.59
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,,0.74
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,,0.95
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,,0.74
2015,Canada,Ensemble des employés à temps plein et à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,,0.65
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",15 ans et plus,,0.87
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",15 à 24 ans,,0.88
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",25 à 54 ans,,0.87
2015,Canada,Employés à temps plein,"Total des employés, toutes les professions",55 ans et plus,,0.84
2015,Canada,Employés à temps plein,Gestion,15 ans et plus,,0.86
2015,Canada,Employés à temps plein,Gestion,15 à 24 ans,,0.92
2015,Canada,Employés à temps plein,Gestion,25 à 54 ans,,0.86
2015,Canada,Employés à temps plein,Gestion,55 ans et plus,,0.89
2015,Canada,Employés à temps plein,"Affaires, finance et administration",15 ans et plus,,0.9
2015,Canada,Employés à temps plein,"Affaires, finance et administration",15 à 24 ans,,0.98
2015,Canada,Employés à temps plein,"Affaires, finance et administration",25 à 54 ans,,0.89
2015,Canada,Employés à temps plein,"Affaires, finance et administration",55 ans et plus,,0.87
2015,Canada,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,,0.87
2015,Canada,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,,0.93
2015,Canada,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,,0.89
2015,Canada,Employés à temps plein,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,,0.89
2015,Canada,Employés à temps plein,Secteur de la santé,15 ans et plus,,0.9
2015,Canada,Employés à temps plein,Secteur de la santé,15 à 24 ans,,0.98
2015,Canada,Employés à temps plein,Secteur de la santé,25 à 54 ans,,0.9
2015,Canada,Employés à temps plein,Secteur de la santé,55 ans et plus,,1.15
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,,0.77
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,,0.86
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,,0.81
2015,Canada,Employés à temps plein,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,,0.72
2015,Canada,Employés à temps plein,"Arts, culture, sports et loisirs",15 ans et plus,,0.93
2015,Canada,Employés à temps plein,"Arts, culture, sports et loisirs",15 à 24 ans,,0.87
2015,Canada,Employés à temps plein,"Arts, culture, sports et loisirs",25 à 54 ans,,0.98
2015,Canada,Employés à temps plein,"Arts, culture, sports et loisirs",55 ans et plus,,0.94
2015,Canada,Employés à temps plein,Vente et services,15 ans et plus,,0.84
2015,Canada,Employés à temps plein,Vente et services,15 à 24 ans,,0.98
2015,Canada,Employés à temps plein,Vente et services,25 à 54 ans,,0.83
2015,Canada,Employés à temps plein,Vente et services,55 ans et plus,,0.83
2015,Canada,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,,0.77
2015,Canada,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,,0.89
2015,Canada,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,,0.78
2015,Canada,Employés à temps plein,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,,0.68
2015,Canada,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 ans et plus,,0.63
2015,Canada,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,,0.78
2015,Canada,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,,0.59
2015,Canada,Employés à temps plein,"Ressources naturelles, agriculture et production connexe",55 ans et plus,,0.57
2015,Canada,Employés à temps plein,Fabrication et services d'utilité publique,15 ans et plus,,0.76
2015,Canada,Employés à temps plein,Fabrication et services d'utilité publique,15 à 24 ans,,0.98
2015,Canada,Employés à temps plein,Fabrication et services d'utilité publique,25 à 54 ans,,0.73
2015,Canada,Employés à temps plein,Fabrication et services d'utilité publique,55 ans et plus,,0.67
2015,Canada,Employés à temps partiel,"Total des employés, toutes les professions",15 ans et plus,,1.17
2015,Canada,Employés à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,,1.01
2015,Canada,Employés à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,,1.06
2015,Canada,Employés à temps partiel,"Total des employés, toutes les professions",55 ans et plus,,1.03
2015,Canada,Employés à temps partiel,Gestion,15 ans et plus,,0.81
2015,Canada,Employés à temps partiel,Gestion,15 à 24 ans,,
2015,Canada,Employés à temps partiel,Gestion,25 à 54 ans,,0.89
2015,Canada,Employés à temps partiel,Gestion,55 ans et plus,,0.77
2015,Canada,Employés à temps partiel,"Affaires, finance et administration",15 ans et plus,,1.2
2015,Canada,Employés à temps partiel,"Affaires, finance et administration",15 à 24 ans,,1.02
2015,Canada,Employés à temps partiel,"Affaires, finance et administration",25 à 54 ans,,1.29
2015,Canada,Employés à temps partiel,"Affaires, finance et administration",55 ans et plus,,0.87
2015,Canada,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 ans et plus,,0.88
2015,Canada,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,15 à 24 ans,,0.88
2015,Canada,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,25 à 54 ans,,0.92
2015,Canada,Employés à temps partiel,Sciences naturelles et appliquées et domaines apparentés,55 ans et plus,,
2015,Canada,Employés à temps partiel,Secteur de la santé,15 ans et plus,,1.19
2015,Canada,Employés à temps partiel,Secteur de la santé,15 à 24 ans,,1.2
2015,Canada,Employés à temps partiel,Secteur de la santé,25 à 54 ans,,1.18
2015,Canada,Employés à temps partiel,Secteur de la santé,55 ans et plus,,0.93
2015,Canada,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 ans et plus,,0.9
2015,Canada,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",15 à 24 ans,,1.02
2015,Canada,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",25 à 54 ans,,0.86
2015,Canada,Employés à temps partiel,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",55 ans et plus,,0.68
2015,Canada,Employés à temps partiel,"Arts, culture, sports et loisirs",15 ans et plus,,0.99
2015,Canada,Employés à temps partiel,"Arts, culture, sports et loisirs",15 à 24 ans,,0.95
2015,Canada,Employés à temps partiel,"Arts, culture, sports et loisirs",25 à 54 ans,,0.88
2015,Canada,Employés à temps partiel,"Arts, culture, sports et loisirs",55 ans et plus,,0.87
2015,Canada,Employés à temps partiel,Vente et services,15 ans et plus,,1.03
2015,Canada,Employés à temps partiel,Vente et services,15 à 24 ans,,1.0
2015,Canada,Employés à temps partiel,Vente et services,25 à 54 ans,,0.94
2015,Canada,Employés à temps partiel,Vente et services,55 ans et plus,,0.98
2015,Canada,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 ans et plus,,0.96
2015,Canada,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",15 à 24 ans,,0.94
2015,Canada,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",25 à 54 ans,,0.78
2015,Canada,Employés à temps partiel,"Métiers, transport, machinerie et domaines apparentés",55 ans et plus,,0.94
2015,Canada,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 ans et plus,,1.02
2015,Canada,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",15 à 24 ans,,0.94
2015,Canada,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",25 à 54 ans,,0.89
2015,Canada,Employés à temps partiel,"Ressources naturelles, agriculture et production connexe",55 ans et plus,,
2015,Canada,Employés à temps partiel,Fabrication et services d'utilité publique,15 ans et plus,,0.92
2015,Canada,Employés à temps partiel,Fabrication et services d'utilité publique,15 à 24 ans,,1.0
2015,Canada,Employés à temps partiel,Fabrication et services d'utilité publique,25 à 54 ans,,0.86
2015,Canada,Employés à temps partiel,Fabrication et services d'utilité publique,55 ans et plus,,0.89
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 ans et plus,10,0.72
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",15 à 24 ans,10,0.87
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",25 à 54 ans,10,0.75
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Total des employés, toutes les professions",55 ans et plus,10,0.6
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Gestion,15 ans et plus,10,0.82
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Gestion,15 à 24 ans,10,
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Gestion,25 à 54 ans,10,0.89
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,Gestion,55 ans et plus,10,0.62
2015,Terre-Neuve-et-Labrador,Ensemble des employés à temps plein et à temps partiel,"Affaires, finance et administration",15 ans et plus,10,0.84
