Year,Géographie,Type de famille économique,GeoCode,Value
2015,,,,62400.0
2016,,,,62400.0
2017,,,,63900.0
2018,,,,64100.0
2019,,,,64500.0
2020,,,,69000.0
2021,,,,68400.0
2015,Canada,Familles économiques,,86500.0
2015,Canada,Familles de personnes âgées,,64500.0
2015,Canada,Couples de personnes âgées,,63000.0
2015,Canada,Autres familles de personnes âgées,,71300.0
2015,Canada,Familles de personnes non âgées,,92900.0
2015,Canada,Couples,,83700.0
2015,Canada,Couples avec des enfants,,105600.0
2015,Canada,Couples avec d'autres personnes apparentées,,128400.0
2015,Canada,Familles monoparentales,,50800.0
2015,Canada,Familles monoparentales ayant un homme à leur tête,,64500.0
2015,Canada,Familles monoparentales ayant une femme à leur tête,,47700.0
2015,Canada,Autres familles de personnes non âgées,,75700.0
2015,Canada,Personnes hors famille économique,,31600.0
2015,Canada,Personnes âgées hors famille économique,,29500.0
2015,Canada,Hommes âgés hors famille économique,,30600.0
2015,Canada,Femmes âgées hors famille économique,,28900.0
2015,Canada,Personnes non âgées hors famille économique,,33000.0
2015,Canada,Hommes non âgés hors famille économique,,35700.0
2015,Canada,Femmes non âgées hors famille économique,,29300.0
2015,Provinces de l'Atlantique,Familles économiques et personnes hors famille économique,,56100.0
2015,Provinces de l'Atlantique,Familles économiques,,77100.0
2015,Provinces de l'Atlantique,Familles de personnes âgées,,55000.0
2015,Provinces de l'Atlantique,Couples de personnes âgées,,54200.0
2015,Provinces de l'Atlantique,Autres familles de personnes âgées,,58500.0
2015,Provinces de l'Atlantique,Familles de personnes non âgées,,85400.0
2015,Provinces de l'Atlantique,Couples,,75900.0
2015,Provinces de l'Atlantique,Couples avec des enfants,,100900.0
2015,Provinces de l'Atlantique,Couples avec d'autres personnes apparentées,,114800.0
2015,Provinces de l'Atlantique,Familles monoparentales,,43000.0
2015,Provinces de l'Atlantique,Familles monoparentales ayant un homme à leur tête,,52300.0
2015,Provinces de l'Atlantique,Familles monoparentales ayant une femme à leur tête,,41600.0
2015,Provinces de l'Atlantique,Autres familles de personnes non âgées,,63500.0
2015,Provinces de l'Atlantique,Personnes hors famille économique,,27000.0
2015,Provinces de l'Atlantique,Personnes âgées hors famille économique,,26200.0
2015,Provinces de l'Atlantique,Hommes âgés hors famille économique,,29100.0
2015,Provinces de l'Atlantique,Femmes âgées hors famille économique,,25200.0
2015,Provinces de l'Atlantique,Personnes non âgées hors famille économique,,27700.0
2015,Provinces de l'Atlantique,Hommes non âgés hors famille économique,,29600.0
2015,Provinces de l'Atlantique,Femmes non âgées hors famille économique,,26400.0
2015,Terre-Neuve-et-Labrador,Familles économiques et personnes hors famille économique,10,60300.0
2015,Terre-Neuve-et-Labrador,Familles économiques,10,85200.0
2015,Terre-Neuve-et-Labrador,Familles de personnes âgées,10,46900.0
2015,Terre-Neuve-et-Labrador,Couples de personnes âgées,10,44800.0
2015,Terre-Neuve-et-Labrador,Autres familles de personnes âgées,10,61100.0
2015,Terre-Neuve-et-Labrador,Familles de personnes non âgées,10,96100.0
2015,Terre-Neuve-et-Labrador,Couples,10,79300.0
2015,Terre-Neuve-et-Labrador,Couples avec des enfants,10,108500.0
2015,Terre-Neuve-et-Labrador,Couples avec d'autres personnes apparentées,10,141100.0
2015,Terre-Neuve-et-Labrador,Familles monoparentales,10,37500.0
2015,Terre-Neuve-et-Labrador,Familles monoparentales ayant un homme à leur tête,10,
2015,Terre-Neuve-et-Labrador,Familles monoparentales ayant une femme à leur tête,10,32700.0
2015,Terre-Neuve-et-Labrador,Autres familles de personnes non âgées,10,76600.0
2015,Terre-Neuve-et-Labrador,Personnes hors famille économique,10,25500.0
2015,Terre-Neuve-et-Labrador,Personnes âgées hors famille économique,10,24600.0
2015,Terre-Neuve-et-Labrador,Hommes âgés hors famille économique,10,28600.0
2015,Terre-Neuve-et-Labrador,Femmes âgées hors famille économique,10,23100.0
2015,Terre-Neuve-et-Labrador,Personnes non âgées hors famille économique,10,26400.0
2015,Terre-Neuve-et-Labrador,Hommes non âgés hors famille économique,10,29800.0
2015,Terre-Neuve-et-Labrador,Femmes non âgées hors famille économique,10,23500.0
2015,Île-du-Prince-Édouard,Familles économiques et personnes hors famille économique,11,57500.0
2015,Île-du-Prince-Édouard,Familles économiques,11,74200.0
2015,Île-du-Prince-Édouard,Familles de personnes âgées,11,60100.0
2015,Île-du-Prince-Édouard,Couples de personnes âgées,11,59600.0
2015,Île-du-Prince-Édouard,Autres familles de personnes âgées,11,62600.0
2015,Île-du-Prince-Édouard,Familles de personnes non âgées,11,79900.0
2015,Île-du-Prince-Édouard,Couples,11,70300.0
2015,Île-du-Prince-Édouard,Couples avec des enfants,11,92200.0
2015,Île-du-Prince-Édouard,Couples avec d'autres personnes apparentées,11,108400.0
2015,Île-du-Prince-Édouard,Familles monoparentales,11,41800.0
