Year,Géographie,Emplacement,Genre,Démographique and socio-économique,GeoCode,Value
2023,,,,,,75.2
2023,Canada,"Total, emplacement","Total, genre",0 à 14 ans,11124,72.9
2023,Canada,"Total, emplacement","Total, genre",15 à 64 ans,11124,75.8
2023,Canada,"Total, emplacement","Total, genre",15 à 19 ans,11124,73.2
2023,Canada,"Total, emplacement","Total, genre",20 à 24 ans,11124,79.0
2023,Canada,"Total, emplacement","Total, genre",65 ans et plus,11124,74.9
2023,Canada,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,74.8
2023,Canada,"Total, emplacement",Hommes+,0 à 14 ans,11124,72.9
2023,Canada,"Total, emplacement",Hommes+,15 à 64 ans,11124,75.7
2023,Canada,"Total, emplacement",Hommes+,15 à 19 ans,11124,73.1
2023,Canada,"Total, emplacement",Hommes+,20 à 24 ans,11124,78.6
2023,Canada,"Total, emplacement",Hommes+,65 ans et plus,11124,73.0
2023,Canada,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,75.6
2023,Canada,"Total, emplacement",Femmes+,0 à 14 ans,11124,73.0
2023,Canada,"Total, emplacement",Femmes+,15 à 64 ans,11124,76.0
2023,Canada,"Total, emplacement",Femmes+,15 à 19 ans,11124,73.3
2023,Canada,"Total, emplacement",Femmes+,20 à 24 ans,11124,79.5
2023,Canada,"Total, emplacement",Femmes+,65 ans et plus,11124,76.6
2023,Canada,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,81.8
2023,Canada,Urbain,"Total, genre",0 à 14 ans,11124,79.3
2023,Canada,Urbain,"Total, genre",15 à 64 ans,11124,82.2
2023,Canada,Urbain,"Total, genre",15 à 19 ans,11124,79.5
2023,Canada,Urbain,"Total, genre",20 à 24 ans,11124,84.1
2023,Canada,Urbain,"Total, genre",65 ans et plus,11124,82.4
2023,Canada,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,81.6
2023,Canada,Urbain,Hommes+,0 à 14 ans,11124,79.3
2023,Canada,Urbain,Hommes+,15 à 64 ans,11124,82.3
2023,Canada,Urbain,Hommes+,15 à 19 ans,11124,79.5
2023,Canada,Urbain,Hommes+,20 à 24 ans,11124,83.8
2023,Canada,Urbain,Hommes+,65 ans et plus,11124,81.4
2023,Canada,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,82.0
2023,Canada,Urbain,Femmes+,0 à 14 ans,11124,79.4
2023,Canada,Urbain,Femmes+,15 à 64 ans,11124,82.2
2023,Canada,Urbain,Femmes+,15 à 19 ans,11124,79.6
2023,Canada,Urbain,Femmes+,20 à 24 ans,11124,84.4
2023,Canada,Urbain,Femmes+,65 ans et plus,11124,83.3
2023,Canada,Rurale,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.4
2023,Canada,Rurale,"Total, genre",0 à 14 ans,11124,10.0
2023,Canada,Rurale,"Total, genre",15 à 64 ans,11124,10.3
2023,Canada,Rurale,"Total, genre",15 à 19 ans,11124,9.9
2023,Canada,Rurale,"Total, genre",20 à 24 ans,11124,10.7
2023,Canada,Rurale,"Total, genre",65 ans et plus,11124,11.2
2023,Canada,Rurale,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.2
2023,Canada,Rurale,Hommes+,0 à 14 ans,11124,10.0
2023,Canada,Rurale,Hommes+,15 à 64 ans,11124,10.2
2023,Canada,Rurale,Hommes+,15 à 19 ans,11124,9.8
2023,Canada,Rurale,Hommes+,20 à 24 ans,11124,10.6
2023,Canada,Rurale,Hommes+,65 ans et plus,11124,10.5
2023,Canada,Rurale,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),11124,10.7
2023,Canada,Rurale,Femmes+,0 à 14 ans,11124,10.0
2023,Canada,Rurale,Femmes+,15 à 64 ans,11124,10.4
2023,Canada,Rurale,Femmes+,15 à 19 ans,11124,10.1
2023,Canada,Rurale,Femmes+,20 à 24 ans,11124,10.8
2023,Canada,Rurale,Femmes+,65 ans et plus,11124,11.9
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,54.6
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",0 à 14 ans,10,46.7
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 64 ans,10,54.6
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",15 à 19 ans,10,48.8
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",20 à 24 ans,10,62.7
2023,Terre-Neuve-et-Labrador,"Total, emplacement","Total, genre",65 ans et plus,10,60.6
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,54.0
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,0 à 14 ans,10,46.7
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 64 ans,10,54.5
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,15 à 19 ans,10,49.0
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,20 à 24 ans,10,62.9
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Hommes+,65 ans et plus,10,58.5
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,55.1
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,0 à 14 ans,10,46.7
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 64 ans,10,54.6
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,15 à 19 ans,10,48.7
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,20 à 24 ans,10,62.5
2023,Terre-Neuve-et-Labrador,"Total, emplacement",Femmes+,65 ans et plus,10,62.3
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,62.2
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",0 à 14 ans,10,54.1
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 64 ans,10,62.0
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",15 à 19 ans,10,56.2
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",20 à 24 ans,10,68.5
2023,Terre-Neuve-et-Labrador,Urbain,"Total, genre",65 ans et plus,10,68.8
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,61.8
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,0 à 14 ans,10,54.1
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 64 ans,10,62.1
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,15 à 19 ans,10,56.5
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,20 à 24 ans,10,69.2
2023,Terre-Neuve-et-Labrador,Urbain,Hommes+,65 ans et plus,10,67.3
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,62.5
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,0 à 14 ans,10,54.0
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 64 ans,10,61.9
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,15 à 19 ans,10,55.8
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,20 à 24 ans,10,67.8
2023,Terre-Neuve-et-Labrador,Urbain,Femmes+,65 ans et plus,10,70.1
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),10,6.7
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",0 à 14 ans,10,6.7
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",15 à 64 ans,10,7.1
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",15 à 19 ans,10,6.6
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",20 à 24 ans,10,12.3
2023,Terre-Neuve-et-Labrador,Rurale,"Total, genre",65 ans et plus,10,5.2
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,6.4
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,0 à 14 ans,10,6.5
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,15 à 64 ans,10,6.6
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,15 à 19 ans,10,6.2
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,20 à 24 ans,10,10.7
2023,Terre-Neuve-et-Labrador,Rurale,Hommes+,65 ans et plus,10,5.1
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),10,7.0
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,0 à 14 ans,10,6.6
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,15 à 64 ans,10,7.6
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,15 à 19 ans,10,7.2
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,20 à 24 ans,10,14.3
2023,Terre-Neuve-et-Labrador,Rurale,Femmes+,65 ans et plus,10,5.3
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",Total - Groupes d'âge de la population - Données intégrales (100 %),001,54.7
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",0 à 14 ans,001,46.5
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",15 à 64 ans,001,54.8
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",15 à 19 ans,001,48.7
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",20 à 24 ans,001,63.4
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement","Total, genre",65 ans et plus,001,61.0
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,54.2
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,0 à 14 ans,001,46.5
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,15 à 64 ans,001,54.9
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,15 à 19 ans,001,48.9
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,20 à 24 ans,001,63.6
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Hommes+,65 ans et plus,001,58.8
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,Total - Groupes d'âge de la population - Données intégrales (100 %),001,55.2
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,0 à 14 ans,001,46.3
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,15 à 64 ans,001,54.8
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,15 à 19 ans,001,48.6
2023,"St. John's, Terre-Neuve-et-Labrador","Total, emplacement",Femmes+,20 à 24 ans,001,63.2
