Year,Géographie,Type de navettage,Value
2016,Terre-Neuve-et-Labrador,Transport en commun,2.5
2016,Terre-Neuve-et-Labrador,Transport actif,5.0
2016,"St. John's, Terre-Neuve-et-Labrador",Transport en commun,3.1
2016,"St. John's, Terre-Neuve-et-Labrador",Transport actif,4.8
2016,Île-du-Prince-Édouard,Transport en commun,1.4
2016,Île-du-Prince-Édouard,Transport actif,5.8
2016,Nouvelle-Écosse,Transport en commun,6.4
2016,Nouvelle-Écosse,Transport actif,6.9
2016,"Halifax, Nouvelle-Écosse",Transport en commun,11.8
2016,"Halifax, Nouvelle-Écosse",Transport actif,9.2
2016,Nouveau-Brunswick,Transport en commun,2.3
2016,Nouveau-Brunswick,Transport actif,5.0
2016,"Moncton, Nouveau-Brunswick",Transport en commun,3.4
2016,"Moncton, Nouveau-Brunswick",Transport actif,6.0
2016,"Saint John, Nouveau-Brunswick",Transport en commun,4.1
2016,"Saint John, Nouveau-Brunswick",Transport actif,5.4
2016,Québec,Transport en commun,13.7
2016,Québec,Transport actif,7.1
2016,"Montreal, Quebec",Transport en commun,22.3
2016,"Montreal, Quebec",Transport actif,7.2
2016,"Ottawa - Gatineau (Québec part), Québec",Transport en commun,14.5
2016,"Ottawa - Gatineau (Québec part), Québec",Transport actif,6.0
2016,"Québec, Québec",Transport en commun,11.1
2016,"Québec, Québec",Transport actif,7.6
2016,"Saguenay, Québec",Transport en commun,2.2
2016,"Saguenay, Québec",Transport actif,4.3
2016,"Sherbrooke, Québec",Transport en commun,4.2
2016,"Sherbrooke, Québec",Transport actif,6.3
2016,"data.Trois-Rivieres, Quebec",Transport en commun,2.3
2016,"data.Trois-Rivieres, Quebec",Transport actif,5.3
2016,Ontario,Transport en commun,14.6
2016,Ontario,Transport actif,6.5
2016,"Barrie, Ontario",Transport en commun,4.3
2016,"Barrie, Ontario",Transport actif,4.1
2016,"Belleville, Ontario",Transport en commun,2.3
2016,"Belleville, Ontario",Transport actif,6.2
2016,"Brantford, Ontario",Transport en commun,3.1
2016,"Brantford, Ontario",Transport actif,4.6
2016,"Greater Sudbury / Grand Sudbury, Ontario",Transport en commun,4.9
2016,"Greater Sudbury / Grand Sudbury, Ontario",Transport actif,4.9
2016,"Guelph, Ontario",Transport en commun,6.4
2016,"Guelph, Ontario",Transport actif,6.9
2016,"Hamilton, Ontario",Transport en commun,9.8
2016,"Hamilton, Ontario",Transport actif,5.1
2016,"Kingston, Ontario",Transport en commun,6.8
2016,"Kingston, Ontario",Transport actif,9.5
2016,"Kitchener - Cambridge - Waterloo, Ontario",Transport en commun,6.0
2016,"Kitchener - Cambridge - Waterloo, Ontario",Transport actif,5.5
2016,"London, Ontario",Transport en commun,7.2
2016,"London, Ontario",Transport actif,6.7
2016,"Oshawa, Ontario",Transport en commun,9.6
2016,"Oshawa, Ontario",Transport actif,3.4
2016,"Ottawa - Gatineau (Ontario part), Ontario",Transport en commun,19.6
2016,"Ottawa - Gatineau (Ontario part), Ontario",Transport actif,9.6
2016,"Peterborough, Ontario",Transport en commun,3.9
2016,"Peterborough, Ontario",Transport actif,8.3
2016,"St. Catharines - Niagara, Ontario",Transport en commun,2.7
2016,"St. Catharines - Niagara, Ontario",Transport actif,5.4
2016,"Thunder Bay, Ontario",Transport en commun,3.9
2016,"Thunder Bay, Ontario",Transport actif,5.4
2016,"Toronto, Ontario",Transport en commun,24.3
2016,"Toronto, Ontario",Transport actif,6.7
2016,"Windsor, Ontario",Transport en commun,3.4
2016,"Windsor, Ontario",Transport actif,4.3
2016,Manitoba,Transport en commun,9.4
2016,Manitoba,Transport actif,7.1
2016,"Winnipeg, Manitoba",Transport en commun,13.6
2016,"Winnipeg, Manitoba",Transport actif,6.3
2016,Saskatchewan,Transport en commun,2.9
2016,Saskatchewan,Transport actif,6.8
2016,"Regina, Saskatchewan",Transport en commun,5.1
2016,"Regina, Saskatchewan",Transport actif,5.1
2016,"Saskatoon, Saskatchewan",Transport en commun,4.3
2016,"Saskatoon, Saskatchewan",Transport actif,6.1
2016,Alberta,Transport en commun,10.1
2016,Alberta,Transport actif,5.6
2016,"Calgary, Alberta",Transport en commun,14.4
2016,"Calgary, Alberta",Transport actif,6.2
2016,"Edmonton, Alberta",Transport en commun,11.3
2016,"Edmonton, Alberta",Transport actif,4.7
2016,"Lethbridge, Alberta",Transport en commun,2.9
2016,"Lethbridge, Alberta",Transport actif,5.4
2016,Colombie-Britannique,Transport en commun,13.1
2016,Colombie-Britannique,Transport actif,9.3
2016,"Abbotsford - Mission, Colombie-Britannique",Transport en commun,2.5
2016,"Abbotsford - Mission, Colombie-Britannique",Transport actif,3.7
2016,"Kelowna, Colombie-Britannique",Transport en commun,3.9
2016,"Kelowna, Colombie-Britannique",Transport actif,7.2
2016,"Vancouver, Colombie-Britannique",Transport en commun,20.4
2016,"Vancouver, Colombie-Britannique",Transport actif,9.1
2016,"Victoria, Colombie-Britannique",Transport en commun,10.9
2016,"Victoria, Colombie-Britannique",Transport actif,16.9
2016,Yukon,Transport en commun,3.9
2016,Yukon,Transport actif,11.9
2016,Territoires du Nord-Ouest,Transport en commun,1.3
2016,Territoires du Nord-Ouest,Transport actif,25.4
2016,Nunavut,Transport en commun,0.8
2016,Nunavut,Transport actif,44.3
