Year,Géographie,Sources des déchets à des fins d'élimination,Value
2002,Alberta,Toutes les sources de déchets à des fins d'élimination,923.9
2004,Alberta,Toutes les sources de déchets à des fins d'élimination,950.2
2006,Alberta,Toutes les sources de déchets à des fins d'élimination,1116.5
2008,Alberta,Toutes les sources de déchets à des fins d'élimination,1153.4
2010,Alberta,Toutes les sources de déchets à des fins d'élimination,1049.7
2012,Alberta,Toutes les sources de déchets à des fins d'élimination,1010.2
2014,Alberta,Toutes les sources de déchets à des fins d'élimination,1003.4
2016,Alberta,Toutes les sources de déchets à des fins d'élimination,1002.5
2018,Alberta,Toutes les sources de déchets à des fins d'élimination,958.1
2002,Alberta,Sources de déchets résidentielles à des fins d'élimination,646.9
2004,Alberta,Sources de déchets résidentielles à des fins d'élimination,658.9
2006,Alberta,Sources de déchets résidentielles à des fins d'élimination,831.9
2008,Alberta,Sources de déchets résidentielles à des fins d'élimination,877.0
2010,Alberta,Sources de déchets résidentielles à des fins d'élimination,756.8
2012,Alberta,Sources de déchets résidentielles à des fins d'élimination,706.6
2014,Alberta,Sources de déchets résidentielles à des fins d'élimination,702.1
2016,Alberta,Sources de déchets résidentielles à des fins d'élimination,692.7
2018,Alberta,Sources de déchets résidentielles à des fins d'élimination,647.1
2002,Alberta,Sources de déchets non résidentielles à des fins d'élimination,276.9
2004,Alberta,Sources de déchets non résidentielles à des fins d'élimination,291.3
2006,Alberta,Sources de déchets non résidentielles à des fins d'élimination,284.6
2008,Alberta,Sources de déchets non résidentielles à des fins d'élimination,276.4
2010,Alberta,Sources de déchets non résidentielles à des fins d'élimination,292.9
2012,Alberta,Sources de déchets non résidentielles à des fins d'élimination,303.6
2014,Alberta,Sources de déchets non résidentielles à des fins d'élimination,301.4
2016,Alberta,Sources de déchets non résidentielles à des fins d'élimination,309.8
2018,Alberta,Sources de déchets non résidentielles à des fins d'élimination,311.0
2002,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,655.5
2004,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,666.0
2006,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,687.7
2008,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,646.4
2010,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,595.3
2012,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,570.2
2014,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,578.1
2016,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,538.0
2018,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,542.8
2002,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,428.9
2004,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,444.8
2006,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,462.1
2008,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,425.6
2010,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,381.7
2012,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,362.8
2014,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,378.1
2016,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,346.7
2018,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,344.6
2002,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,226.6
2004,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,221.2
2006,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,225.6
2008,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,220.8
2010,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,213.6
2012,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,207.5
2014,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,200.0
2016,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,191.3
2018,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,198.3
2002,,,767.9
2004,,,789.8
2006,,,811.1
2008,,,779.8
2010,,,733.8
2012,,,711.0
2014,,,698.9
2016,,,690.7
2018,,,694.3
2002,Canada,Sources de déchets résidentielles à des fins d'élimination,498.6
