Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,Series,GeoCode,Value
2015,,,,,,Âgés de 18 ans et plus,,66.7
2016,,,,,,Âgés de 18 ans et plus,,67.5
2017,,,,,,Âgés de 18 ans et plus,,68.2
2018,,,,,,Âgés de 18 ans et plus,,67.1
2019,,,,,,Âgés de 18 ans et plus,,68.4
2020,,,,,,Âgés de 18 ans et plus,,69.0
2021,,,,,,Âgés de 18 ans et plus,,68.4
2022,,,,,,Âgés de 18 ans et plus,,63.5
2023,,,,,,Âgés de 18 ans et plus,,60.6
2015,Canada,"Total, 18 ans et plus",Hommes,,,Âgés de 18 ans et plus,,66.3
2015,Canada,"Total, 18 ans et plus",Femmes,,,Âgés de 18 ans et plus,,67.2
2015,Canada,18 à 34 ans,Les deux sexes,,,Âgés de 18 ans et plus,,62.2
2015,Canada,18 à 34 ans,Hommes,,,Âgés de 18 ans et plus,,60.5
2015,Canada,18 à 34 ans,Femmes,,,Âgés de 18 ans et plus,,63.8
2015,Canada,35 à 49 ans,Les deux sexes,,,Âgés de 18 ans et plus,,66.6
2015,Canada,35 à 49 ans,Hommes,,,Âgés de 18 ans et plus,,65.7
2015,Canada,35 à 49 ans,Femmes,,,Âgés de 18 ans et plus,,67.5
2015,Canada,50 à 64 ans,Les deux sexes,,,Âgés de 18 ans et plus,,66.7
2015,Canada,50 à 64 ans,Hommes,,,Âgés de 18 ans et plus,,67.9
2015,Canada,50 à 64 ans,Femmes,,,Âgés de 18 ans et plus,,65.4
2015,Canada,65 ans et plus,Les deux sexes,,,Âgés de 18 ans et plus,,74.3
2015,Canada,65 ans et plus,Hommes,,,Âgés de 18 ans et plus,,74.6
2015,Canada,65 ans et plus,Femmes,,,Âgés de 18 ans et plus,,73.9
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,Âgés de 18 ans et plus,10,78.1
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,Âgés de 18 ans et plus,10,78.8
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,Âgés de 18 ans et plus,10,77.4
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,Âgés de 18 ans et plus,10,64.6
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,Âgés de 18 ans et plus,10,58.3
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,Âgés de 18 ans et plus,10,70.9
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,Âgés de 18 ans et plus,10,75.3
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,Âgés de 18 ans et plus,10,78.8
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,Âgés de 18 ans et plus,10,72.2
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,Âgés de 18 ans et plus,10,84.4
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,Âgés de 18 ans et plus,10,87.9
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,Âgés de 18 ans et plus,10,81.1
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,Âgés de 18 ans et plus,10,88.0
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,Âgés de 18 ans et plus,10,90.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,Âgés de 18 ans et plus,10,85.5
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,Âgés de 18 ans et plus,11,76.4
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,Âgés de 18 ans et plus,11,77.5
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,Âgés de 18 ans et plus,11,75.3
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,Âgés de 18 ans et plus,11,78.7
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,Âgés de 18 ans et plus,11,74.9
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,Âgés de 18 ans et plus,11,82.6
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,Âgés de 18 ans et plus,11,71.7
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,Âgés de 18 ans et plus,11,77.0
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,Âgés de 18 ans et plus,11,66.7
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,Âgés de 18 ans et plus,11,72.4
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,Âgés de 18 ans et plus,11,74.8
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,Âgés de 18 ans et plus,11,69.9
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,Âgés de 18 ans et plus,11,84.4
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,Âgés de 18 ans et plus,11,85.4
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,Âgés de 18 ans et plus,11,83.6
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,Âgés de 18 ans et plus,12,75.7
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,Âgés de 18 ans et plus,12,74.3
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,Âgés de 18 ans et plus,12,77.0
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,Âgés de 18 ans et plus,12,66.7
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,,,Âgés de 18 ans et plus,12,68.6
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,,,Âgés de 18 ans et plus,12,64.9
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,Âgés de 18 ans et plus,12,73.7
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,,,Âgés de 18 ans et plus,12,69.1
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,,,Âgés de 18 ans et plus,12,77.9
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,Âgés de 18 ans et plus,12,80.4
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,,,Âgés de 18 ans et plus,12,77.8
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,,,Âgés de 18 ans et plus,12,82.6
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,Âgés de 18 ans et plus,12,82.3
2015,Nouvelle-Écosse,65 ans et plus,Hommes,,,Âgés de 18 ans et plus,12,83.0
2015,Nouvelle-Écosse,65 ans et plus,Femmes,,,Âgés de 18 ans et plus,12,81.7
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,Âgés de 18 ans et plus,13,69.7
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,Âgés de 18 ans et plus,13,70.2
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,Âgés de 18 ans et plus,13,69.1
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,Âgés de 18 ans et plus,13,66.9
2015,Nouveau-Brunswick,18 à 34 ans,Hommes,,,Âgés de 18 ans et plus,13,70.6
2015,Nouveau-Brunswick,18 à 34 ans,Femmes,,,Âgés de 18 ans et plus,13,63.2
2015,Nouveau-Brunswick,35 à 49 ans,Les deux sexes,,,Âgés de 18 ans et plus,13,64.3
2015,Nouveau-Brunswick,35 à 49 ans,Hommes,,,Âgés de 18 ans et plus,13,60.5
