Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,,,,,257.6880441
2020,,,,,260.5568381
2018,Canada,Toutes les matières,Sources des matières résidentielles récupérées,,
2018,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,,
2018,Canada,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,,94.95969306
2018,Canada,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,,41.46918971
2018,Canada,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,,53.49050335
2018,Canada,Verre,Toutes les sources des matières récupérées,,10.7090274
2018,Canada,Verre,Sources des matières résidentielles récupérées,,8.04131457
2018,Canada,Verre,Sources des matières non résidentielles récupérées,,2.667712826
2018,Canada,Métaux ferreux,Toutes les sources des matières récupérées,,16.85861551
2018,Canada,Métaux ferreux,Sources des matières résidentielles récupérées,,3.098900302
2018,Canada,Métaux ferreux,Sources des matières non résidentielles récupérées,,13.75971521
2018,Canada,Cuivre et aluminium,Toutes les sources des matières récupérées,,3.562975872
2018,Canada,Cuivre et aluminium,Sources des matières résidentielles récupérées,,1.098473161
2018,Canada,Cuivre et aluminium,Sources des matières non résidentielles récupérées,,2.464502711
2018,Canada,Métaux mélangés,Toutes les sources des matières récupérées,,3.156258866
2018,Canada,Métaux mélangés,Sources des matières résidentielles récupérées,,1.615050974
2018,Canada,Métaux mélangés,Sources des matières non résidentielles récupérées,,1.541207893
2018,Canada,Électroménagers,Toutes les sources des matières récupérées,,1.712096484
2018,Canada,Électroménagers,Sources des matières résidentielles récupérées,,1.041492311
2018,Canada,Électroménagers,Sources des matières non résidentielles récupérées,,0.670604173
2018,Canada,Matériel électronique,Toutes les sources des matières récupérées,,2.840139253
2018,Canada,Matériel électronique,Sources des matières résidentielles récupérées,,
2018,Canada,Matériel électronique,Sources des matières non résidentielles récupérées,,
2018,Canada,Matières plastiques,Toutes les sources des matières récupérées,,9.565849089
2018,Canada,Matières plastiques,Sources des matières résidentielles récupérées,,6.75360671
2018,Canada,Matières plastiques,Sources des matières non résidentielles récupérées,,2.812242379
2018,Canada,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,,0.680505675
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,,0.599081335
