Year,Type d'événement,Événement,Value
2010,Biologique,Épidémie,1
2010,Géologique,Tremblement de terre,1
2010,Météorologique - hydrologique,Inondation,7
2010,Météorologique - hydrologique,Ouragan / ouragan / tempête tropicale,2
2010,Météorologique - hydrologique,Tempête-non précisée/autre,1
2010,Météorologique - hydrologique,Onde de tempête,1
2010,Météorologique - hydrologique,Orages et orages graves,2
2010,Météorologique - hydrologique,Tornade,3
2010,Météorologique - hydrologique,Feu de forêt,5
2010,Météorologique - hydrologique,Tempête hivernale,1
2011,Météorologique - hydrologique,Inondation,7
2011,Météorologique - hydrologique,Ouragan / ouragan / tempête tropicale,1
2011,Météorologique - hydrologique,Tornade,1
2011,Météorologique - hydrologique,Feu de forêt,5
2012,Biologique,Épidémie,1
2012,Météorologique - hydrologique,Inondation,6
2012,Météorologique - hydrologique,Feu de forêt,10
2013,Météorologique - hydrologique,Inondation,4
2013,Météorologique - hydrologique,Orages et orages graves,1
2013,Météorologique - hydrologique,Tempête hivernale,3
2014,Météorologique - hydrologique,Inondation,5
2014,Météorologique - hydrologique,Ouragan / ouragan / tempête tropicale,1
2014,Météorologique - hydrologique,Feu de forêt,2
2015,Météorologique - hydrologique,Inondation,3
2015,Météorologique - hydrologique,Tempête-non précisée/autre,1
2015,Météorologique - hydrologique,Orages et orages graves,6
2015,Météorologique - hydrologique,Tornade,1
2015,Météorologique - hydrologique,Feu de forêt,2
2015,Météorologique - hydrologique,Tempête hivernale,1
2016,Biologique,Épidémie,1
2016,Géologique,Éboulement,1
2016,Météorologique - hydrologique,Inondation,7
2016,Météorologique - hydrologique,Tempête-non précisée/autre,4
2016,Météorologique - hydrologique,Orages et orages graves,7
2016,Météorologique - hydrologique,Tornade,1
2016,Météorologique - hydrologique,Feu de forêt,5
2016,Météorologique - hydrologique,Tempête hivernale,3
2017,Météorologique - hydrologique,Inondation,3
2017,Météorologique - hydrologique,Orages et orages graves,1
2017,Météorologique - hydrologique,Feu de forêt,1
2017,Météorologique - hydrologique,Tempête hivernale,3
2018,Météorologique - hydrologique,Inondation,3
2018,Météorologique - hydrologique,Épisode de chaleur,1
2018,Météorologique - hydrologique,Tempête-non précisée/autre,1
2018,Météorologique - hydrologique,Orages et orages graves,3
2018,Météorologique - hydrologique,Tornade,1
2018,Météorologique - hydrologique,Feu de forêt,2
2018,Météorologique - hydrologique,Tempête hivernale,1
2019,Météorologique - hydrologique,Inondation,2
2019,Météorologique - hydrologique,Tempête hivernale,2
