Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Canada,Eau potable,Toutes les municipalités,,29.45
2016,Canada,Eau potable,Toutes les municipalités urbaines,,32.43
2016,Canada,Eau potable,"Municipalités urbaines, population de 1 à 4 999",,22.11
2016,Canada,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",,36.05
2016,Canada,Eau potable,"Municipalités urbaines, population de 30 000 et plus",,41.67
2016,Canada,Eau potable,Toutes les municipalités rurales,,27.61
2016,Canada,Eau potable,"Municipalités rurales, population 1 à 4 999",,26.54
2016,Canada,Eau potable,"Municipalités rurales, population 5 000 et plus",,31.08
2016,Canada,Eaux pluviales,Toutes les municipalités,,51.11
2016,Canada,Eaux pluviales,Toutes les municipalités urbaines,,59.42
2016,Canada,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",,37.91
2016,Canada,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",,64.03
2016,Canada,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",,77.18
2016,Canada,Eaux pluviales,Toutes les municipalités rurales,,45.44
2016,Canada,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",,44.87
2016,Canada,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",,46.98
2016,Canada,Eaux usées,Toutes les municipalités,,35.37
2016,Canada,Eaux usées,Toutes les municipalités urbaines,,39.44
2016,Canada,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",,28.21
2016,Canada,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",,42.15
2016,Canada,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",,50.36
2016,Canada,Eaux usées,Toutes les municipalités rurales,,33.02
2016,Canada,Eaux usées,"Municipalités rurales, population 1 à 4 999",,32.6
2016,Canada,Eaux usées,"Municipalités rurales, population 5 000 et plus",,34.08
2016,Canada,Déchets solides,Toutes les municipalités,,15.27
2016,Canada,Déchets solides,Toutes les municipalités urbaines,,18.18
2016,Canada,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",,11.76
