Year,Géographie,Indice,GeoCode,Value
2015,,,,70.39
2016,,,,72.01
2017,,,,73.6
2018,,,,75.61
2019,,,,79.75
2020,,,,73.9
2021,,,,73.68
2015,Canada,Indice des crimes avec violence,,75.34
2015,Canada,Indice de gravité de la criminalité chez les jeunes,,60.42
2015,Canada,Indice des crimes avec violence chez les jeunes,,66.39
2015,Terre-Neuve-et-Labrador,Indice de gravité de la criminalité,10,65.78
2015,Terre-Neuve-et-Labrador,Indice des crimes avec violence,10,67.02
2015,Terre-Neuve-et-Labrador,Indice de gravité de la criminalité chez les jeunes,10,59.62
2015,Terre-Neuve-et-Labrador,Indice des crimes avec violence chez les jeunes,10,50.24
2015,Île-du-Prince-Édouard,Indice de gravité de la criminalité,11,50.63
2015,Île-du-Prince-Édouard,Indice des crimes avec violence,11,42.16
2015,Île-du-Prince-Édouard,Indice de gravité de la criminalité chez les jeunes,11,34.64
2015,Île-du-Prince-Édouard,Indice des crimes avec violence chez les jeunes,11,30.44
2015,Nouvelle-Écosse,Indice de gravité de la criminalité,12,63.26
2015,Nouvelle-Écosse,Indice des crimes avec violence,12,70.93
2015,Nouvelle-Écosse,Indice de gravité de la criminalité chez les jeunes,12,71.34
2015,Nouvelle-Écosse,Indice des crimes avec violence chez les jeunes,12,67.34
2015,Nouveau-Brunswick,Indice de gravité de la criminalité,13,62.41
2015,Nouveau-Brunswick,Indice des crimes avec violence,13,59.82
2015,Nouveau-Brunswick,Indice de gravité de la criminalité chez les jeunes,13,56.92
2015,Nouveau-Brunswick,Indice des crimes avec violence chez les jeunes,13,51.15
2015,Québec,Indice de gravité de la criminalité,24,56.95
2015,Québec,Indice des crimes avec violence,24,66.47
2015,Québec,Indice de gravité de la criminalité chez les jeunes,24,53.71
2015,Québec,Indice des crimes avec violence chez les jeunes,24,63.82
2015,Ontario,Indice de gravité de la criminalité,35,51.05
2015,Ontario,Indice des crimes avec violence,35,59.98
2015,Ontario,Indice de gravité de la criminalité chez les jeunes,35,49.7
2015,Ontario,Indice des crimes avec violence chez les jeunes,35,59.44
2015,Manitoba,Indice de gravité de la criminalité,46,106.29
2015,Manitoba,Indice des crimes avec violence,46,138.63
2015,Manitoba,Indice de gravité de la criminalité chez les jeunes,46,117.93
2015,Manitoba,Indice des crimes avec violence chez les jeunes,46,125.78
2015,Saskatchewan,Indice de gravité de la criminalité,47,138.33
2015,Saskatchewan,Indice des crimes avec violence,47,137.64
2015,Saskatchewan,Indice de gravité de la criminalité chez les jeunes,47,186.74
2015,Saskatchewan,Indice des crimes avec violence chez les jeunes,47,173.02
2015,Alberta,Indice de gravité de la criminalité,48,104.49
2015,Alberta,Indice des crimes avec violence,48,98.9
2015,Alberta,Indice de gravité de la criminalité chez les jeunes,48,65.04
2015,Alberta,Indice des crimes avec violence chez les jeunes,48,70.86
2015,Colombie-Britannique,Indice de gravité de la criminalité,59,92.65
