Year,Géographie,Infractions,GeoCode,Value
2015,,,,5934.2
2016,,,,5987.14
2017,,,,6056.3
2018,,,,6152.21
2019,,,,6491.82
2020,,,,5856.04
2015,Canada,Homicide,,1.71
2016,Canada,Homicide,,1.69
2017,Canada,Homicide,,1.82
2018,Canada,Homicide,,1.78
2019,Canada,Homicide,,1.83
2020,Canada,Homicide,,1.95
2015,Canada,Total des autres infractions entraînant la mort,,0.24
2016,Canada,Total des autres infractions entraînant la mort,,0.3
2017,Canada,Total des autres infractions entraînant la mort,,0.27
2018,Canada,Total des autres infractions entraînant la mort,,0.36
2019,Canada,Total des autres infractions entraînant la mort,,0.31
2020,Canada,Total des autres infractions entraînant la mort,,0.31
2015,Canada,Tentative de meurtre,,2.18
2016,Canada,Tentative de meurtre,,2.18
2017,Canada,Tentative de meurtre,,2.25
2018,Canada,Tentative de meurtre,,2.22
2019,Canada,Tentative de meurtre,,2.33
2020,Canada,Tentative de meurtre,,2.27
2015,Canada,Agression sexuelle grave (niveau 3),,0.29
2016,Canada,Agression sexuelle grave (niveau 3),,0.31
2017,Canada,Agression sexuelle grave (niveau 3),,0.44
2018,Canada,Agression sexuelle grave (niveau 3),,0.43
2019,Canada,Agression sexuelle grave (niveau 3),,0.33
2020,Canada,Agression sexuelle grave (niveau 3),,0.36
2015,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.06
2016,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.09
2017,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.16
2018,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.32
2019,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.42
2020,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.6
2015,Canada,Agression sexuelle de niveau 1,,57.32
2016,Canada,Agression sexuelle de niveau 1,,58.36
2017,Canada,Agression sexuelle de niveau 1,,66.1
2018,Canada,Agression sexuelle de niveau 1,,75.3
2019,Canada,Agression sexuelle de niveau 1,,80.69
2020,Canada,Agression sexuelle de niveau 1,,73.4
2015,Canada,Total des infractions sexuelles contre les enfants,,14.72
2016,Canada,Total des infractions sexuelles contre les enfants,,20.31
2017,Canada,Total des infractions sexuelles contre les enfants,,22.65
2018,Canada,Total des infractions sexuelles contre les enfants,,24.48
2019,Canada,Total des infractions sexuelles contre les enfants,,27.5
2020,Canada,Total des infractions sexuelles contre les enfants,,27.33
2015,Canada,Voies de fait graves (niveau 3),,9.3
2016,Canada,Voies de fait graves (niveau 3),,9.6
2017,Canada,Voies de fait graves (niveau 3),,9.81
2018,Canada,Voies de fait graves (niveau 3),,9.67
2019,Canada,Voies de fait graves (niveau 3),,10.57
2020,Canada,Voies de fait graves (niveau 3),,10.04
2015,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,132.73
2016,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,138.32
2017,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,142.67
2018,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,146.28
2019,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,158.82
2020,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,170.52
2015,Canada,Voies de fait simples (niveau 1),,439.87
2016,Canada,Voies de fait simples (niveau 1),,441.97
2017,Canada,Voies de fait simples (niveau 1),,446.79
2018,Canada,Voies de fait simples (niveau 1),,459.02
2019,Canada,Voies de fait simples (niveau 1),,500.58
2020,Canada,Voies de fait simples (niveau 1),,467.25
2015,Canada,Total des vols qualifiés,,62.04
2016,Canada,Total des vols qualifiés,,60.81
2017,Canada,Total des vols qualifiés,,62.47
2018,Canada,Total des vols qualifiés,,60.84
2019,Canada,Total des vols qualifiés,,62.17
2020,Canada,Total des vols qualifiés,,50.7
2015,Canada,Menaces,,175.94
2016,Canada,Menaces,,168.68
2017,Canada,Menaces,,173.19
2018,Canada,Menaces,,180.24
2019,Canada,Menaces,,215.01
2020,Canada,Menaces,,221.47
2015,Canada,Total des autres infractions avec violence,,14.16
2016,Canada,Total des autres infractions avec violence,,14.56
2017,Canada,Total des autres infractions avec violence,,17.31
2018,Canada,Total des autres infractions avec violence,,15.94
2019,Canada,Total des autres infractions avec violence,,19.32
2020,Canada,Total des autres infractions avec violence,,19.36
2015,Terre-Neuve-et-Labrador,Total des infractions,10,6370.75
2016,Terre-Neuve-et-Labrador,Total des infractions,10,6500.63
2017,Terre-Neuve-et-Labrador,Total des infractions,10,6042.04
2018,Terre-Neuve-et-Labrador,Total des infractions,10,6041.56
2019,Terre-Neuve-et-Labrador,Total des infractions,10,6686.65
2020,Terre-Neuve-et-Labrador,Total des infractions,10,6727.98
2015,Terre-Neuve-et-Labrador,Homicide,,0.57
2016,Terre-Neuve-et-Labrador,Homicide,,1.32
2017,Terre-Neuve-et-Labrador,Homicide,,0.76
2018,Terre-Neuve-et-Labrador,Homicide,,0.38
2019,Terre-Neuve-et-Labrador,Homicide,,0.96
2020,Terre-Neuve-et-Labrador,Homicide,,0.77
2015,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.0
2016,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.38
2017,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.19
2018,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.38
2019,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.0
2020,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.38
2015,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2016,Terre-Neuve-et-Labrador,Tentative de meurtre,,1.51
2017,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.95
2018,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2019,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2020,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.19
2015,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.19
2016,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2017,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.19
2018,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2019,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
