Year,Institutions,Caractéristiques,Niveau de confiance,Value
2019,,,,41
2019,Police,Population totale,Une certaine confiance,49
2019,Police,Population totale,Très peu confiance ou aucune confiance,9
2019,Police,Homme,Une grande confiance,41
2019,Police,Homme,Une certaine confiance,49
2019,Police,Homme,Très peu confiance ou aucune confiance,10
2019,Police,Femme,Une grande confiance,42
2019,Police,Femme,Une certaine confiance,49
2019,Police,Femme,Très peu confiance ou aucune confiance,9
2019,Police,Autochtone,Une grande confiance,27
2019,Police,Autochtone,Une certaine confiance,55
2019,Police,Autochtone,Très peu confiance ou aucune confiance,16
2019,Police,Personne non autochtone,Une grande confiance,42
2019,Police,Personne non autochtone,Une certaine confiance,49
2019,Police,Personne non autochtone,Très peu confiance ou aucune confiance,9
2019,Police,Minorité visible,Une grande confiance,35
2019,Police,Minorité visible,Une certaine confiance,52
2019,Police,Minorité visible,Très peu confiance ou aucune confiance,13
2019,Police,N’appartenant pas à une minorité visible,Une grande confiance,44
2019,Police,N’appartenant pas à une minorité visible,Une certaine confiance,48
2019,Police,N’appartenant pas à une minorité visible,Très peu confiance ou aucune confiance,8
2020,Police,Noirs,Aucune confiance,21
2020,Police,"Premières Nations, Métis ou Inuits",Aucune confiance,22
2020,Police,Autres groupes désignés comme minorités visibles,Aucune confiance,11
2020,Police,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,11
2020,Police,Noirs,Confiance,54
2020,Police,"Premières Nations, Métis ou Inuits",Confiance,52
2020,Police,Autres groupes désignés comme minorités visibles,Confiance,66
2020,Police,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,70
2020,Système de justice et tribunaux,Noirs,Aucune confiance,16
2020,Système de justice et tribunaux,"Premières Nations, Métis ou Inuits",Aucune confiance,30
2020,Système de justice et tribunaux,Autres groupes désignés comme minorités visibles,Aucune confiance,10
2020,Système de justice et tribunaux,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,16
2020,Système de justice et tribunaux,Noirs,Confiance,54
2020,Système de justice et tribunaux,"Premières Nations, Métis ou Inuits",Confiance,37
2020,Système de justice et tribunaux,Autres groupes désignés comme minorités visibles,Confiance,68
2020,Système de justice et tribunaux,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,53
2020,Système scolaire,Noirs,Aucune confiance,9
2020,Système scolaire,"Premières Nations, Métis ou Inuits",Aucune confiance,20
2020,Système scolaire,Autres groupes désignés comme minorités visibles,Aucune confiance,10
2020,Système scolaire,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,11
2020,Système scolaire,Noirs,Confiance,61
2020,Système scolaire,"Premières Nations, Métis ou Inuits",Confiance,45
2020,Système scolaire,Autres groupes désignés comme minorités visibles,Confiance,66
2020,Système scolaire,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,57
2020,Parlement fédéral,Noirs,Aucune confiance,13
2020,Parlement fédéral,"Premières Nations, Métis ou Inuits",Aucune confiance,31
2020,Parlement fédéral,Autres groupes désignés comme minorités visibles,Aucune confiance,11
2020,Parlement fédéral,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,21
2020,Parlement fédéral,Noirs,Confiance,52
2020,Parlement fédéral,"Premières Nations, Métis ou Inuits",Confiance,28
2020,Parlement fédéral,Autres groupes désignés comme minorités visibles,Confiance,60
2020,Parlement fédéral,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,41
2020,Banques,Noirs,Aucune confiance,15
2020,Banques,"Premières Nations, Métis ou Inuits",Aucune confiance,22
2020,Banques,Autres groupes désignés comme minorités visibles,Aucune confiance,10
2020,Banques,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,17
2020,Banques,Noirs,Confiance,57
2020,Banques,"Premières Nations, Métis ou Inuits",Confiance,46
2020,Banques,Autres groupes désignés comme minorités visibles,Confiance,63
2020,Banques,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,52
2020,Grandes sociétés,Noirs,Aucune confiance,29
2020,Grandes sociétés,"Premières Nations, Métis ou Inuits",Aucune confiance,38
2020,Grandes sociétés,Autres groupes désignés comme minorités visibles,Aucune confiance,21
2020,Grandes sociétés,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,32
2020,Grandes sociétés,Noirs,Confiance,32
2020,Grandes sociétés,"Premières Nations, Métis ou Inuits",Confiance,20
2020,Grandes sociétés,Autres groupes désignés comme minorités visibles,Confiance,42
2020,Grandes sociétés,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,26
2020,Marchands locaux et gens d’affaires,Noirs,Aucune confiance,14
2020,Marchands locaux et gens d’affaires,"Premières Nations, Métis ou Inuits",Aucune confiance,11
2020,Marchands locaux et gens d’affaires,Autres groupes désignés comme minorités visibles,Aucune confiance,8
2020,Marchands locaux et gens d’affaires,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,5
2020,Marchands locaux et gens d’affaires,Noirs,Confiance,54
2020,Marchands locaux et gens d’affaires,"Premières Nations, Métis ou Inuits",Confiance,62
2020,Marchands locaux et gens d’affaires,Autres groupes désignés comme minorités visibles,Confiance,57
2020,Marchands locaux et gens d’affaires,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,69
2020,Médias canadiens,Noirs,Aucune confiance,15
2020,Médias canadiens,"Premières Nations, Métis ou Inuits",Aucune confiance,32
2020,Médias canadiens,Autres groupes désignés comme minorités visibles,Aucune confiance,14
2020,Médias canadiens,Non-Autochtones n’appartenant pas à une minorité visible,Aucune confiance,22
2020,Médias canadiens,Noirs,Confiance,47
2020,Médias canadiens,"Premières Nations, Métis ou Inuits",Confiance,30
2020,Médias canadiens,Autres groupes désignés comme minorités visibles,Confiance,47
2020,Médias canadiens,Non-Autochtones n’appartenant pas à une minorité visible,Confiance,40
