Year,Pilier,Value
2022,Pilier 1: utilisation de données,100.0
2022,Pilier 2: services de données,92.6
2022,Pilier 3: produits de données,83.6875
2022,Pilier 4: sources de données,88.325
2022,Pilier 5: infrastructure de données,100.0
2022,,92.9225
2021,Pilier 1: utilisation de données,100.0
2021,Pilier 2: services de données,93.06666667
2021,Pilier 3: produits de données,83.6875
2021,Pilier 4: sources de données,90.35
2021,Pilier 5: infrastructure de données,100.0
2021,,93.42083333
2020,Pilier 1: utilisation de données,100.0
2020,Pilier 2: services de données,93.06666667
2020,Pilier 3: produits de données,67.1
2020,Pilier 4: sources de données,82.01666667
2020,Pilier 5: infrastructure de données,95.0
2020,,87.43666667
2019,Pilier 1: utilisation de données,100.0
2019,Pilier 2: services de données,93.2
2019,Pilier 3: produits de données,60.0125
2019,Pilier 4: sources de données,84.11666667
2019,Pilier 5: infrastructure de données,100.0
2019,,87.46583333
2018,Pilier 1: utilisation de données,100.0
2018,Pilier 2: services de données,93.2
2018,Pilier 3: produits de données,60.5375
2018,Pilier 4: sources de données,84.11666667
2018,Pilier 5: infrastructure de données,95.0
2018,,86.57083333
2017,Pilier 1: utilisation de données,100.0
2017,Pilier 2: services de données,95.23333333
2017,Pilier 3: produits de données,64.14375
2017,Pilier 4: sources de données,77.86666667
2017,Pilier 5: infrastructure de données,95.0
2017,,86.44875
2016,Pilier 1: utilisation de données,100.0
2016,Pilier 2: services de données,95.1
2016,Pilier 3: produits de données,59.20625
2016,Pilier 4: sources de données,82.09166667
2016,Pilier 5: infrastructure de données,95.0
2016,,86.27958333
2015,Pilier 1: utilisation de données,80.0
2015,Pilier 3: produits de données,57.16875
2014,Pilier 1: utilisation de données,60.0
2014,Pilier 3: produits de données,50.56875
2013,Pilier 1: utilisation de données,60.0
2013,Pilier 3: produits de données,51.29375
2012,Pilier 1: utilisation de données,60.0
2012,Pilier 3: produits de données,51.34375
2011,Pilier 1: utilisation de données,60.0
2011,Pilier 3: produits de données,50.09375
2010,Pilier 1: utilisation de données,60.0
2010,Pilier 3: produits de données,49.7
2009,Pilier 1: utilisation de données,40.0
2009,Pilier 3: produits de données,49.9375
2008,Pilier 1: utilisation de données,40.0
2008,Pilier 3: produits de données,49.9375
2007,Pilier 1: utilisation de données,40.0
2007,Pilier 3: produits de données,49.70625
2006,Pilier 1: utilisation de données,40.0
2006,Pilier 3: produits de données,49.00625
2005,Pilier 1: utilisation de données,40.0
2005,Pilier 3: produits de données,48.85625
2004,Pilier 1: utilisation de données,40.0
