Year,Pilier,Région,Value
2021,,,8650
2020,,,10800
2019,,,7100
2018,,,6600
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,3080
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Mondial,3
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Afrique,1516
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Asie,454
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Amerique,525
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Europe,60
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Moyen-Orient,515
2021,Flux transfrontaliers vers les pays admissibles au TOSSD,Océanie,6
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,5570
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Mondial,1015
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Afrique,2322
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Asie,1142
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Amerique,687
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Europe,170
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Moyen-Orient,134
2021,Dépenses mondiales et régionales pour les biens publics internationaux,Océanie,97
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,3100
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Mondial,1
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Afrique,1365
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Asie,547
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Amerique,574
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Europe,60
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Moyen-Orient,537
2020,Flux transfrontaliers vers les pays admissibles au TOSSD,Océanie,17
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,7600
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Mondial,1847
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Afrique,3185
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Asie,969
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Amerique,1345
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Europe,88
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Moyen-Orient,121
2020,Dépenses mondiales et régionales pour les biens publics internationaux,Océanie,66
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,4809
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Mondial,147
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Afrique,2133
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Asie,1060
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Amerique,720
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Europe,111
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Moyen-Orient,614
2019,Flux transfrontaliers vers les pays admissibles au TOSSD,Océanie,24
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,2320
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Mondial,1346
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Afrique,521
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Asie,204
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Amerique,152
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Europe,41
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Moyen-Orient,33
2019,Dépenses mondiales et régionales pour les biens publics internationaux,Océanie,23
2018,Flux transfrontaliers vers les pays admissibles au TOSSD,Toutes les régions,5000
2018,Dépenses mondiales et régionales pour les biens publics internationaux,Toutes les régions,1600
