Year,Indice,Value
1986,Biodiversité,
1991,Biodiversité,
1996,Biodiversité,
2001,Biodiversité,51.0
2006,Biodiversité,54.0
2011,Biodiversité,55.0
1981,Qualité des sols,64.0
1986,Qualité des sols,65.0
1991,Qualité des sols,66.0
1996,Qualité des sols,70.0
2001,Qualité des sols,75.0
2006,Qualité des sols,78.0
2011,Qualité des sols,78.0
1981,Qualité de l'eau,82.0
1986,Qualité de l'eau,79.0
1991,Qualité de l'eau,79.0
1996,Qualité de l'eau,76.0
2001,Qualité de l'eau,74.0
2006,Qualité de l'eau,75.0
2011,Qualité de l'eau,75.0
1981,Qualité de l'air,51.0
1986,Qualité de l'air,52.0
1991,Qualité de l'air,54.0
1996,Qualité de l'air,54.0
2001,Qualité de l'air,55.0
2006,Qualité de l'air,60.0
2011,Qualité de l'air,63.0
2016,Qualité des sols,77.0
2016,Qualité de l'eau,77.0
2016,Qualité de l'air,63.0
2016,Biodiversité,54.0
