Year,Géographie,Groupe d'âge,Sexe,Value
2015,,,,31.5
2016,,,,30.0
2017,,,,28.6
2018,,,,
2019,,,,
2015,Canada,"Total, 12 ans et plus",Hommes,24.8
2016,Canada,"Total, 12 ans et plus",Hommes,22.9
2017,Canada,"Total, 12 ans et plus",Hommes,22.3
2018,Canada,"Total, 12 ans et plus",Hommes,
2019,Canada,"Total, 12 ans et plus",Hommes,
2015,Canada,"Total, 12 ans et plus",Femmes,38.0
2016,Canada,"Total, 12 ans et plus",Femmes,36.9
2017,Canada,"Total, 12 ans et plus",Femmes,34.7
2018,Canada,"Total, 12 ans et plus",Femmes,
2019,Canada,"Total, 12 ans et plus",Femmes,
2015,Canada,12 à 17 ans,Les deux sexes,31.3
2016,Canada,12 à 17 ans,Les deux sexes,29.1
2017,Canada,12 à 17 ans,Les deux sexes,27.5
2018,Canada,12 à 17 ans,Les deux sexes,
2019,Canada,12 à 17 ans,Les deux sexes,
2015,Canada,12 à 17 ans,Hommes,30.3
2016,Canada,12 à 17 ans,Hommes,27.7
2017,Canada,12 à 17 ans,Hommes,24.4
2018,Canada,12 à 17 ans,Hommes,
2019,Canada,12 à 17 ans,Hommes,
2015,Canada,12 à 17 ans,Femmes,32.3
2016,Canada,12 à 17 ans,Femmes,30.5
2017,Canada,12 à 17 ans,Femmes,30.7
2018,Canada,12 à 17 ans,Femmes,
2019,Canada,12 à 17 ans,Femmes,
2015,Canada,18 à 34 ans,Les deux sexes,31.3
2016,Canada,18 à 34 ans,Les deux sexes,30.4
2017,Canada,18 à 34 ans,Les deux sexes,27.1
2018,Canada,18 à 34 ans,Les deux sexes,
2019,Canada,18 à 34 ans,Les deux sexes,
2015,Canada,18 à 34 ans,Hommes,25.8
2016,Canada,18 à 34 ans,Hommes,24.4
2017,Canada,18 à 34 ans,Hommes,21.8
2018,Canada,18 à 34 ans,Hommes,
2019,Canada,18 à 34 ans,Hommes,
2015,Canada,18 à 34 ans,Femmes,36.8
2016,Canada,18 à 34 ans,Femmes,36.4
2017,Canada,18 à 34 ans,Femmes,32.4
2018,Canada,18 à 34 ans,Femmes,
2019,Canada,18 à 34 ans,Femmes,
2015,Canada,35 à 49 ans,Les deux sexes,32.9
2016,Canada,35 à 49 ans,Les deux sexes,32.1
2017,Canada,35 à 49 ans,Les deux sexes,30.1
2018,Canada,35 à 49 ans,Les deux sexes,
2019,Canada,35 à 49 ans,Les deux sexes,
2015,Canada,35 à 49 ans,Hommes,25.2
2016,Canada,35 à 49 ans,Hommes,23.5
2017,Canada,35 à 49 ans,Hommes,23.3
2018,Canada,35 à 49 ans,Hommes,
2019,Canada,35 à 49 ans,Hommes,
2015,Canada,35 à 49 ans,Femmes,40.3
2016,Canada,35 à 49 ans,Femmes,40.4
2017,Canada,35 à 49 ans,Femmes,36.7
2018,Canada,35 à 49 ans,Femmes,
2019,Canada,35 à 49 ans,Femmes,
2015,Canada,50 à 64 ans,Les deux sexes,30.6
2016,Canada,50 à 64 ans,Les deux sexes,28.4
2017,Canada,50 à 64 ans,Les deux sexes,27.8
2018,Canada,50 à 64 ans,Les deux sexes,
2019,Canada,50 à 64 ans,Les deux sexes,
2015,Canada,50 à 64 ans,Hommes,21.7
2016,Canada,50 à 64 ans,Hommes,20.3
2017,Canada,50 à 64 ans,Hommes,20.7
2018,Canada,50 à 64 ans,Hommes,
2019,Canada,50 à 64 ans,Hommes,
2015,Canada,50 à 64 ans,Femmes,39.4
2016,Canada,50 à 64 ans,Femmes,36.3
2017,Canada,50 à 64 ans,Femmes,34.7
2018,Canada,50 à 64 ans,Femmes,
2019,Canada,50 à 64 ans,Femmes,
2015,Canada,65 ans et plus,Les deux sexes,31.5
2016,Canada,65 ans et plus,Les deux sexes,29.5
2017,Canada,65 ans et plus,Les deux sexes,30.6
2018,Canada,65 ans et plus,Les deux sexes,
2019,Canada,65 ans et plus,Les deux sexes,
2015,Canada,65 ans et plus,Hommes,24.9
2016,Canada,65 ans et plus,Hommes,21.3
2017,Canada,65 ans et plus,Hommes,23.3
2018,Canada,65 ans et plus,Hommes,
2019,Canada,65 ans et plus,Hommes,
2015,Canada,65 ans et plus,Femmes,36.9
2016,Canada,65 ans et plus,Femmes,36.3
2017,Canada,65 ans et plus,Femmes,36.7
2018,Canada,65 ans et plus,Femmes,
2019,Canada,65 ans et plus,Femmes,
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,22.5
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,18.3
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,18.3
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,19.3
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,13.9
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,13.5
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,25.5
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,22.5
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,22.8
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Femmes,
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,25.6
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,22.3
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,15.0
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Les deux sexes,
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,24.8
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,16.8
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Hommes,
2015,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,26.5
2016,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,27.9
2017,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,15.5
2018,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2019,Terre-Neuve-et-Labrador,12 à 17 ans,Femmes,
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,18.9
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,16.7
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,19.9
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,16.9
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,15.0
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,14.6
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,20.9
2016,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,18.3
2017,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,25.3
2018,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,
2019,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,27.1
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,21.0
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,18.6
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,20.7
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,9.4
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,11.2
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,32.8
2016,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,31.9
2017,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,25.9
2018,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,
2019,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,21.2
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,18.0
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,16.8
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,17.3
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,20.2
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,17.3
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,24.9
2016,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,15.9
2017,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,16.3
2018,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,
2019,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,21.8
2016,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,16.0
2017,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,19.4
2018,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,
2019,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,21.4
2016,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,7.7
2017,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,9.6
2018,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,
2019,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,22.1
2016,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,23.1
2017,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,27.7
2018,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,
2019,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,
2015,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,27.2
2016,Île-du-Prince-Édouard,"Total, 12 ans et plus",Les deux sexes,30.3
