Year,Géographie,Sexe,Niveaux de scolarité,Type de cigarettes,Value
2018-2019,,,,,20.2
2018-2019,Canada,Homme,Tous les niveaux,Les deux types,21.5
2018-2019,Canada,Femme,Tous les niveaux,Les deux types,18.9
2018-2019,Canada,Les deux sexes,Tous les niveaux,Avec nicotine,17.7
2018-2019,Canada,Homme,Tous les niveaux,Avec nicotine,18.8
2018-2019,Canada,Femme,Tous les niveaux,Avec nicotine,16.5
2018-2019,Canada,Les deux sexes,Tous les niveaux,Sans nicotine,11.3
2018-2019,Canada,Homme,Tous les niveaux,Sans nicotine,11.8
2018-2019,Canada,Femme,Tous les niveaux,Sans nicotine,10.7
2018-2019,Canada,Les deux sexes,7e à 9e année,Les deux types,11.1
2018-2019,Canada,Homme,7e à 9e année,Les deux types,11.7
2018-2019,Canada,Femme,7e à 9e année,Les deux types,10.4
2018-2019,Canada,Les deux sexes,7e à 9e année,Avec nicotine,8.6
2018-2019,Canada,Homme,7e à 9e année,Avec nicotine,9.0
2018-2019,Canada,Femme,7e à 9e année,Avec nicotine,8.2
2018-2019,Canada,Les deux sexes,7e à 9e année,Sans nicotine,8.0
2018-2019,Canada,Homme,7e à 9e année,Sans nicotine,8.6
2018-2019,Canada,Femme,7e à 9e année,Sans nicotine,7.3
2018-2019,Canada,Les deux sexes,10e à 12e année,Les deux types,29.4
2018-2019,Canada,Homme,10e à 12e année,Les deux types,31.2
2018-2019,Canada,Femme,10e à 12e année,Les deux types,27.5
2018-2019,Canada,Les deux sexes,10e à 12e année,Avec nicotine,26.8
2018-2019,Canada,Homme,10e à 12e année,Avec nicotine,28.6
2018-2019,Canada,Femme,10e à 12e année,Avec nicotine,24.9
2018-2019,Canada,Les deux sexes,10e à 12e année,Sans nicotine,14.6
2018-2019,Canada,Homme,10e à 12e année,Sans nicotine,15.1
2018-2019,Canada,Femme,10e à 12e année,Sans nicotine,14.2
2018-2019,Terre-Neuve-et-Labrador,Les deux sexes,Tous les niveaux,Les deux types,29.9
2018-2019,Terre-Neuve-et-Labrador,Homme,Tous les niveaux,Les deux types,32.9
2018-2019,Terre-Neuve-et-Labrador,Femme,Tous les niveaux,Les deux types,26.7
