Year,Sexe,Groupe d'âge,Value
2009,,,22.4
2011,,,23.8
2013,,,24.2
2015,,,25.7
2017,,,24.4
2019,,,22.1
2009,Les deux sexes,5 à 17 ans,14.3
2009,Les deux sexes,5 à 11 ans,13.1
2009,Les deux sexes,12 à 17 ans,15.3
2009,Les deux sexes,18 à 79 ans,23.9
2009,Les deux sexes,18 à 39 ans,19.1
2009,Les deux sexes,40 à 59 ans,25.4
2009,Les deux sexes,60 à 79 ans,30.5
2009,Hommes,5 à 79 ans,23.0
2009,Hommes,5 à 17 ans,17.0
2009,Hommes,5 à 11 ans,16.9
2009,Hommes,12 à 17 ans,17.0
2009,Hommes,18 à 79 ans,24.2
2009,Hommes,18 à 39 ans,18.4
2009,Hommes,40 à 59 ans,26.9
2009,Hommes,60 à 79 ans,30.6
2009,Femmes,5 à 79 ans,21.7
2009,Femmes,5 à 17 ans,11.3
2009,Femmes,5 à 11 ans,9.1
2009,Femmes,12 à 17 ans,13.3
2009,Femmes,18 à 79 ans,23.6
2009,Femmes,18 à 39 ans,19.7
2009,Femmes,40 à 59 ans,23.9
2009,Femmes,60 à 79 ans,30.3
2011,Les deux sexes,5 à 17 ans,11.7
2011,Les deux sexes,5 à 11 ans,13.2
2011,Les deux sexes,12 à 17 ans,10.2
2011,Les deux sexes,18 à 79 ans,26.2
2011,Les deux sexes,18 à 39 ans,18.7
2011,Les deux sexes,40 à 59 ans,29.6
2011,Les deux sexes,60 à 79 ans,33.7
2011,Hommes,5 à 79 ans,25.2
2011,Hommes,5 à 17 ans,15.1
2011,Hommes,5 à 11 ans,19.6
2011,Hommes,12 à 17 ans,10.7
2011,Hommes,18 à 79 ans,27.3
2011,Hommes,18 à 39 ans,19.2
2011,Hommes,40 à 59 ans,31.1
2011,Hommes,60 à 79 ans,35.6
2011,Femmes,5 à 79 ans,22.5
2011,Femmes,5 à 17 ans,8.0
2011,Femmes,5 à 11 ans,6.3
2011,Femmes,12 à 17 ans,9.6
2011,Femmes,18 à 79 ans,25.2
2011,Femmes,18 à 39 ans,18.2
