Year,Géographie,Âge,Sexe,Value
2015,,,,19.2
2016,,,,19.0
2017,,,,19.5
2018,,,,19.1
2019,,,,18.3
2015,Canada,"Total, 12 ans et plus",Hommes,24.1
2016,Canada,"Total, 12 ans et plus",Hommes,23.8
2017,Canada,"Total, 12 ans et plus",Hommes,23.8
2018,Canada,"Total, 12 ans et plus",Hommes,23.5
2019,Canada,"Total, 12 ans et plus",Hommes,22.8
2015,Canada,"Total, 12 ans et plus",Femmes,14.5
2016,Canada,"Total, 12 ans et plus",Femmes,14.2
2017,Canada,"Total, 12 ans et plus",Femmes,15.4
2018,Canada,"Total, 12 ans et plus",Femmes,14.8
2019,Canada,"Total, 12 ans et plus",Femmes,14.0
2015,Canada,12 à 17 ans,Les deux sexes,4.1
2016,Canada,12 à 17 ans,Les deux sexes,4.0
2017,Canada,12 à 17 ans,Les deux sexes,4.2
2018,Canada,12 à 17 ans,Les deux sexes,3.4
2019,Canada,12 à 17 ans,Les deux sexes,2.7
2015,Canada,12 à 17 ans,Hommes,4.5
2016,Canada,12 à 17 ans,Hommes,3.7
2017,Canada,12 à 17 ans,Hommes,4.0
2018,Canada,12 à 17 ans,Hommes,2.9
2019,Canada,12 à 17 ans,Hommes,3.0
2015,Canada,12 à 17 ans,Femmes,3.6
2016,Canada,12 à 17 ans,Femmes,4.2
2017,Canada,12 à 17 ans,Femmes,4.5
2018,Canada,12 à 17 ans,Femmes,4.0
2019,Canada,12 à 17 ans,Femmes,2.4
2015,Canada,18 à 34 ans,Les deux sexes,30.6
2016,Canada,18 à 34 ans,Les deux sexes,29.0
2017,Canada,18 à 34 ans,Les deux sexes,29.7
2018,Canada,18 à 34 ans,Les deux sexes,28.7
2019,Canada,18 à 34 ans,Les deux sexes,26.9
2015,Canada,18 à 34 ans,Hommes,36.2
2016,Canada,18 à 34 ans,Hommes,34.4
2017,Canada,18 à 34 ans,Hommes,34.8
2018,Canada,18 à 34 ans,Hommes,33.5
2019,Canada,18 à 34 ans,Hommes,31.9
2015,Canada,18 à 34 ans,Femmes,24.9
2016,Canada,18 à 34 ans,Femmes,23.4
2017,Canada,18 à 34 ans,Femmes,24.5
2018,Canada,18 à 34 ans,Femmes,23.8
2019,Canada,18 à 34 ans,Femmes,21.9
2015,Canada,35 à 49 ans,Les deux sexes,21.0
2016,Canada,35 à 49 ans,Les deux sexes,21.8
2017,Canada,35 à 49 ans,Les deux sexes,23.1
2018,Canada,35 à 49 ans,Les deux sexes,22.9
2019,Canada,35 à 49 ans,Les deux sexes,22.2
2015,Canada,35 à 49 ans,Hommes,27.0
2016,Canada,35 à 49 ans,Hommes,27.4
2017,Canada,35 à 49 ans,Hommes,27.5
2018,Canada,35 à 49 ans,Hommes,28.4
2019,Canada,35 à 49 ans,Hommes,28.0
2015,Canada,35 à 49 ans,Femmes,15.1
2016,Canada,35 à 49 ans,Femmes,16.3
2017,Canada,35 à 49 ans,Femmes,18.8
2018,Canada,35 à 49 ans,Femmes,17.5
2019,Canada,35 à 49 ans,Femmes,16.4
2015,Canada,50 à 64 ans,Les deux sexes,18.9
2016,Canada,50 à 64 ans,Les deux sexes,18.8
2017,Canada,50 à 64 ans,Les deux sexes,18.8
2018,Canada,50 à 64 ans,Les deux sexes,19.0
2019,Canada,50 à 64 ans,Les deux sexes,18.8
2015,Canada,50 à 64 ans,Hommes,23.8
2016,Canada,50 à 64 ans,Hommes,24.3
2017,Canada,50 à 64 ans,Hommes,23.4
2018,Canada,50 à 64 ans,Hommes,23.7
2019,Canada,50 à 64 ans,Hommes,23.2
2015,Canada,50 à 64 ans,Femmes,14.0
2016,Canada,50 à 64 ans,Femmes,13.4
2017,Canada,50 à 64 ans,Femmes,14.2
2018,Canada,50 à 64 ans,Femmes,14.2
2019,Canada,50 à 64 ans,Femmes,14.5
2015,Canada,65 ans et plus,Les deux sexes,6.7
2016,Canada,65 ans et plus,Les deux sexes,7.2
2017,Canada,65 ans et plus,Les deux sexes,7.8
2018,Canada,65 ans et plus,Les deux sexes,7.4
2019,Canada,65 ans et plus,Les deux sexes,7.6
2015,Canada,65 ans et plus,Hommes,9.8
2016,Canada,65 ans et plus,Hommes,10.5
2017,Canada,65 ans et plus,Hommes,11.1
2018,Canada,65 ans et plus,Hommes,10.6
2019,Canada,65 ans et plus,Hommes,10.7
2015,Canada,65 ans et plus,Femmes,4.0
2016,Canada,65 ans et plus,Femmes,4.3
2017,Canada,65 ans et plus,Femmes,4.9
2018,Canada,65 ans et plus,Femmes,4.6
2019,Canada,65 ans et plus,Femmes,4.9
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,25.6
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,25.8
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,25.7
2018,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,27.7
2019,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Les deux sexes,23.6
2015,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,36.4
2016,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,33.5
2017,Terre-Neuve-et-Labrador,"Total, 12 ans et plus",Hommes,34.0
