Year,Géographie,Antigène ou vaccin,Âge,GeoCode,Value
2017,Alberta,Diphtérie,2 ans,48,79.9
2021,Alberta,Diphtérie,2 ans,48,74.6
2017,Alberta,Haemophilus influenzae de type B (Hib),2 ans,48,79.1
2021,Alberta,Haemophilus influenzae de type B (Hib),2 ans,48,71.1
2017,Alberta,Rougeole,2 ans,48,91.7
2021,Alberta,Rougeole,2 ans,48,88.4
2017,Alberta,Méningite de type C,2 ans,48,91.0
2021,Alberta,Méningite de type C,2 ans,48,89.8
2017,Alberta,Rubéole,2 ans,48,91.4
2021,Alberta,Rubéole,2 ans,48,88.4
2017,Alberta,Coqueluche,2 ans,48,79.9
2021,Alberta,Coqueluche,2 ans,48,74.6
2017,Alberta,Pneumocoque,2 ans,48,82.6
2021,Alberta,Pneumocoque,2 ans,48,81.3
2017,Alberta,Polio,2 ans,48,93.0
2021,Alberta,Polio,2 ans,48,85.7
2021,Alberta,Rotavirus,2 ans,48,84.8
2017,Alberta,Oreillons,2 ans,48,91.4
2021,Alberta,Oreillons,2 ans,48,88.4
2017,Alberta,Tétanos,2 ans,48,79.9
2021,Alberta,Tétanos,2 ans,48,74.6
2017,Alberta,Varicelle,2 ans,48,86.7
2021,Alberta,Varicelle,2 ans,48,83.3
2017,Colombie-Britannique,Diphtérie,2 ans,59,76.6
2021,Colombie-Britannique,Diphtérie,2 ans,59,83.6
2017,Colombie-Britannique,Haemophilus influenzae de type B (Hib),2 ans,59,74.4
2021,Colombie-Britannique,Haemophilus influenzae de type B (Hib),2 ans,59,82.8
2017,Colombie-Britannique,Hépatite B,2 ans,59,69.7
2021,Colombie-Britannique,Hépatite B,2 ans,59,87.1
2017,Colombie-Britannique,Rougeole,2 ans,59,86.1
2021,Colombie-Britannique,Rougeole,2 ans,59,91.3
2017,Colombie-Britannique,Méningite de type C,2 ans,59,89.3
2021,Colombie-Britannique,Méningite de type C,2 ans,59,94.2
2017,Colombie-Britannique,Rubéole,2 ans,59,86.1
2021,Colombie-Britannique,Rubéole,2 ans,59,91.3
2017,Colombie-Britannique,Coqueluche,2 ans,59,76.6
2021,Colombie-Britannique,Coqueluche,2 ans,59,83.6
2017,Colombie-Britannique,Pneumocoque,2 ans,59,80.3
2021,Colombie-Britannique,Pneumocoque,2 ans,59,88.2
2017,Colombie-Britannique,Polio,2 ans,59,87.5
2021,Colombie-Britannique,Polio,2 ans,59,92.6
2017,Colombie-Britannique,Rotavirus,2 ans,59,80.2
2021,Colombie-Britannique,Rotavirus,2 ans,59,91.2
2017,Colombie-Britannique,Oreillons,2 ans,59,86.1
2021,Colombie-Britannique,Oreillons,2 ans,59,91.3
2017,Colombie-Britannique,Tétanos,2 ans,59,76.6
2021,Colombie-Britannique,Tétanos,2 ans,59,83.6
2017,Colombie-Britannique,Varicelle,2 ans,59,83.7
2021,Colombie-Britannique,Varicelle,2 ans,59,91.0
2017,Canada,Diphtérie,2 ans,,75.8
2019,Canada,Diphtérie,2 ans,,77.5
2021,Canada,Diphtérie,2 ans,,77.1
2017,Canada,Diphtérie,7 ans,,80.5
2019,Canada,Diphtérie,7 ans,,78.1
2021,Canada,Diphtérie,7 ans,,71.9
2017,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,,89.3
2019,Canada,"Vaccin de rappel contre la diphtérie, la coqueluche et le tétanos (dcaT)",17 ans,,95.3
