Year,Géographie,Sexe,Groupe d'âge,Caractéristiques démographiques déterminées,GeoCode,Value
2016,,,,,,79.3
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,,78.5
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Immigrants,,80.9
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,,89.1
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,,82.2
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,,78.5
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,,61.6
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),,56.8
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Métis,,70.3
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),,40.2
2016,Canada,Les deux sexes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,,80.1
2016,Canada,Les deux sexes,15 à 24 ans,"Total, toutes les personnes",,65.2
2016,Canada,Les deux sexes,15 à 24 ans,Non-immigrants,,63.7
2016,Canada,Les deux sexes,15 à 24 ans,Immigrants,,69.0
2016,Canada,Les deux sexes,15 à 24 ans,Résidents non permanents,,84.5
2016,Canada,Les deux sexes,15 à 24 ans,Total de la population des minorités visibles,,69.5
2016,Canada,Les deux sexes,15 à 24 ans,Pas une minorité visible,,63.6
2016,Canada,Les deux sexes,15 à 24 ans,data.Total Aboriginal identity,,47.0
2016,Canada,Les deux sexes,15 à 24 ans,Première Nation (Indien de l'Amérique du Nord),,42.4
2016,Canada,Les deux sexes,15 à 24 ans,Métis,,56.8
2016,Canada,Les deux sexes,15 à 24 ans,Inuk (Inuit),,30.2
2016,Canada,Les deux sexes,15 à 24 ans,data.Non-Aboriginal identity,,66.5
2016,Canada,Les deux sexes,25 à 64 ans,"Total, toutes les personnes",,86.3
2016,Canada,Les deux sexes,25 à 64 ans,Non-immigrants,,85.8
2016,Canada,Les deux sexes,25 à 64 ans,Immigrants,,87.4
2016,Canada,Les deux sexes,25 à 64 ans,Résidents non permanents,,92.4
2016,Canada,Les deux sexes,25 à 64 ans,Total de la population des minorités visibles,,88.3
2016,Canada,Les deux sexes,25 à 64 ans,Pas une minorité visible,,85.7
2016,Canada,Les deux sexes,25 à 64 ans,data.Total Aboriginal identity,,68.8
2016,Canada,Les deux sexes,25 à 64 ans,Première Nation (Indien de l'Amérique du Nord),,64.0
2016,Canada,Les deux sexes,25 à 64 ans,Métis,,77.4
2016,Canada,Les deux sexes,25 à 64 ans,Inuk (Inuit),,45.4
2016,Canada,Les deux sexes,25 à 64 ans,data.Non-Aboriginal identity,,87.1
2016,Canada,Les deux sexes,65 à 74 ans,"Total, toutes les personnes",,73.1
2016,Canada,Les deux sexes,65 à 74 ans,Non-immigrants,,72.9
2016,Canada,Les deux sexes,65 à 74 ans,Immigrants,,73.9
2016,Canada,Les deux sexes,65 à 74 ans,Résidents non permanents,,65.9
2016,Canada,Les deux sexes,65 à 74 ans,Total de la population des minorités visibles,,72.6
2016,Canada,Les deux sexes,65 à 74 ans,Pas une minorité visible,,73.2
2016,Canada,Les deux sexes,65 à 74 ans,data.Total Aboriginal identity,,53.0
2016,Canada,Les deux sexes,65 à 74 ans,Première Nation (Indien de l'Amérique du Nord),,49.1
2016,Canada,Les deux sexes,65 à 74 ans,Métis,,58.0
2016,Canada,Les deux sexes,65 à 74 ans,Inuk (Inuit),,33.3
2016,Canada,Les deux sexes,65 à 74 ans,data.Non-Aboriginal identity,,73.7
2016,Canada,Les deux sexes,75 ans et plus,"Total, toutes les personnes",,54.9
2016,Canada,Les deux sexes,75 ans et plus,Non-immigrants,,54.7
2016,Canada,Les deux sexes,75 ans et plus,Immigrants,,55.3
2016,Canada,Les deux sexes,75 ans et plus,Résidents non permanents,,53.0
2016,Canada,Les deux sexes,75 ans et plus,Total de la population des minorités visibles,,56.0
2016,Canada,Les deux sexes,75 ans et plus,Pas une minorité visible,,54.7
2016,Canada,Les deux sexes,75 ans et plus,data.Total Aboriginal identity,,32.3
2016,Canada,Les deux sexes,75 ans et plus,Première Nation (Indien de l'Amérique du Nord),,29.0
2016,Canada,Les deux sexes,75 ans et plus,Métis,,35.6
2016,Canada,Les deux sexes,75 ans et plus,Inuk (Inuit),,21.7
2016,Canada,Les deux sexes,75 ans et plus,data.Non-Aboriginal identity,,55.2
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus","Total, toutes les personnes",,77.7
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Non-immigrants,,76.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Immigrants,,81.6
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Résidents non permanents,,88.9
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Total de la population des minorités visibles,,82.6
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Pas une minorité visible,,76.4
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",data.Total Aboriginal identity,,57.3
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Première Nation (Indien de l'Amérique du Nord),,52.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Métis,,66.3
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",Inuk (Inuit),,37.1
2016,Canada,Hommes,"Total, personnes âgées de 15 ans et plus",data.Non-Aboriginal identity,,78.6
2016,Canada,Hommes,15 à 24 ans,"Total, toutes les personnes",,63.3
2016,Canada,Hommes,15 à 24 ans,Non-immigrants,,61.7
2016,Canada,Hommes,15 à 24 ans,Immigrants,,67.9
