Year,Géographie,Type de violence entre partenaires intimes,Groupe d'âge,Groupe autochtone,Minorité visible,Status d'immigrant,Incapacité,Plus haut grade obtenu,Revenu du ménage,Lieu de résidence,État matrimonial,GeoCode,Value
2018,,,,,,,,,,,,,12.1
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,29.13
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,14.07
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,12.89
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,10.28
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,8.44
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,,5.07
2018,Canada,"Total, tous les types de violence entre partenaires intimes",Âgée de 75 ans et plus,,,,,,,,,,4.91
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière","Total, toutes les personnes",,,,,,,,,,11.89
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 15 à 24 ans,,,,,,,,,,27.76
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 25 à 34 ans,,,,,,,,,,13.99
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 35 à 44 ans,,,,,,,,,,12.75
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 45 à 54 ans,,,,,,,,,,10.25
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 55 à 64 ans,,,,,,,,,,8.37
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 65 à 74 ans,,,,,,,,,,4.99
2018,Canada,"Violence émotionnelle, psychologique ou exploitation financière",Âgée de 75 ans et plus,,,,,,,,,,4.89
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,3.1
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,10.17
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,3.1
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,3.65
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,2.34
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,1.38
2018,Canada,"Total, violence physique ou sexuelle entre partenaires intimes",Âgée de 65 à 74 ans,,,,,,,,,,1.45
2018,Canada,Violence physique,"Total, toutes les personnes",,,,,,,,,,2.41
2018,Canada,Violence physique,Âgée de 15 à 24 ans,,,,,,,,,,6.19
2018,Canada,Violence physique,Âgée de 25 à 34 ans,,,,,,,,,,2.49
2018,Canada,Violence physique,Âgée de 35 à 44 ans,,,,,,,,,,3.07
2018,Canada,Violence physique,Âgée de 45 à 54 ans,,,,,,,,,,2.13
2018,Canada,Violence physique,Âgée de 55 à 64 ans,,,,,,,,,,1.13
2018,Canada,Violence physique,Âgée de 65 à 74 ans,,,,,,,,,,1.42
2018,Canada,Violence sexuelle,"Total, toutes les personnes",,,,,,,,,,1.15
2018,Canada,Violence sexuelle,Âgée de 15 à 24 ans,,,,,,,,,,5.06
2018,Canada,Violence sexuelle,Âgée de 25 à 34 ans,,,,,,,,,,1.26
2018,Canada,Violence sexuelle,Âgée de 35 à 44 ans,,,,,,,,,,1.15
2018,Canada,Violence sexuelle,Âgée de 45 à 54 ans,,,,,,,,,,0.67
2018,Canada,Violence sexuelle,Âgée de 55 à 64 ans,,,,,,,,,,0.47
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes","Total, toutes les personnes",,,,,,,,,,10.65
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 15 à 24 ans,,,,,,,,,,20.97
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 25 à 34 ans,,,,,,,,,,15.88
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 35 à 44 ans,,,,,,,,,,12.92
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 45 à 54 ans,,,,,,,,,,9.69
2018,Provinces de l'Atlantique,"Total, tous les types de violence entre partenaires intimes",Âgée de 55 à 64 ans,,,,,,,,,,6.43
