Year,Rôles de leadership,Value
2002,Parlement national,21.1
2003,Parlement national,20.9
2004,Parlement national,21.2
2005,Parlement national,21.1
2006,Parlement national,20.8
2007,Parlement national,20.9
2008,Parlement national,21.3
2009,Parlement national,22.3
2010,Parlement national,21.8
2011,Parlement national,24.7
2012,Parlement national,24.8
2013,Parlement national,24.8
2014,Parlement national,24.8
2015,Parlement national,25.3
2016,Parlement national,26.1
2017,Parlement national,27.2
2018,Parlement national,27.0
2019,Parlement national,27.2
2020,Parlement national,29.0
2021,Parlement national,29.4
2022,Parlement national,30.6
2023,Parlement national,30.6
2002,Cabinet fédéral,24.3
2003,Cabinet fédéral,23.7
2004,Cabinet fédéral,28.9
2005,Cabinet fédéral,24.3
2006,Cabinet fédéral,20.8
2007,Cabinet fédéral,20.0
2008,Cabinet fédéral,20.0
2009,Cabinet fédéral,27.0
2010,Cabinet fédéral,25.0
2011,Cabinet fédéral,23.7
2012,Cabinet fédéral,23.7
2013,Cabinet fédéral,25.0
2014,Cabinet fédéral,30.8
2015,Cabinet fédéral,30.8
2016,Cabinet fédéral,50.0
2017,Cabinet fédéral,50.0
2018,Cabinet fédéral,50.0
2019,Cabinet fédéral,48.6
2020,Cabinet fédéral,48.6
2021,Cabinet fédéral,48.6
2022,Cabinet fédéral,48.7
2023,Cabinet fédéral,48.7
2002,Gestion,32.9
2002,Membres des corps législatifs et cadres supérieures,25.5
2002,Cadres intermédiaires spécialisées,42.0
2002,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.2
2002,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.3
2003,Gestion,34.5
2003,Membres des corps législatifs et cadres supérieures,24.8
2003,Cadres intermédiaires spécialisées,46.3
2003,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.9
2003,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.9
2004,Gestion,35.4
2004,Membres des corps législatifs et cadres supérieures,22.1
2004,Cadres intermédiaires spécialisées,47.8
2004,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.1
2004,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.7
2005,Gestion,34.7
2005,Membres des corps législatifs et cadres supérieures,24.1
2005,Cadres intermédiaires spécialisées,47.3
2005,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.5
2005,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.2
2006,Gestion,34.9
2006,Membres des corps législatifs et cadres supérieures,26.1
2006,Cadres intermédiaires spécialisées,45.3
2006,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.6
2006,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.3
2007,Gestion,35.7
2007,Membres des corps législatifs et cadres supérieures,26.1
2007,Cadres intermédiaires spécialisées,47.9
2007,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.2
2007,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2008,Gestion,34.7
2008,Membres des corps législatifs et cadres supérieures,29.1
2008,Cadres intermédiaires spécialisées,45.2
2008,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.4
2008,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.2
2009,Gestion,35.4
2009,Membres des corps législatifs et cadres supérieures,31.1
2009,Cadres intermédiaires spécialisées,48.4
2009,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.4
2009,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.0
2010,Gestion,35.4
2010,Membres des corps législatifs et cadres supérieures,31.7
2010,Cadres intermédiaires spécialisées,48.5
2010,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.5
2010,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.3
2011,Gestion,35.5
2011,Membres des corps législatifs et cadres supérieures,27.8
2011,Cadres intermédiaires spécialisées,49.5
2011,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.1
2011,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.5
2012,Gestion,35.3
2012,Membres des corps législatifs et cadres supérieures,26.7
2012,Cadres intermédiaires spécialisées,49.5
2012,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.9
2012,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.2
2013,Gestion,34.4
2013,Membres des corps législatifs et cadres supérieures,27.8
2013,Cadres intermédiaires spécialisées,47.6
2013,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.2
2013,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",15.5
2014,Gestion,34.5
2014,Membres des corps législatifs et cadres supérieures,30.5
2014,Cadres intermédiaires spécialisées,45.8
2014,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",42.2
2014,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.1
2015,Gestion,34.8
2015,Membres des corps législatifs et cadres supérieures,30.3
2015,Cadres intermédiaires spécialisées,46.8
2015,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",41.4
2015,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.3
2016,Gestion,34.6
2016,Membres des corps législatifs et cadres supérieures,36.2
2016,Cadres intermédiaires spécialisées,46.7
2016,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",40.1
2016,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.9
2017,Gestion,34.6
2017,Membres des corps législatifs et cadres supérieures,29.5
2017,Cadres intermédiaires spécialisées,47.8
2017,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.6
2017,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.6
2018,Gestion,34.7
2018,Membres des corps législatifs et cadres supérieures,32.7
2018,Cadres intermédiaires spécialisées,48.0
2018,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.0
2018,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",18.4
2019,Gestion,35.1
2019,Membres des corps législatifs et cadres supérieures,32.0
2019,Cadres intermédiaires spécialisées,51.2
2019,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",38.8
2019,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",16.1
2020,Gestion,35.7
2020,Membres des corps législatifs et cadres supérieures,29.0
2020,Cadres intermédiaires spécialisées,49.7
2020,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",39.2
2020,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",17.4
2021,Gestion,35.6
