Year,Géographie,Value
2010,,73
2011,,74
2012,,81
2013,,86
2014,,97
2015,,103
2016,,97
2017,,91
2018,,62
2019,,56
2020,,58
2010,Alberta,1
2011,Alberta,1
2012,Alberta,3
2013,Alberta,3
2014,Alberta,3
2015,Alberta,3
2016,Alberta,3
2017,Alberta,3
2018,Alberta,1
2019,Alberta,1
2020,Alberta,0
2010,Atlantique,5
2011,Atlantique,5
2012,Atlantique,5
2013,Atlantique,5
2014,Atlantique,5
2015,Atlantique,4
2016,Atlantique,2
2017,Atlantique,2
2018,Atlantique,1
2019,Atlantique,0
2020,Atlantique,0
2010,Colombie-Britannique,13
2011,Colombie-Britannique,13
2012,Colombie-Britannique,14
2013,Colombie-Britannique,17
2014,Colombie-Britannique,17
2015,Colombie-Britannique,16
2016,Colombie-Britannique,13
2017,Colombie-Britannique,11
2018,Colombie-Britannique,5
2019,Colombie-Britannique,4
2020,Colombie-Britannique,3
2010,Manitoba,1
2011,Manitoba,1
2012,Manitoba,1
2013,Manitoba,1
2014,Manitoba,1
2015,Manitoba,5
2016,Manitoba,5
2017,Manitoba,6
2018,Manitoba,4
2019,Manitoba,3
2020,Manitoba,4
2010,Ontario,45
2011,Ontario,46
2012,Ontario,49
2013,Ontario,51
2014,Ontario,57
2015,Ontario,60
2016,Ontario,58
2017,Ontario,59
2018,Ontario,43
2019,Ontario,41
2020,Ontario,43
2010,Québec,3
2011,Québec,3
2012,Québec,3
2013,Québec,3
2014,Québec,3
2015,Québec,3
2016,Québec,3
2017,Québec,0
2018,Québec,0
2019,Québec,0
2020,Québec,0
2010,Saskatchewan,5
2011,Saskatchewan,5
2012,Saskatchewan,6
2013,Saskatchewan,6
2014,Saskatchewan,11
2015,Saskatchewan,12
2016,Saskatchewan,13
2017,Saskatchewan,10
2018,Saskatchewan,8
2019,Saskatchewan,7
2020,Saskatchewan,8
