Year,Units,Secteur,Value
2013,Mètres cubes,,37457754.0
2015,Mètres cubes,,36451889.0
2017,Mètres cubes,,36812891.0
2013,Mètres cubes,Ménages,3128899.0
2015,Mètres cubes,Ménages,3160598.0
2017,Mètres cubes,Ménages,2968052.0
2013,Mètres cubes,Industries,34328855.0
2015,Mètres cubes,Industries,33291291.0
2017,Mètres cubes,Industries,33844839.0
2013,Taux de croissance,,5.4
2015,Taux de croissance,,-2.7
2017,Taux de croissance,,1.0
2013,Taux de croissance,Ménages,-10.8
2015,Taux de croissance,Ménages,1.0
2017,Taux de croissance,Ménages,-6.1
2013,Taux de croissance,Industries,7.2
2015,Taux de croissance,Industries,-3.0
2017,Taux de croissance,Industries,1.7
