Year,Units,Géographie,Catégorie d'utilisation des sols,Qualité de l'eau,Value
2016-2018,Pourcentage,Canada,Agriculture,Excellente,0
2016-2018,Pourcentage,Canada,Agriculture,Bonne,6
2016-2018,Pourcentage,Canada,Agriculture,Satisfaisante,9
2016-2018,Pourcentage,Canada,Agriculture,Douteuse,2
2016-2018,Pourcentage,Canada,Agriculture,Mauvaise,1
2016-2018,Pourcentage,Canada,Foresterie,Excellente,1
2016-2018,Pourcentage,Canada,Foresterie,Bonne,6
2016-2018,Pourcentage,Canada,Foresterie,Satisfaisante,2
2016-2018,Pourcentage,Canada,Foresterie,Douteuse,1
2016-2018,Pourcentage,Canada,Foresterie,Mauvaise,0
2016-2018,Pourcentage,Canada,Exploitation minière,Excellente,0
2016-2018,Pourcentage,Canada,Exploitation minière,Bonne,2
2016-2018,Pourcentage,Canada,Exploitation minière,Satisfaisante,2
2016-2018,Pourcentage,Canada,Exploitation minière,Douteuse,1
2016-2018,Pourcentage,Canada,Exploitation minière,Mauvaise,0
2016-2018,Pourcentage,Canada,Peuplé,Excellente,0
2016-2018,Pourcentage,Canada,Peuplé,Bonne,0
2016-2018,Pourcentage,Canada,Peuplé,Satisfaisante,1
2016-2018,Pourcentage,Canada,Peuplé,Douteuse,2
2016-2018,Pourcentage,Canada,Peuplé,Mauvaise,0
2016-2018,Pourcentage,Canada,Pressions mixtes,Excellente,2
2016-2018,Pourcentage,Canada,Pressions mixtes,Bonne,13
2016-2018,Pourcentage,Canada,Pressions mixtes,Satisfaisante,23
2016-2018,Pourcentage,Canada,Pressions mixtes,Douteuse,11
2016-2018,Pourcentage,Canada,Pressions mixtes,Mauvaise,2
2016-2018,Pourcentage,Canada,Non aménagés,Excellente,3
2016-2018,Pourcentage,Canada,Non aménagés,Bonne,7
2016-2018,Pourcentage,Canada,Non aménagés,Satisfaisante,3
2016-2018,Pourcentage,Canada,Non aménagés,Douteuse,0
2016-2018,Pourcentage,Canada,Non aménagés,Mauvaise,0
2016-2018,Pourcentage,Canada,Total,Excellente,5
