Year,Units,Géographie,Type de combustible,Caractéristiques d’écoulement,Value
2015,Térajoules,,,,8246990.0
2016,Térajoules,,,,8155257.0
2017,Térajoules,,,,8472571.0
2018,Térajoules,,,,8852052.0
2019,Térajoules,,,,8882020.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2715105.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2665852.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2782616.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2943256.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Total industriel,2969004.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2690184.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2685273.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2723111.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2835153.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Total transport,2859564.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,299012.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,301913.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,307916.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,319001.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Agriculture,307901.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1374039.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1327994.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1376349.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1429611.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Résidentiel,1422090.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,121943.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,125669.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,130095.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,134171.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Administrations publiques,134978.0
2015,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1048046.0
2016,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1048549.0
2017,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1148803.0
2018,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1185457.0
2019,Térajoules,Canada,Énergie primaire et secondaire totale,Commerces et autres institutions,1212605.0
2015,Térajoules,Canada,Total charbon,Consommation énergétique finale,46410.0
2016,Térajoules,Canada,Total charbon,Consommation énergétique finale,40275.0
2017,Térajoules,Canada,Total charbon,Consommation énergétique finale,39664.0
2018,Térajoules,Canada,Total charbon,Consommation énergétique finale,38972.0
2019,Térajoules,Canada,Total charbon,Consommation énergétique finale,39237.0
2015,Térajoules,Canada,Total charbon,Total industriel,45006.0
2016,Térajoules,Canada,Total charbon,Total industriel,
2017,Térajoules,Canada,Total charbon,Total industriel,38411.0
2018,Térajoules,Canada,Total charbon,Total industriel,37989.0
2019,Térajoules,Canada,Total charbon,Total industriel,39237.0
