Year,Géographie,Type de production d'électricité,Value
2015,,,63.5
2016,,,64.1
2017,,,65.4
2018,,,65.2
2019,,,64.8
2015,Canada,Turbine à hydraulique,59.1
2016,Canada,Turbine à hydraulique,59.1
2017,Canada,Turbine à hydraulique,60.2
2018,Canada,Turbine à hydraulique,59.7
2019,Canada,Turbine à hydraulique,59.4
2015,Canada,Turbine marémotrice,
2016,Canada,Turbine marémotrice,
2017,Canada,Turbine marémotrice,
2018,Canada,Turbine marémotrice,
2019,Canada,Turbine marémotrice,
2015,Canada,Turbine éolienne,4.2
2016,Canada,Turbine éolienne,4.7
2017,Canada,Turbine éolienne,4.8
2018,Canada,Turbine éolienne,5.1
2019,Canada,Turbine éolienne,5.1
2015,Canada,Solaire,0.2
2016,Canada,Solaire,0.3
2017,Canada,Solaire,0.3
2018,Canada,Solaire,0.3
2019,Canada,Solaire,0.3
2015,Canada,Autres types de production électrique,
2016,Canada,Autres types de production électrique,
2017,Canada,Autres types de production électrique,
2018,Canada,Autres types de production électrique,
2019,Canada,Autres types de production électrique,
2015,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",95.5
2016,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",94.8
2017,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",94.4
2018,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",96.3
2019,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",96.0
2015,Terre-Neuve-et-Labrador,Turbine à hydraulique,95.0
2016,Terre-Neuve-et-Labrador,Turbine à hydraulique,94.3
2017,Terre-Neuve-et-Labrador,Turbine à hydraulique,93.9
2018,Terre-Neuve-et-Labrador,Turbine à hydraulique,95.9
2019,Terre-Neuve-et-Labrador,Turbine à hydraulique,95.6
2015,Terre-Neuve-et-Labrador,Turbine éolienne,0.4
2016,Terre-Neuve-et-Labrador,Turbine éolienne,0.5
2017,Terre-Neuve-et-Labrador,Turbine éolienne,0.5
2018,Terre-Neuve-et-Labrador,Turbine éolienne,0.5
2019,Terre-Neuve-et-Labrador,Turbine éolienne,0.4
2015,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",98.4
2016,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",98.4
2017,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",98.5
2018,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",98.7
2019,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",99.0
2015,Île-du-Prince-Édouard,Turbine éolienne,98.4
2016,Île-du-Prince-Édouard,Turbine éolienne,98.4
2017,Île-du-Prince-Édouard,Turbine éolienne,98.5
2018,Île-du-Prince-Édouard,Turbine éolienne,98.6
2019,Île-du-Prince-Édouard,Turbine éolienne,99.0
2016,Île-du-Prince-Édouard,Solaire,
2017,Île-du-Prince-Édouard,Solaire,
2018,Île-du-Prince-Édouard,Solaire,0.1
2019,Île-du-Prince-Édouard,Solaire,0.1
2015,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",17.9
2016,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",18.5
2017,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",21.5
2018,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",20.7
2019,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",21.6
2015,Nouvelle-Écosse,Turbine à hydraulique,9.9
2016,Nouvelle-Écosse,Turbine à hydraulique,8.2
2017,Nouvelle-Écosse,Turbine à hydraulique,8.4
2018,Nouvelle-Écosse,Turbine à hydraulique,9.2
2019,Nouvelle-Écosse,Turbine à hydraulique,10.6
2015,Nouvelle-Écosse,Turbine marémotrice,0.1
2016,Nouvelle-Écosse,Turbine marémotrice,0.2
2017,Nouvelle-Écosse,Turbine marémotrice,0.1
2018,Nouvelle-Écosse,Turbine marémotrice,0.2
2019,Nouvelle-Écosse,Turbine marémotrice,
2015,Nouvelle-Écosse,Turbine éolienne,7.9
2016,Nouvelle-Écosse,Turbine éolienne,10.2
2017,Nouvelle-Écosse,Turbine éolienne,13.0
2018,Nouvelle-Écosse,Turbine éolienne,11.3
2019,Nouvelle-Écosse,Turbine éolienne,10.9
2015,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",24.4
2016,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",26.5
2017,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",25.1
2018,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",24.8
2019,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",29.1
2015,Nouveau-Brunswick,Turbine à hydraulique,18.8
2016,Nouveau-Brunswick,Turbine à hydraulique,21.4
2017,Nouveau-Brunswick,Turbine à hydraulique,19.3
2018,Nouveau-Brunswick,Turbine à hydraulique,18.7
2019,Nouveau-Brunswick,Turbine à hydraulique,22.4
2015,Nouveau-Brunswick,Turbine éolienne,5.7
2016,Nouveau-Brunswick,Turbine éolienne,5.0
2017,Nouveau-Brunswick,Turbine éolienne,5.8
2018,Nouveau-Brunswick,Turbine éolienne,6.1
2019,Nouveau-Brunswick,Turbine éolienne,6.7
2015,Nouveau-Brunswick,Autres types de production électrique,
2016,Nouveau-Brunswick,Autres types de production électrique,
2017,Nouveau-Brunswick,Autres types de production électrique,
2018,Nouveau-Brunswick,Autres types de production électrique,
2019,Nouveau-Brunswick,Autres types de production électrique,
2015,Québec,"Total, tous les genres de production d'électricité",99.2
2016,Québec,"Total, tous les genres de production d'électricité",98.9
2017,Québec,"Total, tous les genres de production d'électricité",98.8
2018,Québec,"Total, tous les genres de production d'électricité",98.8
2019,Québec,"Total, tous les genres de production d'électricité",98.9
2015,Québec,Turbine à hydraulique,96.0
2016,Québec,Turbine à hydraulique,94.2
2017,Québec,Turbine à hydraulique,94.2
2018,Québec,Turbine à hydraulique,93.8
2019,Québec,Turbine à hydraulique,93.7
2015,Québec,Turbine éolienne,3.2
2016,Québec,Turbine éolienne,4.7
2017,Québec,Turbine éolienne,4.6
2018,Québec,Turbine éolienne,5.0
2019,Québec,Turbine éolienne,5.2
2015,Québec,Solaire,
2016,Québec,Solaire,
2017,Québec,Solaire,
2018,Québec,Solaire,
2019,Québec,Solaire,
2015,Québec,Autres types de production électrique,
2016,Québec,Autres types de production électrique,
2017,Québec,Autres types de production électrique,
2018,Québec,Autres types de production électrique,
2019,Québec,Autres types de production électrique,
2015,Ontario,"Total, tous les genres de production d'électricité",30.3
2016,Ontario,"Total, tous les genres de production d'électricité",31.2
2017,Ontario,"Total, tous les genres de production d'électricité",34.4
2018,Ontario,"Total, tous les genres de production d'électricité",33.5
2019,Ontario,"Total, tous les genres de production d'électricité",32.2
2015,Ontario,Turbine à hydraulique,22.2
2016,Ontario,Turbine à hydraulique,23.2
2017,Ontario,Turbine à hydraulique,26.2
2018,Ontario,Turbine à hydraulique,24.5
2019,Ontario,Turbine à hydraulique,23.6
2015,Ontario,Turbine éolienne,7.2
2016,Ontario,Turbine éolienne,6.8
2017,Ontario,Turbine éolienne,6.9
2018,Ontario,Turbine éolienne,7.6
2019,Ontario,Turbine éolienne,7.2
2015,Ontario,Solaire,0.9
2016,Ontario,Solaire,1.1
2017,Ontario,Solaire,1.3
2018,Ontario,Solaire,1.4
2019,Ontario,Solaire,1.4
2015,Ontario,Autres types de production électrique,
2016,Ontario,Autres types de production électrique,
2017,Ontario,Autres types de production électrique,
2018,Ontario,Autres types de production électrique,
2019,Ontario,Autres types de production électrique,
2015,Manitoba,"Total, tous les genres de production d'électricité",99.3
2016,Manitoba,"Total, tous les genres de production d'électricité",99.6
2017,Manitoba,"Total, tous les genres de production d'électricité",99.6
2018,Manitoba,"Total, tous les genres de production d'électricité",99.7
2019,Manitoba,"Total, tous les genres de production d'électricité",99.6
2015,Manitoba,Turbine à hydraulique,96.7
2016,Manitoba,Turbine à hydraulique,97.0
2017,Manitoba,Turbine à hydraulique,97.1
2018,Manitoba,Turbine à hydraulique,96.9
2019,Manitoba,Turbine à hydraulique,97.0
2015,Manitoba,Turbine éolienne,2.5
2016,Manitoba,Turbine éolienne,2.6
2017,Manitoba,Turbine éolienne,2.5
2018,Manitoba,Turbine éolienne,2.8
2019,Manitoba,Turbine éolienne,2.6
2018,Manitoba,Solaire,
2019,Manitoba,Solaire,
2015,Saskatchewan,"Total, tous les genres de production d'électricité",17.3
2016,Saskatchewan,"Total, tous les genres de production d'électricité",16.4
2017,Saskatchewan,"Total, tous les genres de production d'électricité",18.0
2018,Saskatchewan,"Total, tous les genres de production d'électricité",18.3
2019,Saskatchewan,"Total, tous les genres de production d'électricité",18.5
2015,Saskatchewan,Turbine à hydraulique,14.6
2016,Saskatchewan,Turbine à hydraulique,13.3
2017,Saskatchewan,Turbine à hydraulique,15.1
2018,Saskatchewan,Turbine à hydraulique,14.9
2019,Saskatchewan,Turbine à hydraulique,15.2
2015,Saskatchewan,Turbine éolienne,2.6
2016,Saskatchewan,Turbine éolienne,3.0
2017,Saskatchewan,Turbine éolienne,2.9
2018,Saskatchewan,Turbine éolienne,2.9
2019,Saskatchewan,Turbine éolienne,2.9
2015,Saskatchewan,Autres types de production électrique,
2016,Saskatchewan,Autres types de production électrique,
2017,Saskatchewan,Autres types de production électrique,
2018,Saskatchewan,Autres types de production électrique,0.5
2019,Saskatchewan,Autres types de production électrique,0.5
2015,Alberta,"Total, tous les genres de production d'électricité",7.7
2016,Alberta,"Total, tous les genres de production d'électricité",8.6
2017,Alberta,"Total, tous les genres de production d'électricité",8.6
2018,Alberta,"Total, tous les genres de production d'électricité",8.2
2019,Alberta,"Total, tous les genres de production d'électricité",8.3
2015,Alberta,Turbine à hydraulique,2.4
2016,Alberta,Turbine à hydraulique,2.5
2017,Alberta,Turbine à hydraulique,2.6
2018,Alberta,Turbine à hydraulique,2.6
2019,Alberta,Turbine à hydraulique,2.7
2015,Alberta,Turbine éolienne,5.1
2016,Alberta,Turbine éolienne,5.8
2017,Alberta,Turbine éolienne,5.8
2018,Alberta,Turbine éolienne,5.4
2019,Alberta,Turbine éolienne,5.5
2015,Alberta,Solaire,
2016,Alberta,Solaire,
2017,Alberta,Solaire,
2018,Alberta,Solaire,
2019,Alberta,Solaire,
2015,Alberta,Autres types de production électrique,0.2
2016,Alberta,Autres types de production électrique,0.2
2017,Alberta,Autres types de production électrique,0.3
2018,Alberta,Autres types de production électrique,0.1
2019,Alberta,Autres types de production électrique,0.1
2015,Colombie-Britannique,"Total, tous les genres de production d'électricité",91.8
2016,Colombie-Britannique,"Total, tous les genres de production d'électricité",90.5
2017,Colombie-Britannique,"Total, tous les genres de production d'électricité",91.5
2018,Colombie-Britannique,"Total, tous les genres de production d'électricité",90.8
2019,Colombie-Britannique,"Total, tous les genres de production d'électricité",88.9
2015,Colombie-Britannique,Turbine à hydraulique,90.6
2016,Colombie-Britannique,Turbine à hydraulique,88.7
2017,Colombie-Britannique,Turbine à hydraulique,89.3
2018,Colombie-Britannique,Turbine à hydraulique,88.4
2019,Colombie-Britannique,Turbine à hydraulique,86.3
2015,Colombie-Britannique,Turbine éolienne,1.2
2016,Colombie-Britannique,Turbine éolienne,1.8
2017,Colombie-Britannique,Turbine éolienne,2.2
2018,Colombie-Britannique,Turbine éolienne,2.5
2019,Colombie-Britannique,Turbine éolienne,2.6
2015,Colombie-Britannique,Solaire,
2016,Colombie-Britannique,Solaire,
2017,Colombie-Britannique,Solaire,
2018,Colombie-Britannique,Solaire,
2019,Colombie-Britannique,Solaire,
2015,Colombie-Britannique,Autres types de production électrique,
2016,Colombie-Britannique,Autres types de production électrique,
2017,Colombie-Britannique,Autres types de production électrique,
2018,Colombie-Britannique,Autres types de production électrique,
2019,Colombie-Britannique,Autres types de production électrique,
2015,Yukon,"Total, tous les genres de production d'électricité",94.3
2016,Yukon,"Total, tous les genres de production d'électricité",94.0
2017,Yukon,"Total, tous les genres de production d'électricité",92.4
2018,Yukon,"Total, tous les genres de production d'électricité",87.6
2019,Yukon,"Total, tous les genres de production d'électricité",80.4
2015,Yukon,Turbine à hydraulique,94.2
2016,Yukon,Turbine à hydraulique,93.8
2017,Yukon,Turbine à hydraulique,92.4
2018,Yukon,Turbine à hydraulique,87.6
2019,Yukon,Turbine à hydraulique,80.4
2015,Yukon,Turbine éolienne,0.1
2016,Yukon,Turbine éolienne,0.1
2017,Yukon,Turbine éolienne,
2018,Yukon,Turbine éolienne,
2019,Yukon,Turbine éolienne,
2015,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",25.0
2016,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",31.9
2017,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",35.6
2018,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",35.7
2019,Territoires du Nord-Ouest,"Total, tous les genres de production d'électricité",39.6
2015,Territoires du Nord-Ouest,Turbine à hydraulique,22.2
2016,Territoires du Nord-Ouest,Turbine à hydraulique,30.1
2017,Territoires du Nord-Ouest,Turbine à hydraulique,33.3
2018,Territoires du Nord-Ouest,Turbine à hydraulique,33.3
2019,Territoires du Nord-Ouest,Turbine à hydraulique,37.1
2015,Territoires du Nord-Ouest,Turbine éolienne,2.8
2016,Territoires du Nord-Ouest,Turbine éolienne,1.8
2017,Territoires du Nord-Ouest,Turbine éolienne,2.3
2018,Territoires du Nord-Ouest,Turbine éolienne,2.4
2019,Territoires du Nord-Ouest,Turbine éolienne,2.4
2015,Territoires du Nord-Ouest,Solaire,
2016,Territoires du Nord-Ouest,Solaire,
2017,Territoires du Nord-Ouest,Solaire,
2018,Territoires du Nord-Ouest,Solaire,
2019,Territoires du Nord-Ouest,Solaire,
2018,Territoires du Nord-Ouest,Autres types de production électrique,
2019,Territoires du Nord-Ouest,Autres types de production électrique,
2015,Nunavut,"Total, tous les genres de production d'électricité",
2016,Nunavut,"Total, tous les genres de production d'électricité",
2017,Nunavut,"Total, tous les genres de production d'électricité",
2018,Nunavut,"Total, tous les genres de production d'électricité",
2019,Nunavut,"Total, tous les genres de production d'électricité",
