Year,Géographie,GeoCode,Value
2012,,,159744
2012,Terre-Neuve-et-Labrador,10,3263
2012,Île-du-Prince-Édouard,11,345
2012,Nouvelle-Écosse,12,2325
2012,Nouveau-Brunswick,13,3202
2012,Québec,24,45067
2012,Ontario,35,57451
2012,Manitoba,46,6851
2012,Saskatchewan,47,4247
2012,Alberta,48,16725
2012,Colombie-Britannique,59,19898
2012,Yukon,60,186
2012,Territoires du Nord-Ouest,61,104
2012,Nunavut,62,80
2013,,,165104
2013,Terre-Neuve-et-Labrador,10,4924
2013,Île-du-Prince-Édouard,11,1048
2013,Nouvelle-Écosse,12,2238
2013,Nouveau-Brunswick,13,2844
2013,Québec,24,44221
2013,Ontario,35,60079
2013,Manitoba,46,7858
2013,Saskatchewan,47,4314
2013,Alberta,48,18186
2013,Colombie-Britannique,59,19075
2013,Yukon,60,158
2013,Territoires du Nord-Ouest,61,99
2013,Nunavut,62,62
2014,,,173599
2014,Terre-Neuve-et-Labrador,10,7445
2014,Île-du-Prince-Édouard,11,415
2014,Nouvelle-Écosse,12,2953
2014,Nouveau-Brunswick,13,2980
2014,Québec,24,40690
2014,Ontario,35,66011
2014,Manitoba,46,9653
2014,Saskatchewan,47,4529
2014,Alberta,48,18681
2014,Colombie-Britannique,59,19551
2014,Yukon,60,204
2014,Territoires du Nord-Ouest,61,304
2014,Nunavut,62,184
2015,,,195772
2015,Terre-Neuve-et-Labrador,10,10162
2015,Île-du-Prince-Édouard,11,480
2015,Nouvelle-Écosse,12,3394
2015,Nouveau-Brunswick,13,2700
2015,Québec,24,46424
2015,Ontario,35,76741
2015,Manitoba,46,10998
2015,Saskatchewan,47,5290
2015,Alberta,48,18691
2015,Colombie-Britannique,59,19904
2015,Yukon,60,161
2015,Territoires du Nord-Ouest,61,755
2015,Nunavut,62,72
2016,,,185407
2016,Terre-Neuve-et-Labrador,10,9534
2016,Île-du-Prince-Édouard,11,653
2016,Nouvelle-Écosse,12,2788
2016,Nouveau-Brunswick,13,2951
2016,Québec,24,42833
2016,Ontario,35,70701
2016,Manitoba,46,11588
2016,Saskatchewan,47,4411
2016,Alberta,48,19939
2016,Colombie-Britannique,59,19177
2016,Yukon,60,148
2016,Territoires du Nord-Ouest,61,553
2016,Nunavut,62,131
2017,,,188096
2017,Terre-Neuve-et-Labrador,10,9165
2017,Île-du-Prince-Édouard,11,558
2017,Nouvelle-Écosse,12,3668
2017,Nouveau-Brunswick,13,2901
2017,Québec,24,41346
2017,Ontario,35,69354
2017,Manitoba,46,11862
2017,Saskatchewan,47,5068
2017,Alberta,48,21746
2017,Colombie-Britannique,59,22027
2017,Yukon,60,181
2017,Territoires du Nord-Ouest,61,119
2017,Nunavut,62,100
2018,,,197461
2018,Terre-Neuve-et-Labrador,10,8138
2018,Île-du-Prince-Édouard,11,588
2018,Nouvelle-Écosse,12,3977
2018,Nouveau-Brunswick,13,3339
2018,Québec,24,46964
2018,Ontario,35,75014
2018,Manitoba,46,11930
2018,Saskatchewan,47,4766
2018,Alberta,48,19111
2018,Colombie-Britannique,59,23236
2018,Yukon,60,170
2018,Territoires du Nord-Ouest,61,131
2018,Nunavut,62,97
2019,,,196284
2019,Terre-Neuve-et-Labrador,10,4643
2019,Île-du-Prince-Édouard,11,582
2019,Nouvelle-Écosse,12,3540
2019,Nouveau-Brunswick,13,3658
2019,Québec,24,43977
