Year,Géographie,Centres de population,GeoCode,Value
2016,Alberta,Total centre de population,48,99.8
2017,Alberta,Total centre de population,48,99.8
2018,Alberta,Total centre de population,48,99.8
2019,Alberta,Total centre de population,48,99.8
2020,Alberta,Total centre de population,48,99.8
2021,Alberta,Total centre de population,48,99.8
2016,Colombie-Britannique,Total centre de population,59,99.0
2017,Colombie-Britannique,Total centre de population,59,99.0
2018,Colombie-Britannique,Total centre de population,59,99.1
2019,Colombie-Britannique,Total centre de population,59,99.2
2020,Colombie-Britannique,Total centre de population,59,99.1
2021,Colombie-Britannique,Total centre de population,59,99.2
2016,Manitoba,Total centre de population,46,93.2
2017,Manitoba,Total centre de population,46,93.5
2018,Manitoba,Total centre de population,46,95.1
2019,Manitoba,Total centre de population,46,96.8
2020,Manitoba,Total centre de population,46,98.1
2021,Manitoba,Total centre de population,46,98.3
2016,Nouveau-Brunswick,Total centre de population,13,98.9
2017,Nouveau-Brunswick,Total centre de population,13,99.1
2018,Nouveau-Brunswick,Total centre de population,13,99.2
2019,Nouveau-Brunswick,Total centre de population,13,99.5
2020,Nouveau-Brunswick,Total centre de population,13,99.5
2021,Nouveau-Brunswick,Total centre de population,13,98.9
2016,Terre-Neuve-et-Labrador,Total centre de population,10,94.5
2017,Terre-Neuve-et-Labrador,Total centre de population,10,94.9
2018,Terre-Neuve-et-Labrador,Total centre de population,10,95.0
2019,Terre-Neuve-et-Labrador,Total centre de population,10,95.8
2020,Terre-Neuve-et-Labrador,Total centre de population,10,95.9
2021,Terre-Neuve-et-Labrador,Total centre de population,10,93.0
2016,Territoires du Nord-Ouest,Total centre de population,61,94.2
2017,Territoires du Nord-Ouest,Total centre de population,61,94.2
2018,Territoires du Nord-Ouest,Total centre de population,61,94.4
2019,Territoires du Nord-Ouest,Total centre de population,61,94.4
2020,Territoires du Nord-Ouest,Total centre de population,61,94.4
2021,Territoires du Nord-Ouest,Total centre de population,61,94.3
2016,Nouvelle-Écosse,Total centre de population,12,99.5
2017,Nouvelle-Écosse,Total centre de population,12,99.5
2018,Nouvelle-Écosse,Total centre de population,12,99.5
2019,Nouvelle-Écosse,Total centre de population,12,99.6
