Year,Géographie,Actif,GeoCode,Value
2015,,,,0.3632
2016,,,,0.3579
2017,,,,0.3382
2018,,,,0.3391
2019,,,,0.3402
2020,,,,0.3399
2021,,,,0.3253
2015,Canada,Immeubles commerciaux,,0.3584
2015,Canada,Bâtiments institutionnels,,0.3549
2015,Canada,Infrastructures de génie maritime,,0.3674
2015,Canada,Infrastructures de génie liées aux transports,,0.3599
2015,Canada,Infrastructure d'adduction et de distribution d'eau,,0.3738
2015,Canada,Infrastructures pour les eaux usées,,0.376
2015,Canada,Réseaux de communication,,0.3416
2015,Canada,Infrastructure liées à l'énergie électrique,,0.3394
2015,Canada,Construction liée aux installations de pétrole et de gaz,,0.4085
2015,Canada,Autres travaux de génie,,0.3886
2015,Canada,Autres machines et matériel,,0.585
2015,Canada,Machines et matériel de transport,,0.6059
2015,Terre-Neuve-et-Labrador,Total des actifs,10,0.3395
2015,Terre-Neuve-et-Labrador,Immeubles commerciaux,10,0.3639
2015,Terre-Neuve-et-Labrador,Bâtiments institutionnels,10,0.3639
2015,Terre-Neuve-et-Labrador,Infrastructures de génie maritime,10,0.3967
2015,Terre-Neuve-et-Labrador,Infrastructures de génie liées aux transports,10,0.3375
2015,Terre-Neuve-et-Labrador,Infrastructure d'adduction et de distribution d'eau,10,0.3967
2015,Terre-Neuve-et-Labrador,Infrastructures pour les eaux usées,10,0.3967
2015,Terre-Neuve-et-Labrador,Réseaux de communication,10,0.3266
2015,Terre-Neuve-et-Labrador,Infrastructure liées à l'énergie électrique,10,0.3334
2015,Terre-Neuve-et-Labrador,Construction liée aux installations de pétrole et de gaz,10,0.4085
2015,Terre-Neuve-et-Labrador,Autres travaux de génie,10,0.3967
2015,Terre-Neuve-et-Labrador,Autres machines et matériel,10,0.5877
2015,Terre-Neuve-et-Labrador,Machines et matériel de transport,10,0.5942
2015,Île-du-Prince-Édouard,Total des actifs,11,0.3801
2015,Île-du-Prince-Édouard,Immeubles commerciaux,11,0.3546
2015,Île-du-Prince-Édouard,Bâtiments institutionnels,11,0.3546
2015,Île-du-Prince-Édouard,Infrastructures de génie maritime,11,0.3456
2015,Île-du-Prince-Édouard,Infrastructures de génie liées aux transports,11,0.4029
2015,Île-du-Prince-Édouard,Infrastructure d'adduction et de distribution d'eau,11,0.3456
2015,Île-du-Prince-Édouard,Infrastructures pour les eaux usées,11,0.3456
2015,Île-du-Prince-Édouard,Réseaux de communication,11,0.3564
2015,Île-du-Prince-Édouard,Infrastructure liées à l'énergie électrique,11,0.339
2015,Île-du-Prince-Édouard,Construction liée aux installations de pétrole et de gaz,11,0.4085
2015,Île-du-Prince-Édouard,Autres travaux de génie,11,0.3456
2015,Île-du-Prince-Édouard,Autres machines et matériel,11,0.5937
2015,Île-du-Prince-Édouard,Machines et matériel de transport,11,0.4646
2015,Nouvelle-Écosse,Total des actifs,12,0.3445
2015,Nouvelle-Écosse,Immeubles commerciaux,12,0.3595
2015,Nouvelle-Écosse,Bâtiments institutionnels,12,0.3595
2015,Nouvelle-Écosse,Infrastructures de génie maritime,12,0.314
2015,Nouvelle-Écosse,Infrastructures de génie liées aux transports,12,0.3415
2015,Nouvelle-Écosse,Infrastructure d'adduction et de distribution d'eau,12,0.314
2015,Nouvelle-Écosse,Infrastructures pour les eaux usées,12,0.314
2015,Nouvelle-Écosse,Réseaux de communication,12,0.3172
2015,Nouvelle-Écosse,Infrastructure liées à l'énergie électrique,12,0.3438
2015,Nouvelle-Écosse,Construction liée aux installations de pétrole et de gaz,12,0.3163
2015,Nouvelle-Écosse,Autres travaux de génie,12,0.314
2015,Nouvelle-Écosse,Autres machines et matériel,12,0.5447
2015,Nouvelle-Écosse,Machines et matériel de transport,12,0.5776
2015,Nouveau-Brunswick,Total des actifs,13,0.3418
2015,Nouveau-Brunswick,Immeubles commerciaux,13,0.3473
2015,Nouveau-Brunswick,Bâtiments institutionnels,13,0.3473
2015,Nouveau-Brunswick,Infrastructures de génie maritime,13,0.3845
2015,Nouveau-Brunswick,Infrastructures de génie liées aux transports,13,0.3358
2015,Nouveau-Brunswick,Infrastructure d'adduction et de distribution d'eau,13,0.3845
2015,Nouveau-Brunswick,Infrastructures pour les eaux usées,13,0.3845
2015,Nouveau-Brunswick,Réseaux de communication,13,0.3257
2015,Nouveau-Brunswick,Infrastructure liées à l'énergie électrique,13,0.3281
2015,Nouveau-Brunswick,Construction liée aux installations de pétrole et de gaz,13,0.3052
2015,Nouveau-Brunswick,Autres travaux de génie,13,0.3845
2015,Nouveau-Brunswick,Autres machines et matériel,13,0.5716
2015,Nouveau-Brunswick,Machines et matériel de transport,13,0.5571
2015,Québec,Total des actifs,24,0.3486
2015,Québec,Immeubles commerciaux,24,0.3542
2015,Québec,Bâtiments institutionnels,24,0.3542
2015,Québec,Infrastructures de génie maritime,24,0.3736
2015,Québec,Infrastructures de génie liées aux transports,24,0.3454
2015,Québec,Infrastructure d'adduction et de distribution d'eau,24,0.3736
2015,Québec,Infrastructures pour les eaux usées,24,0.3736
2015,Québec,Réseaux de communication,24,0.3367
2015,Québec,Infrastructure liées à l'énergie électrique,24,0.3254
2015,Québec,Construction liée aux installations de pétrole et de gaz,24,0.316
2015,Québec,Autres travaux de génie,24,0.3736
2015,Québec,Autres machines et matériel,24,0.5562
2015,Québec,Machines et matériel de transport,24,0.6023
