Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2010,,,,109
2011,,,,125
2012,,,,160
2013,,,,239
2014,,,,354
2015,,,,686
2016,,,,875
2017,,,,1374
2018,,,,1829
2019,,,,3889
2020,,,,4716
2021,,,,6029
2022,,,,8312
2023,,,,11657
2024,,,,14124
2025,,,,15350
2010,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,26
2010,Alberta,Propane,48,26
2011,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,27
2011,Alberta,Propane,48,27
2012,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,32
2012,Alberta,Électrique,48,2
2012,Alberta,Propane,48,30
2013,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,39
2013,Alberta,Électrique,48,8
2013,Alberta,Propane,48,31
2014,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,44
2014,Alberta,Électrique,48,13
2015,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,73
2015,Alberta,Électrique,48,41
2015,Alberta,Propane,48,32
2016,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,84
2016,Alberta,Électrique,48,51
2016,Alberta,Propane,48,33
2017,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,135
2017,Alberta,Gaz naturel comprimé,48,1
2017,Alberta,Électrique,48,65
2017,Alberta,Propane,48,69
2018,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,219
2018,Alberta,Gaz naturel comprimé,48,10
2018,Alberta,Électrique,48,75
2018,Alberta,Propane,48,134
2019,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,253
2019,Alberta,Électrique,48,108
2019,Alberta,Propane,48,135
2020,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,280
2020,Alberta,Gaz naturel comprimé,48,11
2020,Alberta,Électrique,48,131
2020,Alberta,Propane,48,138
2021,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,336
2021,Alberta,Électrique,48,184
2021,Alberta,Propane,48,141
2022,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,509
2022,Alberta,Gaz naturel comprimé,48,12
2022,Alberta,Électrique,48,356
2023,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,743
2023,Alberta,Gaz naturel comprimé,48,13
2023,Alberta,Électrique,48,588
2023,Alberta,Propane,48,142
2024,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,923
2024,Alberta,Électrique,48,767
2024,Alberta,Propane,48,143
2025,Alberta,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,48,971
2025,Alberta,Électrique,48,812
2025,Alberta,Éthanol,48,1
2025,Alberta,Propane,48,145
2010,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,37
2010,Colombie-Britannique,Biodiesel,59,1
2010,Colombie-Britannique,Propane,59,36
2011,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,42
2011,Colombie-Britannique,Électrique,59,5
2012,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,47
2012,Colombie-Britannique,Électrique,59,9
2012,Colombie-Britannique,Propane,59,37
2013,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,66
2013,Colombie-Britannique,Électrique,59,27
2013,Colombie-Britannique,Propane,59,38
2014,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,86
2014,Colombie-Britannique,Électrique,59,47
2015,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,175
2015,Colombie-Britannique,Gaz naturel comprimé,59,2
2015,Colombie-Britannique,Électrique,59,133
2015,Colombie-Britannique,Propane,59,39
2016,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,198
2016,Colombie-Britannique,Électrique,59,155
2016,Colombie-Britannique,Propane,59,40
2017,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,282
2017,Colombie-Britannique,Gaz naturel comprimé,59,4
2017,Colombie-Britannique,Électrique,59,201
2017,Colombie-Britannique,Propane,59,76
2018,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,384
2018,Colombie-Britannique,Électrique,59,269
2018,Colombie-Britannique,Hydrogène,59,1
2018,Colombie-Britannique,Propane,59,109
2019,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,598
2019,Colombie-Britannique,Électrique,59,479
2019,Colombie-Britannique,Hydrogène,59,2
2019,Colombie-Britannique,Propane,59,112
2020,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,748
2020,Colombie-Britannique,Électrique,59,626
2020,Colombie-Britannique,Hydrogène,59,3
