Year,Géographie,Actif,GeoCode,Value
2015,,,,58.2
2016,,,,58.5
2017,,,,58.8
2018,,,,59.0
2019,,,,59.1
2020,,,,59.3
2021,,,,59.3
2022,,,,59.3
2023,,,,59.4
2024,,,,59.4
2015,Canada,Immeubles commerciaux,,56.8
2015,Canada,Installations sportives avec capacité d'accueil de spectateurs,,59.1
2015,Canada,Installations récréatives intérieures,,60.0
2015,Canada,Résidences d'étudiants,,53.0
2015,Canada,Aéroports et autres gares de voyageurs,,53.8
2015,Canada,Édifices de communications,,53.3
2015,Canada,Bâtiments institutionnels,,59.0
2015,Canada,"Écoles, collèges, universités et autres bâtiments d'enseignement",,58.7
2015,Canada,Hôpitaux,,59.3
2015,Canada,Maisons de soins infirmiers et résidences pour personnes âgées,,60.6
2015,Canada,Centres religieux et lieux commémoratifs,,53.6
2015,Canada,Musées,,60.7
2015,Canada,Lieux historiques,,59.3
2015,Canada,Bibliothèques,,56.9
2015,Canada,Installations de sécurité publique,,59.7
2015,Canada,Infrastructures de génie maritime,,40.4
2015,Canada,Ports de mer,,43.1
2015,Canada,Ports de plaisance et ports de commerce,,37.7
2015,Canada,Canaux et voies navigables,,47.6
2015,Canada,Autres infrastructures de génie maritime,,35.7
2015,Canada,Infrastructures de génie liées aux transports,,59.9
2015,Canada,Structures et réseaux autoroutiers et routiers,,59.2
2015,Canada,Ponts,,60.7
2015,Canada,Tunnels,,59.8
2015,Canada,Lignes de chemins de fer,,61.6
2015,Canada,Pistes d'atterrissage et de décollage,,63.4
2015,Canada,Infrastructure d'adduction et de distribution d'eau,,62.7
2015,Canada,Usines de filtration de l'eau,,61.5
2015,Canada,Autres infrastructure d'eau,,63.2
2015,Canada,Infrastructures pour les eaux usées,,53.0
2015,Canada,Usines d'épuration des eaux d'égout,,53.4
2015,Canada,Autres infrastructure d'égout,,52.8
2015,Canada,Réseaux de communication,,51.5
2015,Canada,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",,50.5
2015,Canada,Fibre optique,,53.0
2015,Canada,Structures de support pour la transmission,,50.2
2015,Canada,Autres structures de communication,,50.1
2015,Canada,Infrastructure liées à l'énergie électrique,,57.6
2015,Canada,Centrales éoliennes et panneaux solaires,,59.7
2015,Canada,Centrale énergétique thermale,,58.1
