From,To
Géographie,Type de violence entre partenaires intimes
Type de violence entre partenaires intimes,Groupe d'âge
Type de violence entre partenaires intimes,Groupe autochtone
Type de violence entre partenaires intimes,Minorité visible
Type de violence entre partenaires intimes,Status d'immigrant
Type de violence entre partenaires intimes,Incapacité
Type de violence entre partenaires intimes,Plus haut grade obtenu
Type de violence entre partenaires intimes,Revenu du ménage
Type de violence entre partenaires intimes,Lieu de résidence
Type de violence entre partenaires intimes,État matrimonial
