Year,Value,Series,GeoCode
2015,66.7,Âgés de 18 ans et plus,
2016,67.5,Âgés de 18 ans et plus,
2017,68.2,Âgés de 18 ans et plus,
2018,67.1,Âgés de 18 ans et plus,
2019,68.4,Âgés de 18 ans et plus,
2020,69.0,Âgés de 18 ans et plus,
2021,68.4,Âgés de 18 ans et plus,
2022,63.5,Âgés de 18 ans et plus,
2023,60.6,Âgés de 18 ans et plus,
2024,61.1,Âgés de 18 ans et plus,
2015,83.8,Âgés de 12 à 17 ans,
2016,85.4,Âgés de 12 à 17 ans,
2017,85.1,Âgés de 12 à 17 ans,
2018,85.3,Âgés de 12 à 17 ans,
2019,86.5,Âgés de 12 à 17 ans,
2020,85.9,Âgés de 12 à 17 ans,
2021,83.5,Âgés de 12 à 17 ans,
2022,77.7,Âgés de 12 à 17 ans,
