Year,Value,GeoCode
1990,601.5236931,
1991,595.7767263,
1992,613.5906402,
1993,616.7983943,
1994,638.0004703,
1995,656.2971871,
1996,678.7106864,
1997,691.1943566,
1998,696.9015186,
1999,709.6009243,
2000,733.5113373,
2001,722.9350121,
2002,726.5551835,
2003,744.8318868,
2004,745.9197824,
2005,738.7172959,
2006,730.0990825,
2007,751.661271,
2008,735.6928521,
2009,693.5978977,
2010,702.8027469,
2011,714.07775,
2012,717.1711766,
2013,725.371843,
2014,722.5576706,
2015,723.094161,
2016,706.9318195,
2017,716.0903364,
2018,728.475065,
2019,730.2449322,
