Year,Value,Units
2011,66.4516129032258,Pourcentage
2012,72.258064516129,Pourcentage
2013,74.1935483870968,Pourcentage
2014,74.6753246753247,Pourcentage
2015,68.5534591194968,Pourcentage
2016,62.9411764705882,Pourcentage
2017,49.1620111731844,Pourcentage
2018,48.0225988700565,Pourcentage
2019,46.0227272727273,Pourcentage
2020,43.8888888888889,Pourcentage
2021,48.4375,Pourcentage
2022,46.1538461538462,Pourcentage
2011,103.0,Nombre de stocks
2012,112.0,Nombre de stocks
2013,115.0,Nombre de stocks
2014,115.0,Nombre de stocks
2015,109.0,Nombre de stocks
2016,107.0,Nombre de stocks
2017,88.0,Nombre de stocks
2018,85.0,Nombre de stocks
2019,81.0,Nombre de stocks
2020,79.0,Nombre de stocks
2021,93.0,Nombre de stocks
2022,90.0,Nombre de stocks
